[2023-07-06 15:37:16] [world_nether] The Player <wqe123420> has broke BASALT at X= -2, Y= 44, Z= -81
[2023-07-06 15:37:37] [world_nether] The Player <wqe123420> has broke BASALT at X= -5, Y= 44, Z= -83
[2023-07-06 15:39:50] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -19, Y= 40, Z= -203
[2023-07-06 15:39:50] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -19, Y= 40, Z= -204
[2023-07-06 15:39:50] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -19, Y= 40, Z= -205
[2023-07-06 15:39:50] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -19, Y= 40, Z= -206
[2023-07-06 15:40:15] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -53, Y= 38, Z= -205
[2023-07-06 15:40:15] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -53, Y= 38, Z= -204
[2023-07-06 15:40:15] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -52, Y= 38, Z= -204
[2023-07-06 15:40:15] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -52, Y= 38, Z= -203
[2023-07-06 15:40:15] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -52, Y= 37, Z= -203
[2023-07-06 15:40:15] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -53, Y= 38, Z= -203
[2023-07-06 15:40:15] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -54, Y= 38, Z= -204
[2023-07-06 15:40:15] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -54, Y= 38, Z= -203
[2023-07-06 15:40:15] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -55, Y= 38, Z= -203
[2023-07-06 15:40:15] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -55, Y= 38, Z= -202
[2023-07-06 15:40:16] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -54, Y= 38, Z= -202
[2023-07-06 15:40:21] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -45, Y= 37, Z= -212
[2023-07-06 15:40:21] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -44, Y= 37, Z= -212
[2023-07-06 15:40:21] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -44, Y= 37, Z= -213
[2023-07-06 15:40:21] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -43, Y= 37, Z= -212
[2023-07-06 15:40:21] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -42, Y= 37, Z= -212
[2023-07-06 15:40:22] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -43, Y= 37, Z= -213
[2023-07-06 15:40:22] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -44, Y= 37, Z= -214
[2023-07-06 15:40:22] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -43, Y= 37, Z= -215
[2023-07-06 15:40:22] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -42, Y= 37, Z= -216
[2023-07-06 15:40:22] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -42, Y= 37, Z= -215
[2023-07-06 15:40:22] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -43, Y= 37, Z= -214
[2023-07-06 15:40:22] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -42, Y= 37, Z= -214
[2023-07-06 15:40:22] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -41, Y= 37, Z= -214
[2023-07-06 15:40:22] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -41, Y= 37, Z= -215
[2023-07-06 15:40:22] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -41, Y= 37, Z= -216
[2023-07-06 15:40:22] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -40, Y= 37, Z= -216
[2023-07-06 15:40:22] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -39, Y= 37, Z= -216
[2023-07-06 15:40:22] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -41, Y= 37, Z= -217
[2023-07-06 15:40:22] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -40, Y= 37, Z= -217
[2023-07-06 15:40:22] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -39, Y= 37, Z= -217
[2023-07-06 15:40:23] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -38, Y= 37, Z= -217
[2023-07-06 15:40:23] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -40, Y= 37, Z= -218
[2023-07-06 15:40:23] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -39, Y= 37, Z= -218
[2023-07-06 15:40:23] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -38, Y= 37, Z= -218
[2023-07-06 15:40:23] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -38, Y= 37, Z= -216
[2023-07-06 15:40:23] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -40, Y= 37, Z= -215
[2023-07-06 15:40:23] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -40, Y= 37, Z= -214
[2023-07-06 15:40:23] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -39, Y= 37, Z= -215
[2023-07-06 15:40:23] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -39, Y= 37, Z= -214
[2023-07-06 15:40:23] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -38, Y= 37, Z= -214
[2023-07-06 15:40:23] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -38, Y= 37, Z= -215
[2023-07-06 15:40:23] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -37, Y= 37, Z= -216
[2023-07-06 15:40:23] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -36, Y= 37, Z= -216
[2023-07-06 15:40:23] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -35, Y= 37, Z= -216
[2023-07-06 15:40:24] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -37, Y= 37, Z= -215
[2023-07-06 15:40:24] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -37, Y= 37, Z= -214
[2023-07-06 15:40:24] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -37, Y= 37, Z= -213
[2023-07-06 15:40:24] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -38, Y= 37, Z= -213
[2023-07-06 15:40:24] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -37, Y= 37, Z= -212
[2023-07-06 15:40:24] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -36, Y= 37, Z= -212
[2023-07-06 15:40:24] [world_nether] The Player <wqe123420> has broke FIRE at X= -36, Y= 38, Z= -214
[2023-07-06 15:40:24] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -36, Y= 37, Z= -214
[2023-07-06 15:40:24] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -35, Y= 37, Z= -215
[2023-07-06 15:40:24] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -34, Y= 37, Z= -215
[2023-07-06 15:40:24] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -35, Y= 37, Z= -214
[2023-07-06 15:40:24] [world_nether] The Player <wqe123420> has broke FIRE at X= -36, Y= 38, Z= -213
[2023-07-06 15:40:24] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -36, Y= 37, Z= -213
[2023-07-06 15:40:24] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -37, Y= 37, Z= -211
[2023-07-06 15:40:24] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -37, Y= 37, Z= -210
[2023-07-06 15:40:24] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -36, Y= 37, Z= -211
[2023-07-06 15:40:24] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -35, Y= 37, Z= -213
[2023-07-06 15:40:24] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -34, Y= 37, Z= -213
[2023-07-06 15:40:24] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -33, Y= 37, Z= -213
[2023-07-06 15:40:24] [world_nether] The Player <wqe123420> has broke NETHERRACK at X= -32, Y= 37, Z= -213
