[2023-07-07 08:29:31] [world] The Player <wqe123420> has broke STONE at X= -27, Y= 62, Z= -288
[2023-07-07 08:45:18] [world] The Player <wqe123420> has broke DEEPSLATE at X= -26, Y= -54, Z= -248
[2023-07-07 08:45:19] [world] The Player <wqe123420> has broke DEEPSLATE at X= -26, Y= -55, Z= -248
[2023-07-07 08:45:19] [world] The Player <wqe123420> has broke DEEPSLATE at X= -25, Y= -55, Z= -248
[2023-07-07 08:45:19] [world] The Player <wqe123420> has broke DEEPSLATE at X= -25, Y= -54, Z= -248
[2023-07-07 08:45:19] [world] The Player <wqe123420> has broke DEEPSLATE at X= -25, Y= -54, Z= -247
[2023-07-07 08:45:19] [world] The Player <wqe123420> has broke DEEPSLATE at X= -24, Y= -54, Z= -247
[2023-07-07 08:45:19] [world] The Player <wqe123420> has broke DEEPSLATE at X= -24, Y= -55, Z= -247
[2023-07-07 08:45:19] [world] The Player <wqe123420> has broke DEEPSLATE at X= -24, Y= -55, Z= -246
[2023-07-07 08:45:19] [world] The Player <wqe123420> has broke DEEPSLATE at X= -24, Y= -54, Z= -248
[2023-07-07 08:45:19] [world] The Player <wqe123420> has broke DEEPSLATE at X= -23, Y= -54, Z= -247
[2023-07-07 08:45:19] [world] The Player <wqe123420> has broke DEEPSLATE at X= -23, Y= -54, Z= -248
[2023-07-07 08:45:19] [world] The Player <wqe123420> has broke DEEPSLATE at X= -22, Y= -54, Z= -247
[2023-07-07 08:45:19] [world] The Player <wqe123420> has broke DEEPSLATE at X= -23, Y= -54, Z= -246
[2023-07-07 08:45:19] [world] The Player <wqe123420> has broke DEEPSLATE at X= -22, Y= -54, Z= -246
[2023-07-07 08:45:19] [world] The Player <wqe123420> has broke DEEPSLATE at X= -23, Y= -55, Z= -247
[2023-07-07 08:45:19] [world] The Player <wqe123420> has broke DEEPSLATE at X= -23, Y= -55, Z= -248
[2023-07-07 08:45:19] [world] The Player <wqe123420> has broke DEEPSLATE at X= -22, Y= -54, Z= -248
[2023-07-07 08:45:19] [world] The Player <wqe123420> has broke DEEPSLATE at X= -22, Y= -55, Z= -248
[2023-07-07 08:45:20] [world] The Player <wqe123420> has broke DEEPSLATE at X= -22, Y= -55, Z= -247
[2023-07-07 08:45:20] [world] The Player <wqe123420> has broke DEEPSLATE at X= -22, Y= -55, Z= -246
[2023-07-07 08:45:20] [world] The Player <wqe123420> has broke DEEPSLATE at X= -21, Y= -55, Z= -246
[2023-07-07 08:45:20] [world] The Player <wqe123420> has broke DEEPSLATE at X= -22, Y= -55, Z= -245
[2023-07-07 08:45:20] [world] The Player <wqe123420> has broke DEEPSLATE at X= -21, Y= -55, Z= -245
[2023-07-07 08:45:20] [world] The Player <wqe123420> has broke DEEPSLATE at X= -21, Y= -54, Z= -248
[2023-07-07 08:45:20] [world] The Player <wqe123420> has broke DEEPSLATE at X= -21, Y= -54, Z= -247
[2023-07-07 08:45:20] [world] The Player <wqe123420> has broke DEEPSLATE at X= -20, Y= -54, Z= -247
[2023-07-07 08:45:20] [world] The Player <wqe123420> has broke DEEPSLATE at X= -21, Y= -54, Z= -246
[2023-07-07 08:45:20] [world] The Player <wqe123420> has broke DEEPSLATE at X= -22, Y= -53, Z= -247
[2023-07-07 08:45:20] [world] The Player <wqe123420> has broke DEEPSLATE at X= -22, Y= -53, Z= -248
[2023-07-07 08:45:20] [world] The Player <wqe123420> has broke DEEPSLATE at X= -22, Y= -52, Z= -247
[2023-07-07 08:45:20] [world] The Player <wqe123420> has broke DEEPSLATE at X= -23, Y= -53, Z= -248
[2023-07-07 08:45:20] [world] The Player <wqe123420> has broke DEEPSLATE at X= -23, Y= -52, Z= -248
[2023-07-07 08:45:20] [world] The Player <wqe123420> has broke DEEPSLATE at X= -23, Y= -52, Z= -247
[2023-07-07 08:45:20] [world] The Player <wqe123420> has broke DEEPSLATE at X= -24, Y= -52, Z= -248
[2023-07-07 08:45:20] [world] The Player <wqe123420> has broke DEEPSLATE at X= -24, Y= -53, Z= -248
[2023-07-07 08:45:20] [world] The Player <wqe123420> has broke DEEPSLATE at X= -25, Y= -52, Z= -248
[2023-07-07 08:45:20] [world] The Player <wqe123420> has broke DEEPSLATE at X= -25, Y= -53, Z= -248
[2023-07-07 08:45:20] [world] The Player <wqe123420> has broke DEEPSLATE at X= -26, Y= -52, Z= -248
[2023-07-07 08:45:21] [world] The Player <wqe123420> has broke DEEPSLATE at X= -26, Y= -53, Z= -248
[2023-07-07 08:45:21] [world] The Player <wqe123420> has broke DEEPSLATE at X= -27, Y= -53, Z= -248
[2023-07-07 08:45:21] [world] The Player <wqe123420> has broke DEEPSLATE at X= -28, Y= -53, Z= -248
[2023-07-07 08:45:21] [world] The Player <wqe123420> has broke DEEPSLATE at X= -27, Y= -53, Z= -247
[2023-07-07 08:45:21] [world] The Player <wqe123420> has broke DEEPSLATE at X= -28, Y= -53, Z= -247
[2023-07-07 08:45:21] [world] The Player <wqe123420> has broke DEEPSLATE at X= -29, Y= -53, Z= -247
[2023-07-07 08:45:21] [world] The Player <wqe123420> has broke DEEPSLATE at X= -30, Y= -53, Z= -247
[2023-07-07 08:45:22] [world] The Player <wqe123420> has broke DEEPSLATE at X= -30, Y= -52, Z= -247
[2023-07-07 08:45:22] [world] The Player <wqe123420> has broke DEEPSLATE at X= -29, Y= -52, Z= -247
[2023-07-07 08:45:22] [world] The Player <wqe123420> has broke DEEPSLATE at X= -28, Y= -52, Z= -247
[2023-07-07 08:45:22] [world] The Player <wqe123420> has broke DEEPSLATE at X= -28, Y= -52, Z= -248
[2023-07-07 08:45:22] [world] The Player <wqe123420> has broke DEEPSLATE at X= -27, Y= -52, Z= -248
[2023-07-07 08:45:22] [world] The Player <wqe123420> has broke DEEPSLATE at X= -27, Y= -52, Z= -247
[2023-07-07 08:45:22] [world] The Player <wqe123420> has broke DEEPSLATE at X= -26, Y= -52, Z= -247
[2023-07-07 08:45:22] [world] The Player <wqe123420> has broke DEEPSLATE at X= -26, Y= -51, Z= -247
[2023-07-07 08:45:22] [world] The Player <wqe123420> has broke DEEPSLATE at X= -26, Y= -52, Z= -246
[2023-07-07 08:45:22] [world] The Player <wqe123420> has broke DEEPSLATE at X= -26, Y= -53, Z= -247
[2023-07-07 08:45:22] [world] The Player <wqe123420> has broke DEEPSLATE at X= -26, Y= -53, Z= -246
[2023-07-07 08:45:22] [world] The Player <wqe123420> has broke DEEPSLATE at X= -27, Y= -54, Z= -247
[2023-07-07 08:45:22] [world] The Player <wqe123420> has broke DEEPSLATE at X= -27, Y= -54, Z= -246
[2023-07-07 08:45:22] [world] The Player <wqe123420> has broke DEEPSLATE at X= -28, Y= -54, Z= -247
[2023-07-07 08:45:22] [world] The Player <wqe123420> has broke DEEPSLATE at X= -28, Y= -54, Z= -246
[2023-07-07 08:45:22] [world] The Player <wqe123420> has broke DEEPSLATE at X= -29, Y= -54, Z= -246
[2023-07-07 08:45:22] [world] The Player <wqe123420> has broke DEEPSLATE at X= -29, Y= -54, Z= -245
[2023-07-07 08:45:23] [world] The Player <wqe123420> has broke DEEPSLATE at X= -30, Y= -54, Z= -245
[2023-07-07 08:45:23] [world] The Player <wqe123420> has broke DEEPSLATE at X= -30, Y= -54, Z= -244
