[2023-08-07 13:02:21] [world] The Player <Funget114514> has broke GRASS at X= -24, Y= 74, Z= -236
[2023-08-07 13:03:17] [world] The Player <Funget114514> has broke STONE at X= -107, Y= 67, Z= -267
[2023-08-07 13:03:18] [world] The Player <Funget114514> has broke STONE at X= -106, Y= 67, Z= -267
[2023-08-07 13:03:18] [world] The Player <Funget114514> has broke STONE at X= -107, Y= 67, Z= -268
[2023-08-07 13:03:19] [world] The Player <Funget114514> has broke STONE at X= -106, Y= 67, Z= -268
[2023-08-07 13:03:20] [world] The Player <Funget114514> has broke STONE at X= -107, Y= 66, Z= -267
[2023-08-07 13:03:20] [world] The Player <Funget114514> has broke STONE at X= -106, Y= 66, Z= -267
[2023-08-07 13:03:20] [world] The Player <Funget114514> has broke STONE at X= -107, Y= 66, Z= -268
[2023-08-07 13:03:21] [world] The Player <Funget114514> has broke STONE at X= -106, Y= 66, Z= -268
[2023-08-07 13:03:22] [world] The Player <Funget114514> has broke SANDSTONE at X= -107, Y= 66, Z= -269
[2023-08-07 13:03:22] [world] The Player <Funget114514> has broke SANDSTONE at X= -107, Y= 66, Z= -270
[2023-08-07 13:04:05] [world] The Player <Funget114514> has broke GRASS at X= -216, Y= 71, Z= -154
[2023-08-07 13:04:14] [world] The Player <Funget114514> has broke GRASS at X= -198, Y= 69, Z= -118
[2023-08-07 13:04:16] [world] The Player <Funget114514> has broke GRASS at X= -195, Y= 69, Z= -117
[2023-08-07 13:04:19] [world] The Player <Funget114514> has broke GRASS at X= -199, Y= 73, Z= -105
[2023-08-07 13:10:43] [world] The Player <Funget114514> has broke SPRUCE_SLAB at X= 834, Y= 204, Z= 551
[2023-08-07 13:10:48] [world] The Player <Funget114514> has broke SPRUCE_SLAB at X= 836, Y= 203, Z= 552
[2023-08-07 13:11:40] [world] The Player <Funget114514> has broke SPRUCE_SLAB at X= 840, Y= 203, Z= 552
[2023-08-07 13:12:58] [world] The Player <Funget114514> has broke SPRUCE_SLAB at X= 840, Y= 203, Z= 547
[2023-08-07 13:13:00] [world] The Player <Funget114514> has broke SPRUCE_SLAB at X= 840, Y= 203, Z= 546
[2023-08-07 13:13:24] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 834, Y= 205, Z= 545
[2023-08-07 13:13:25] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 834, Y= 204, Z= 545
[2023-08-07 13:13:39] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 205, Z= 546
[2023-08-07 13:13:46] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 206, Z= 546
[2023-08-07 13:13:51] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 205, Z= 546
[2023-08-07 13:13:51] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 204, Z= 546
[2023-08-07 13:14:04] [world] The Player <Funget114514> has broke SPRUCE_LOG at X= 833, Y= 208, Z= 545
[2023-08-07 13:14:05] [world] The Player <Funget114514> has broke SPRUCE_LOG at X= 833, Y= 207, Z= 545
[2023-08-07 13:14:13] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 205, Z= 546
[2023-08-07 13:14:15] [world] The Player <Funget114514> has broke SPRUCE_SLAB at X= 833, Y= 204, Z= 546
[2023-08-07 13:14:23] [world] The Player <Funget114514> has broke SPRUCE_SLAB at X= 833, Y= 205, Z= 546
[2023-08-07 13:14:24] [world] The Player <Funget114514> has broke SPRUCE_SLAB at X= 833, Y= 204, Z= 546
[2023-08-07 13:14:35] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 205, Z= 546
[2023-08-07 13:14:45] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 204, Z= 546
[2023-08-07 13:15:01] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 206, Z= 548
[2023-08-07 13:15:03] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 206, Z= 547
[2023-08-07 13:15:10] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 205, Z= 547
[2023-08-07 13:15:36] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 206, Z= 552
[2023-08-07 13:15:37] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 205, Z= 552
[2023-08-07 13:15:37] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 204, Z= 552
[2023-08-07 13:15:38] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 205, Z= 551
[2023-08-07 13:15:39] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 206, Z= 551
[2023-08-07 13:15:39] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 205, Z= 550
[2023-08-07 13:15:40] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 206, Z= 550
[2023-08-07 13:15:41] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 206, Z= 549
[2023-08-07 13:15:41] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 205, Z= 549
[2023-08-07 13:15:41] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 205, Z= 548
[2023-08-07 13:15:42] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 206, Z= 548
[2023-08-07 13:15:42] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 205, Z= 547
[2023-08-07 13:15:43] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 206, Z= 547
[2023-08-07 13:15:43] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 206, Z= 546
[2023-08-07 13:15:43] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 205, Z= 546
[2023-08-07 13:15:44] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 204, Z= 546
[2023-08-07 13:15:46] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 204, Z= 547
[2023-08-07 13:15:46] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 204, Z= 548
[2023-08-07 13:15:46] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 204, Z= 549
[2023-08-07 13:15:47] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 204, Z= 550
[2023-08-07 13:15:47] [world] The Player <Funget114514> has broke SPRUCE_STAIRS at X= 833, Y= 204, Z= 551
[2023-08-07 18:12:49] [world] The Player <Funget114514> has broke FIRE at X= -16, Y= 63, Z= -285
[2023-08-07 18:13:03] [world] The Player <Funget114514> has broke FIRE at X= -15, Y= 63, Z= -284
[2023-08-07 18:13:03] [world] The Player <Funget114514> has broke FIRE at X= -16, Y= 63, Z= -284
[2023-08-07 18:13:04] [world] The Player <Funget114514> has broke FIRE at X= -15, Y= 62, Z= -285
[2023-08-07 18:16:44] [world_the_end] The Player <Funget114514> has broke SMITHING_TABLE at X= -16, Y= 1, Z= -276
