[2023-08-09 09:51:19] [world] The Player <Enderlava1234> has broke MANGROVE_ROOTS at X= -15, Y= 64, Z= -287
[2023-08-09 09:53:56] [world] The Player <Enderlava1234> has broke CHORUS_PLANT at X= -19, Y= 66, Z= -300
[2023-08-09 09:55:19] [world] The Player <Enderlava1234> has broke STRIPPED_SPRUCE_LOG at X= -24, Y= 68, Z= -279
[2023-08-09 09:59:06] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 3, Y= 116, Z= -22
[2023-08-09 09:59:06] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 2, Y= 116, Z= -22
[2023-08-09 09:59:06] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 2, Y= 115, Z= -22
[2023-08-09 09:59:06] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 1, Y= 115, Z= -22
[2023-08-09 09:59:06] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 0, Y= 115, Z= -22
[2023-08-09 09:59:06] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -1, Y= 115, Z= -22
[2023-08-09 09:59:06] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 1, Y= 116, Z= -22
[2023-08-09 09:59:06] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 0, Y= 114, Z= -22
[2023-08-09 09:59:06] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= 1, Y= 114, Z= -22
[2023-08-09 09:59:07] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -1, Y= 114, Z= -22
[2023-08-09 09:59:07] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -2, Y= 114, Z= -22
[2023-08-09 09:59:08] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -2, Y= 115, Z= -22
[2023-08-09 09:59:08] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -3, Y= 114, Z= -22
[2023-08-09 09:59:08] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -4, Y= 114, Z= -22
[2023-08-09 09:59:09] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -3, Y= 115, Z= -22
[2023-08-09 09:59:09] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -4, Y= 115, Z= -22
[2023-08-09 09:59:09] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -5, Y= 115, Z= -22
[2023-08-09 09:59:09] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -5, Y= 114, Z= -22
[2023-08-09 09:59:09] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -6, Y= 114, Z= -22
[2023-08-09 09:59:09] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -6, Y= 115, Z= -22
[2023-08-09 09:59:09] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -7, Y= 114, Z= -22
[2023-08-09 09:59:09] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -8, Y= 114, Z= -22
[2023-08-09 09:59:09] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -7, Y= 115, Z= -22
[2023-08-09 09:59:09] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -8, Y= 115, Z= -22
[2023-08-09 09:59:09] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -9, Y= 114, Z= -22
[2023-08-09 09:59:09] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -10, Y= 114, Z= -22
[2023-08-09 09:59:09] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -9, Y= 115, Z= -22
[2023-08-09 09:59:09] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -10, Y= 115, Z= -22
[2023-08-09 09:59:09] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -11, Y= 114, Z= -22
[2023-08-09 09:59:26] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -11, Y= 115, Z= -22
[2023-08-09 09:59:26] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -12, Y= 115, Z= -22
[2023-08-09 09:59:26] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -13, Y= 115, Z= -22
[2023-08-09 09:59:26] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -12, Y= 114, Z= -22
[2023-08-09 09:59:26] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -13, Y= 114, Z= -22
[2023-08-09 09:59:26] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -14, Y= 114, Z= -22
[2023-08-09 09:59:26] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -14, Y= 114, Z= -21
[2023-08-09 09:59:27] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -14, Y= 113, Z= -21
[2023-08-09 09:59:27] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -15, Y= 113, Z= -21
[2023-08-09 09:59:27] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -15, Y= 114, Z= -21
[2023-08-09 09:59:27] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -16, Y= 113, Z= -21
[2023-08-09 09:59:27] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -16, Y= 114, Z= -21
[2023-08-09 09:59:27] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -14, Y= 115, Z= -22
[2023-08-09 09:59:27] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -15, Y= 115, Z= -22
[2023-08-09 09:59:27] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -16, Y= 115, Z= -22
[2023-08-09 09:59:27] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -17, Y= 115, Z= -22
[2023-08-09 09:59:27] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -18, Y= 115, Z= -22
[2023-08-09 09:59:27] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -19, Y= 115, Z= -22
[2023-08-09 09:59:27] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -19, Y= 114, Z= -22
[2023-08-09 09:59:27] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -18, Y= 114, Z= -22
[2023-08-09 09:59:28] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -16, Y= 114, Z= -22
[2023-08-09 09:59:28] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -15, Y= 114, Z= -22
[2023-08-09 09:59:28] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -17, Y= 114, Z= -22
[2023-08-09 09:59:28] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -17, Y= 113, Z= -22
[2023-08-09 09:59:28] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -18, Y= 113, Z= -22
[2023-08-09 09:59:28] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -19, Y= 113, Z= -22
[2023-08-09 09:59:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -20, Y= 114, Z= -22
[2023-08-09 09:59:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -21, Y= 114, Z= -22
[2023-08-09 09:59:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -22, Y= 114, Z= -22
[2023-08-09 09:59:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -23, Y= 114, Z= -22
[2023-08-09 09:59:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -23, Y= 115, Z= -22
[2023-08-09 09:59:29] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -20, Y= 115, Z= -22
[2023-08-09 09:59:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -21, Y= 115, Z= -22
[2023-08-09 09:59:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -22, Y= 115, Z= -22
[2023-08-09 09:59:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -22, Y= 115, Z= -21
[2023-08-09 09:59:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -23, Y= 115, Z= -21
[2023-08-09 09:59:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -23, Y= 114, Z= -21
[2023-08-09 09:59:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -24, Y= 114, Z= -21
[2023-08-09 09:59:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -23, Y= 113, Z= -21
[2023-08-09 09:59:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -24, Y= 113, Z= -21
[2023-08-09 09:59:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -23, Y= 113, Z= -22
[2023-08-09 09:59:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -22, Y= 113, Z= -22
[2023-08-09 09:59:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -23, Y= 112, Z= -22
[2023-08-09 09:59:35] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -24, Y= 112, Z= -22
[2023-08-09 09:59:36] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -24, Y= 113, Z= -22
[2023-08-09 09:59:40] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -25, Y= 113, Z= -22
[2023-08-09 09:59:40] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -24, Y= 114, Z= -22
[2023-08-09 09:59:40] [world_nether] The Player <Funget114514> has broke NETHERRACK at X= -25, Y= 112, Z= -22
