[2023-08-09 14:28:41] [world] The Player <Enderlava> has broke CHORUS_PLANT at X= -19, Y= 64, Z= -299
[2023-08-09 14:28:42] [world] The Player <Enderlava> has broke CHORUS_PLANT at X= -17, Y= 64, Z= -299
[2023-08-09 14:28:44] [world] The Player <Enderlava> has broke CHORUS_PLANT at X= -17, Y= 64, Z= -296
[2023-08-09 14:28:46] [world] The Player <Enderlava> has broke CHORUS_PLANT at X= -19, Y= 64, Z= -296
[2023-08-09 14:28:47] [world] The Player <Enderlava> has broke CHORUS_PLANT at X= -21, Y= 64, Z= -296
[2023-08-09 14:28:49] [world] The Player <Enderlava> has broke CHORUS_PLANT at X= -23, Y= 64, Z= -296
[2023-08-09 14:28:52] [world] The Player <Enderlava> has broke CHORUS_PLANT at X= -23, Y= 64, Z= -299
[2023-08-09 14:28:55] [world] The Player <Enderlava> has broke CHORUS_PLANT at X= -21, Y= 64, Z= -299
[2023-08-09 14:29:37] [world] The Player <Enderlava> has broke COBBLESTONE at X= -24, Y= 64, Z= -294
[2023-08-09 14:29:37] [world] The Player <Enderlava> has broke STONE at X= -24, Y= 63, Z= -294
[2023-08-09 14:29:48] [world] The Player <Enderlava> has broke GLASS at X= -25, Y= 63, Z= -293
[2023-08-09 14:50:38] [world_the_end] The Player <Enderlava> has broke REDSTONE_BLOCK at X= 99, Y= 44, Z= 6
[2023-08-09 14:50:40] [world_the_end] The Player <Enderlava> has broke GLASS at X= 99, Y= 44, Z= 6
[2023-08-09 14:50:40] [world_the_end] The Player <Enderlava> has broke REDSTONE_BLOCK at X= 99, Y= 44, Z= 5
[2023-08-09 14:50:40] [world_the_end] The Player <Enderlava> has broke REDSTONE_BLOCK at X= 99, Y= 44, Z= 4
[2023-08-09 14:50:41] [world_the_end] The Player <Enderlava> has broke REDSTONE_BLOCK at X= 99, Y= 44, Z= 3
[2023-08-09 14:50:41] [world_the_end] The Player <Enderlava> has broke REDSTONE_BLOCK at X= 99, Y= 44, Z= 2
[2023-08-09 14:51:17] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 0, Y= 56, Z= 0
[2023-08-09 14:51:25] [world_the_end] The Player <Enderlava> has broke SLIME_BLOCK at X= 4, Y= 62, Z= -1
[2023-08-09 14:51:25] [world_the_end] The Player <Enderlava> has broke SLIME_BLOCK at X= 4, Y= 62, Z= 0
[2023-08-09 14:51:26] [world_the_end] The Player <Enderlava> has broke SLIME_BLOCK at X= 4, Y= 62, Z= 1
[2023-08-09 14:51:37] [world_the_end] The Player <Enderlava> has broke SLIME_BLOCK at X= 1, Y= 62, Z= 4
[2023-08-09 14:51:38] [world_the_end] The Player <Enderlava> has broke SLIME_BLOCK at X= 0, Y= 62, Z= 4
[2023-08-09 14:51:38] [world_the_end] The Player <Enderlava> has broke SLIME_BLOCK at X= -1, Y= 62, Z= 4
[2023-08-09 14:51:46] [world_the_end] The Player <Enderlava> has broke SLIME_BLOCK at X= -4, Y= 62, Z= 1
[2023-08-09 14:51:46] [world_the_end] The Player <Enderlava> has broke SLIME_BLOCK at X= -4, Y= 62, Z= 0
[2023-08-09 14:51:46] [world_the_end] The Player <Enderlava> has broke SLIME_BLOCK at X= -4, Y= 62, Z= -1
[2023-08-09 14:51:54] [world_the_end] The Player <Enderlava> has broke SLIME_BLOCK at X= -1, Y= 62, Z= -4
[2023-08-09 14:51:54] [world_the_end] The Player <Enderlava> has broke SLIME_BLOCK at X= 0, Y= 62, Z= -4
