[2023-07-10 09:20:57] [world] The Player <Enderlava> has broke COBBLESTONE at X= -840, Y= 93, Z= -736
[2023-07-10 09:20:58] [world] The Player <Enderlava> has broke COBBLESTONE at X= -840, Y= 92, Z= -736
[2023-07-10 09:21:01] [world] The Player <Enderlava> has broke COBBLESTONE at X= -840, Y= 91, Z= -735
[2023-07-10 09:21:02] [world] The Player <Enderlava> has broke COBBLESTONE at X= -840, Y= 91, Z= -736
[2023-07-10 09:21:03] [world] The Player <Enderlava> has broke COBBLESTONE at X= -840, Y= 92, Z= -737
[2023-07-10 09:21:03] [world] The Player <Enderlava> has broke COBBLESTONE at X= -840, Y= 90, Z= -736
[2023-07-10 09:21:04] [world] The Player <Enderlava> has broke COBBLESTONE at X= -840, Y= 89, Z= -736
[2023-07-10 09:21:04] [world] The Player <Enderlava> has broke COBBLESTONE at X= -840, Y= 88, Z= -736
[2023-07-10 09:21:04] [world] The Player <Enderlava> has broke COBBLESTONE at X= -840, Y= 87, Z= -736
[2023-07-10 09:21:04] [world] The Player <Enderlava> has broke COBBLESTONE at X= -840, Y= 85, Z= -736
[2023-07-10 09:21:05] [world] The Player <Enderlava> has broke COBBLESTONE at X= -840, Y= 82, Z= -736
[2023-07-10 09:21:05] [world] The Player <Enderlava> has broke COBBLESTONE at X= -840, Y= 81, Z= -736
[2023-07-10 09:21:06] [world] The Player <Enderlava> has broke COBBLESTONE at X= -840, Y= 80, Z= -736
[2023-07-10 09:21:07] [world] The Player <Enderlava> has broke COBBLESTONE at X= -840, Y= 83, Z= -736
[2023-07-10 09:21:07] [world] The Player <Enderlava> has broke COBBLESTONE at X= -840, Y= 84, Z= -736
[2023-07-10 09:21:07] [world] The Player <Enderlava> has broke COBBLESTONE at X= -840, Y= 86, Z= -736
[2023-07-10 09:21:11] [world] The Player <Enderlava> has broke COBBLESTONE at X= -840, Y= 94, Z= -735
[2023-07-10 09:21:13] [world] The Player <Enderlava> has broke COBBLESTONE at X= -839, Y= 93, Z= -735
[2023-07-10 09:21:14] [world] The Player <Enderlava> has broke COBBLESTONE at X= -840, Y= 93, Z= -736
[2023-07-10 09:21:34] [world] The Player <Enderlava> has broke COBBLESTONE at X= -841, Y= 94, Z= -731
[2023-07-10 09:22:13] [world] The Player <Enderlava> has broke REPEATER at X= -838, Y= 95, Z= -732
[2023-07-10 09:22:35] [world] The Player <Enderlava> has broke PISTON at X= -842, Y= 94, Z= -729
[2023-07-10 09:22:47] [world] The Player <Enderlava> has broke COBBLESTONE at X= -842, Y= 94, Z= -732
[2023-07-10 09:22:47] [world] The Player <Enderlava> has broke COBBLESTONE at X= -842, Y= 94, Z= -731
[2023-07-10 09:22:51] [world] The Player <Enderlava> has broke COBBLESTONE at X= -844, Y= 94, Z= -731
[2023-07-10 09:22:52] [world] The Player <Enderlava> has broke COBBLESTONE at X= -845, Y= 95, Z= -731
[2023-07-10 09:22:55] [world] The Player <Enderlava> has broke COBBLESTONE at X= -845, Y= 95, Z= -730
[2023-07-10 09:22:56] [world] The Player <Enderlava> has broke COBBLESTONE at X= -845, Y= 95, Z= -731
[2023-07-10 09:22:57] [world] The Player <Enderlava> has broke COBBLESTONE at X= -845, Y= 95, Z= -730
[2023-07-10 09:23:06] [world] The Player <Enderlava> has broke OBSERVER at X= -843, Y= 94, Z= -730
[2023-07-10 09:23:16] [world] The Player <Enderlava> has broke OBSERVER at X= -843, Y= 94, Z= -729
[2023-07-10 09:23:21] [world] The Player <Enderlava> has broke OBSERVER at X= -842, Y= 94, Z= -729
[2023-07-10 09:23:48] [world] The Player <Enderlava> has broke GLASS at X= -846, Y= 92, Z= -730
[2023-07-10 09:23:50] [world] The Player <Enderlava> has broke GLASS at X= -846, Y= 93, Z= -731
[2023-07-10 09:23:59] [world] The Player <Enderlava> has broke GLASS at X= -843, Y= 93, Z= -729
[2023-07-10 09:24:10] [world] The Player <Enderlava> has broke GLASS at X= -845, Y= 92, Z= -730
[2023-07-10 09:24:49] [world] The Player <Enderlava> has broke TNT at X= -844, Y= 94, Z= -731
[2023-07-10 09:25:59] [world] The Player <Enderlava> has broke OBSERVER at X= -844, Y= 94, Z= -730
[2023-07-10 09:26:02] [world] The Player <Enderlava> has broke GLASS at X= -845, Y= 94, Z= -729
[2023-07-10 09:26:13] [world] The Player <Enderlava> has broke GLASS at X= -845, Y= 93, Z= -729
[2023-07-10 09:26:13] [world] The Player <Enderlava> has broke GLASS at X= -844, Y= 94, Z= -729
[2023-07-10 09:26:14] [world] The Player <Enderlava> has broke GLASS at X= -844, Y= 93, Z= -729
[2023-07-10 09:26:17] [world] The Player <Enderlava> has broke OBSERVER at X= -843, Y= 94, Z= -730
[2023-07-10 09:26:21] [world] The Player <Enderlava> has broke OBSERVER at X= -843, Y= 94, Z= -730
[2023-07-10 09:26:24] [world] The Player <Enderlava> has broke OBSERVER at X= -843, Y= 94, Z= -730
[2023-07-10 09:26:38] [world] The Player <Enderlava> has broke TNT at X= -845, Y= 94, Z= -730
[2023-07-10 09:26:56] [world] The Player <Enderlava> has broke GLASS at X= -844, Y= 93, Z= -730
[2023-07-10 09:27:00] [world] The Player <Enderlava> has broke GLASS at X= -843, Y= 93, Z= -729
[2023-07-10 09:27:14] [world] The Player <Enderlava> has broke GLASS at X= -845, Y= 95, Z= -729
[2023-07-10 09:27:14] [world] The Player <Enderlava> has broke GLASS at X= -845, Y= 94, Z= -729
[2023-07-10 09:27:31] [world] The Player <Enderlava> has broke GLASS at X= -845, Y= 93, Z= -729
[2023-07-10 09:27:32] [world] The Player <Enderlava> has broke COBBLESTONE at X= -846, Y= 95, Z= -730
[2023-07-10 09:27:33] [world] The Player <Enderlava> has broke GLASS at X= -844, Y= 93, Z= -729
[2023-07-10 09:27:58] [world] The Player <Enderlava> has broke COBBLESTONE at X= -842, Y= 94, Z= -731
[2023-07-10 09:28:22] [world] The Player <Enderlava> has broke REPEATER at X= -839, Y= 95, Z= -733
[2023-07-10 09:28:29] [world] The Player <Enderlava> has broke COMPARATOR at X= -839, Y= 95, Z= -733
[2023-07-10 09:28:38] [world] The Player <Enderlava> has broke REPEATER at X= -839, Y= 95, Z= -734
[2023-07-10 09:28:42] [world] The Player <Enderlava> has broke REPEATER at X= -839, Y= 95, Z= -733
[2023-07-10 09:29:09] [world] The Player <Enderlava> has broke OBSERVER at X= -843, Y= 94, Z= -729
[2023-07-10 09:29:10] [world] The Player <Enderlava> has broke OBSERVER at X= -842, Y= 94, Z= -729
[2023-07-10 09:29:21] [world] The Player <Enderlava> has broke GLASS at X= -843, Y= 93, Z= -729
[2023-07-10 09:29:30] [world] The Player <Enderlava> has broke GLASS at X= -846, Y= 93, Z= -731
[2023-07-10 09:29:31] [world] The Player <Enderlava> has broke GLASS at X= -846, Y= 93, Z= -729
[2023-07-10 09:29:36] [world] The Player <Enderlava> has broke GLASS at X= -845, Y= 94, Z= -729
[2023-07-10 09:29:42] [world] The Player <Enderlava> has broke COBBLESTONE at X= -844, Y= 94, Z= -730
[2023-07-10 09:29:43] [world] The Player <Enderlava> has broke COBBLESTONE at X= -844, Y= 94, Z= -730
[2023-07-10 09:29:46] [world] The Player <Enderlava> has broke COBBLESTONE at X= -845, Y= 95, Z= -730
[2023-07-10 09:29:50] [world] The Player <Enderlava> has broke COBBLESTONE at X= -843, Y= 95, Z= -731
[2023-07-10 09:29:51] [world] The Player <Enderlava> has broke COBBLESTONE at X= -843, Y= 95, Z= -731
[2023-07-10 09:29:57] [world] The Player <Enderlava> has broke COBBLESTONE at X= -844, Y= 94, Z= -731
[2023-07-10 09:29:59] [world] The Player <Enderlava> has broke COBBLESTONE at X= -845, Y= 94, Z= -731
[2023-07-10 09:30:17] [world] The Player <Enderlava> has broke GLASS at X= -845, Y= 93, Z= -729
[2023-07-10 09:33:19] [world] The Player <Enderlava> has broke STONE at X= -851, Y= 51, Z= -730
[2023-07-10 09:33:19] [world] The Player <Enderlava> has broke STONE at X= -851, Y= 50, Z= -730
