[2023-07-11 08:39:12] [world] The Player <Funget114514> has broke SAND at X= -24, Y= 63, Z= -288
[2023-07-11 08:41:29] [world] The Player <Funget114514> has broke RED_SHULKER_BOX at X= -28, Y= 63, Z= -288
[2023-07-11 08:57:50] [world] The Player <Enderlava> has broke SUGAR_CANE at X= -7, Y= 64, Z= -292
[2023-07-11 08:57:50] [world] The Player <Enderlava> has broke SUGAR_CANE at X= -6, Y= 64, Z= -292
[2023-07-11 08:57:50] [world] The Player <Enderlava> has broke SUGAR_CANE at X= -5, Y= 64, Z= -292
[2023-07-11 08:57:50] [world] The Player <Enderlava> has broke SUGAR_CANE at X= -3, Y= 64, Z= -292
[2023-07-11 08:57:50] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 0, Y= 64, Z= -292
[2023-07-11 08:57:52] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 2, Y= 64, Z= -292
[2023-07-11 08:57:52] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 3, Y= 64, Z= -292
[2023-07-11 08:57:53] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 4, Y= 64, Z= -293
[2023-07-11 08:57:53] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 4, Y= 64, Z= -294
[2023-07-11 08:57:53] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 4, Y= 64, Z= -295
[2023-07-11 08:57:53] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 4, Y= 64, Z= -296
[2023-07-11 08:57:54] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 4, Y= 64, Z= -297
[2023-07-11 08:57:54] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 4, Y= 64, Z= -298
[2023-07-11 08:57:54] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 4, Y= 64, Z= -299
[2023-07-11 08:57:54] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 4, Y= 64, Z= -300
[2023-07-11 08:57:54] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 4, Y= 64, Z= -301
[2023-07-11 08:57:55] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 5, Y= 64, Z= -304
[2023-07-11 08:57:55] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 4, Y= 64, Z= -302
[2023-07-11 08:57:55] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 4, Y= 64, Z= -303
[2023-07-11 08:57:55] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 6, Y= 64, Z= -304
[2023-07-11 08:57:55] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 7, Y= 64, Z= -304
[2023-07-11 08:57:55] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 8, Y= 64, Z= -304
[2023-07-11 08:57:56] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 9, Y= 64, Z= -304
[2023-07-11 08:57:56] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 10, Y= 64, Z= -304
[2023-07-11 08:57:56] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 11, Y= 64, Z= -304
[2023-07-11 08:57:56] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 12, Y= 64, Z= -304
[2023-07-11 08:57:56] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 13, Y= 64, Z= -303
[2023-07-11 08:57:56] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 13, Y= 64, Z= -302
[2023-07-11 08:57:57] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 13, Y= 64, Z= -301
[2023-07-11 08:57:57] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 13, Y= 64, Z= -300
[2023-07-11 08:57:57] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 13, Y= 64, Z= -299
[2023-07-11 08:57:57] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 13, Y= 64, Z= -298
[2023-07-11 08:57:57] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 13, Y= 64, Z= -297
[2023-07-11 08:57:58] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 14, Y= 64, Z= -296
[2023-07-11 08:58:26] [world] The Player <Enderlava> has broke CHEST at X= -27, Y= 64, Z= -289
[2023-07-11 09:01:56] [world_nether] The Player <Enderlava> has broke FIRE at X= 0, Y= 76, Z= -28
[2023-07-11 09:03:54] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -6, Y= 89, Z= 8
[2023-07-11 09:06:40] [world_nether] The Player <Enderlava> has broke REDSTONE_BLOCK at X= -7, Y= 129, Z= -1
[2023-07-11 09:06:42] [world_nether] The Player <Enderlava> has broke NOTE_BLOCK at X= -9, Y= 130, Z= -2
[2023-07-11 09:06:43] [world_nether] The Player <Enderlava> has broke REDSTONE_BLOCK at X= -10, Y= 130, Z= -2
[2023-07-11 09:06:44] [world_nether] The Player <Enderlava> has broke OBSERVER at X= -8, Y= 130, Z= -1
[2023-07-11 09:06:45] [world_nether] The Player <Enderlava> has broke SMOOTH_QUARTZ at X= -4, Y= 129, Z= 0
[2023-07-11 09:06:46] [world_nether] The Player <Enderlava> has broke SMOOTH_QUARTZ at X= -3, Y= 131, Z= 0
[2023-07-11 09:07:17] [world_nether] The Player <Enderlava> has broke SMOOTH_QUARTZ at X= -15, Y= 147, Z= 3
[2023-07-11 09:07:19] [world_nether] The Player <Enderlava> has broke OBSERVER at X= -15, Y= 149, Z= 2
[2023-07-11 09:07:19] [world_nether] The Player <Enderlava> has broke SMOOTH_QUARTZ at X= -15, Y= 149, Z= 1
[2023-07-11 09:07:20] [world_nether] The Player <Enderlava> has broke SMOOTH_QUARTZ at X= -15, Y= 148, Z= 0
[2023-07-11 09:07:25] [world_nether] The Player <Enderlava> has broke OBSERVER at X= -15, Y= 148, Z= -2
[2023-07-11 09:07:27] [world_nether] The Player <Enderlava> has broke SMOOTH_QUARTZ at X= -13, Y= 147, Z= 4
[2023-07-11 09:07:49] [world_nether] The Player <Enderlava> has broke PISTON at X= -15, Y= 149, Z= -3
[2023-07-11 09:07:55] [world_nether] The Player <Enderlava> has broke SMOOTH_QUARTZ at X= -15, Y= 149, Z= -2
[2023-07-11 09:08:12] [world_nether] The Player <Enderlava> has broke SMOOTH_QUARTZ at X= -13, Y= 148, Z= 3
[2023-07-11 09:08:13] [world_nether] The Player <Enderlava> has broke SMOOTH_QUARTZ at X= -13, Y= 147, Z= 5
[2023-07-11 09:08:14] [world_nether] The Player <Enderlava> has broke REDSTONE_BLOCK at X= -14, Y= 144, Z= 3
[2023-07-11 09:08:15] [world_nether] The Player <Enderlava> has broke REDSTONE_WIRE at X= -15, Y= 146, Z= 5
[2023-07-11 09:08:15] [world_nether] The Player <Enderlava> has broke WHITE_STAINED_GLASS at X= -15, Y= 145, Z= 5
[2023-07-11 09:08:17] [world_nether] The Player <Enderlava> has broke REDSTONE_BLOCK at X= -15, Y= 145, Z= 6
[2023-07-11 09:08:20] [world_nether] The Player <Enderlava> has broke OBSERVER at X= -15, Y= 145, Z= 7
[2023-07-11 09:08:23] [world_nether] The Player <Enderlava> has broke WHITE_STAINED_GLASS at X= -15, Y= 143, Z= 8
[2023-07-11 09:11:29] [world_nether] The Player <Enderlava> has broke DROPPER at X= -18, Y= 137, Z= -17
[2023-07-11 09:11:29] [world_nether] The Player <Enderlava> has broke DROPPER at X= -18, Y= 136, Z= -17
[2023-07-11 09:11:30] [world_nether] The Player <Enderlava> has broke DROPPER at X= -18, Y= 135, Z= -17
[2023-07-11 09:11:30] [world_nether] The Player <Enderlava> has broke DROPPER at X= -18, Y= 134, Z= -17
[2023-07-11 09:11:31] [world_nether] The Player <Enderlava> has broke DROPPER at X= -18, Y= 133, Z= -17
[2023-07-11 09:17:01] [world] The Player <Enderlava> has broke COBBLESTONE at X= -843, Y= 95, Z= -730
[2023-07-11 09:17:02] [world] The Player <Enderlava> has broke COBBLESTONE at X= -844, Y= 95, Z= -730
[2023-07-11 09:17:12] [world] The Player <Enderlava> has broke REDSTONE_WIRE at X= -843, Y= 95, Z= -731
[2023-07-11 09:17:13] [world] The Player <Enderlava> has broke REDSTONE_WIRE at X= -844, Y= 94, Z= -731
[2023-07-11 09:17:17] [world] The Player <Enderlava> has broke REDSTONE_WIRE at X= -845, Y= 96, Z= -730
[2023-07-11 09:17:17] [world] The Player <Enderlava> has broke REDSTONE_WIRE at X= -846, Y= 96, Z= -730
[2023-07-11 09:17:18] [world] The Player <Enderlava> has broke COBBLESTONE at X= -846, Y= 95, Z= -730
[2023-07-11 09:17:19] [world] The Player <Enderlava> has broke PISTON at X= -846, Y= 94, Z= -730
[2023-07-11 09:17:24] [world] The Player <Enderlava> has broke COBBLESTONE at X= -841, Y= 94, Z= -730
[2023-07-11 09:17:47] [world] The Player <Enderlava> has broke OBSERVER at X= -840, Y= 94, Z= -730
[2023-07-11 09:18:12] [world] The Player <Enderlava> has broke STICKY_PISTON at X= -838, Y= 94, Z= -730
[2023-07-11 09:19:21] [world] The Player <Enderlava> has broke PISTON at X= -842, Y= 94, Z= -730
[2023-07-11 09:19:24] [world] The Player <Enderlava> has broke OBSERVER at X= -843, Y= 94, Z= -730
[2023-07-11 09:19:49] [world] The Player <Enderlava> has broke TNT at X= -844, Y= 94, Z= -730
[2023-07-11 09:19:53] [world] The Player <Enderlava> has broke REDSTONE_WALL_TORCH at X= -840, Y= 95, Z= -732
[2023-07-11 09:19:56] [world] The Player <Enderlava> has broke REPEATER at X= -839, Y= 95, Z= -731
[2023-07-11 09:19:58] [world] The Player <Enderlava> has broke REPEATER at X= -838, Y= 95, Z= -732
[2023-07-11 09:19:59] [world] The Player <Enderlava> has broke REPEATER at X= -839, Y= 95, Z= -733
[2023-07-11 09:20:00] [world] The Player <Enderlava> has broke REPEATER at X= -839, Y= 95, Z= -734
[2023-07-11 09:20:01] [world] The Player <Enderlava> has broke REDSTONE_WALL_TORCH at X= -839, Y= 95, Z= -735
[2023-07-11 09:20:03] [world] The Player <Enderlava> has broke REDSTONE_WIRE at X= -838, Y= 95, Z= -733
[2023-07-11 09:20:04] [world] The Player <Enderlava> has broke REDSTONE_WIRE at X= -838, Y= 95, Z= -731
[2023-07-11 09:20:05] [world] The Player <Enderlava> has broke REDSTONE_WIRE at X= -840, Y= 95, Z= -731
[2023-07-11 09:20:06] [world] The Player <Enderlava> has broke COBBLESTONE at X= -840, Y= 95, Z= -733
