[2023-07-17 09:08:25] [world] The Player <Enderlava> has broke OBSERVER at X= 1068, Y= 208, Z= -203
[2023-07-17 09:08:25] [world] The Player <Enderlava> has broke OBSERVER at X= 1068, Y= 208, Z= -204
[2023-07-17 09:08:27] [world] The Player <Enderlava> has broke REDSTONE_WIRE at X= 1068, Y= 208, Z= -205
[2023-07-17 09:08:28] [world] The Player <Enderlava> has broke REDSTONE_WIRE at X= 1067, Y= 208, Z= -205
[2023-07-17 09:09:19] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1068, Y= 208, Z= -200
[2023-07-17 09:09:20] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1067, Y= 208, Z= -200
[2023-07-17 09:09:21] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1068, Y= 208, Z= -201
[2023-07-17 09:09:21] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1068, Y= 208, Z= -202
[2023-07-17 09:09:23] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1069, Y= 207, Z= -202
[2023-07-17 09:09:23] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1069, Y= 207, Z= -201
[2023-07-17 09:09:24] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1069, Y= 207, Z= -200
[2023-07-17 09:09:37] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1068, Y= 207, Z= -204
[2023-07-17 09:09:38] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1068, Y= 207, Z= -205
[2023-07-17 09:09:38] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1067, Y= 207, Z= -205
[2023-07-17 09:09:39] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1067, Y= 207, Z= -204
[2023-07-17 09:09:39] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1068, Y= 207, Z= -203
[2023-07-17 09:09:40] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1067, Y= 207, Z= -203
[2023-07-17 09:09:45] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1066, Y= 207, Z= -204
[2023-07-17 09:09:45] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1066, Y= 207, Z= -203
[2023-07-17 09:09:46] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1067, Y= 208, Z= -203
[2023-07-17 09:09:47] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1067, Y= 208, Z= -204
[2023-07-17 09:09:54] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1066, Y= 208, Z= -204
[2023-07-17 09:09:55] [world] The Player <Enderlava> has broke SMOOTH_STONE_SLAB at X= 1066, Y= 208, Z= -203
[2023-07-17 09:10:12] [world] The Player <Enderlava> has broke REPEATER at X= 1067, Y= 209, Z= -203
[2023-07-17 09:11:07] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1073, Y= 205, Z= -193
[2023-07-17 09:11:07] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1073, Y= 205, Z= -192
[2023-07-17 09:11:08] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1073, Y= 205, Z= -191
[2023-07-17 09:11:08] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1074, Y= 205, Z= -193
[2023-07-17 09:11:09] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1075, Y= 205, Z= -193
[2023-07-17 09:11:09] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1076, Y= 205, Z= -193
[2023-07-17 09:11:09] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1077, Y= 205, Z= -193
[2023-07-17 09:11:09] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1078, Y= 205, Z= -193
[2023-07-17 09:11:09] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1079, Y= 205, Z= -193
[2023-07-17 09:11:10] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1080, Y= 205, Z= -193
[2023-07-17 09:11:25] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1074, Y= 203, Z= -198
[2023-07-17 09:11:26] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1075, Y= 203, Z= -198
[2023-07-17 09:11:26] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1076, Y= 203, Z= -198
[2023-07-17 09:11:26] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1077, Y= 203, Z= -198
[2023-07-17 09:11:27] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= 1078, Y= 203, Z= -198
[2023-07-17 09:11:28] [world] The Player <Enderlava> has broke CHEST at X= 1077, Y= 203, Z= -196
[2023-07-17 09:11:29] [world] The Player <Enderlava> has broke CHEST at X= 1076, Y= 203, Z= -196
[2023-07-17 09:11:29] [world] The Player <Enderlava> has broke CHEST at X= 1075, Y= 203, Z= -196
[2023-07-17 09:11:30] [world] The Player <Enderlava> has broke CHEST at X= 1075, Y= 202, Z= -196
[2023-07-17 09:11:30] [world] The Player <Enderlava> has broke CHEST at X= 1076, Y= 202, Z= -196
[2023-07-17 09:11:31] [world] The Player <Enderlava> has broke CHEST at X= 1077, Y= 202, Z= -196
[2023-07-17 09:11:32] [world] The Player <Enderlava> has broke CHEST at X= 1078, Y= 202, Z= -196
[2023-07-17 09:11:32] [world] The Player <Enderlava> has broke CHEST at X= 1078, Y= 203, Z= -196
[2023-07-17 09:11:33] [world] The Player <Enderlava> has broke CHEST at X= 1079, Y= 203, Z= -196
[2023-07-17 09:11:33] [world] The Player <Enderlava> has broke CHEST at X= 1079, Y= 202, Z= -196
[2023-07-17 09:11:34] [world] The Player <Enderlava> has broke CHEST at X= 1080, Y= 203, Z= -196
[2023-07-17 09:11:35] [world] The Player <Enderlava> has broke CHEST at X= 1080, Y= 202, Z= -196
