[2023-07-18 17:33:48] [world] The Player <Funget114514> has broke SMOOTH_STONE at X= -17, Y= 69, Z= -251
[2023-07-18 17:33:49] [world] The Player <Funget114514> has broke SMOOTH_STONE at X= -18, Y= 69, Z= -251
[2023-07-18 17:33:55] [world] The Player <Funget114514> has broke DIRT at X= -17, Y= 68, Z= -251
[2023-07-18 17:34:13] [world] The Player <Funget114514> has broke SMOOTH_STONE at X= -17, Y= 68, Z= -251
[2023-07-18 17:34:24] [world] The Player <Funget114514> has broke SMOOTH_STONE at X= -8, Y= 69, Z= -250
[2023-07-18 17:37:27] [world] The Player <Funget114514> has broke MANGROVE_ROOTS at X= -10, Y= 64, Z= -287
[2023-07-18 17:38:01] [world] The Player <Funget114514> has broke DIRT_PATH at X= -12, Y= 69, Z= -256
[2023-07-18 17:38:04] [world] The Player <Funget114514> has broke DIRT_PATH at X= -12, Y= 69, Z= -255
[2023-07-18 17:38:06] [world] The Player <Funget114514> has broke DIRT_PATH at X= -11, Y= 69, Z= -255
[2023-07-18 17:38:07] [world] The Player <Funget114514> has broke DIRT_PATH at X= -11, Y= 69, Z= -256
[2023-07-18 17:41:37] [world] The Player <Funget114514> has broke YELLOW_SHULKER_BOX at X= -27, Y= 63, Z= -288
[2023-07-18 17:42:09] [world] The Player <Funget114514> has broke YELLOW_SHULKER_BOX at X= -27, Y= 63, Z= -288
[2023-07-18 17:43:56] [world] The Player <Funget114514> has broke CHEST at X= -30, Y= 72, Z= -272
[2023-07-18 17:47:44] [world] The Player <Funget114514> has broke OAK_SAPLING at X= -43, Y= 73, Z= -243
[2023-07-18 17:49:44] [world] The Player <Funget114514> has broke OAK_LOG at X= 8, Y= 78, Z= -214
[2023-07-18 17:49:45] [world] The Player <Funget114514> has broke OAK_LOG at X= 8, Y= 77, Z= -214
[2023-07-18 17:49:46] [world] The Player <Funget114514> has broke OAK_LOG at X= 8, Y= 79, Z= -214
[2023-07-18 17:49:46] [world] The Player <Funget114514> has broke OAK_LOG at X= 8, Y= 80, Z= -214
