[2023-07-19 09:22:39] [world] The Player <Funget114514> has broke COBBLESTONE at X= -20, Y= 70, Z= -271
[2023-07-19 10:51:07] [world] The Player <Funget114514> has broke BLACK_SHULKER_BOX at X= -28, Y= 63, Z= -286
[2023-07-19 10:56:22] [world] The Player <Funget114514> has broke BLACK_SHULKER_BOX at X= -28, Y= 63, Z= -286
[2023-07-19 10:56:46] [world] The Player <Funget114514> has broke BLACK_SHULKER_BOX at X= -27, Y= 69, Z= -280
[2023-07-19 10:57:28] [world] The Player <Funget114514> has broke BLACK_SHULKER_BOX at X= -17, Y= 63, Z= -302
[2023-07-19 10:58:09] [world] The Player <Funget114514> has broke STRIPPED_SPRUCE_LOG at X= -24, Y= 68, Z= -284
[2023-07-19 10:58:10] [world] The Player <Funget114514> has broke STRIPPED_SPRUCE_LOG at X= -24, Y= 69, Z= -284
[2023-07-19 10:58:11] [world] The Player <Funget114514> has broke STRIPPED_SPRUCE_LOG at X= -24, Y= 70, Z= -284
[2023-07-19 10:58:31] [world] The Player <Funget114514> has broke SPRUCE_LOG at X= -24, Y= 71, Z= -284
[2023-07-19 11:00:37] [world] The Player <Funget114514> has broke SPRUCE_SIGN at X= -21, Y= 63, Z= -290
[2023-07-19 11:03:10] [world] The Player <Funget114514> has broke SPRUCE_SIGN at X= 6, Y= 63, Z= -287
[2023-07-19 11:11:16] [world] The Player <Enderlava> has broke OAK_LEAVES at X= -12, Y= 75, Z= -245
[2023-07-19 11:14:02] [world] The Player <Enderlava> has broke DIORITE at X= -14, Y= 62, Z= -328
[2023-07-19 11:15:15] [world] The Player <Enderlava> has broke OAK_SAPLING at X= -10, Y= 63, Z= -327
[2023-07-19 11:22:12] [world] The Player <Funget114514> has broke BLACK_SHULKER_BOX at X= 10, Y= 188, Z= 19
[2023-07-19 11:25:20] [world] The Player <Funget114514> has broke GRASS at X= -39, Y= 73, Z= -244
[2023-07-19 11:56:53] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -2, Y= 80, Z= -6
[2023-07-19 12:01:53] [world] The Player <Enderlava> has broke SUGAR_CANE at X= -10, Y= 64, Z= -292
[2023-07-19 12:01:54] [world] The Player <Enderlava> has broke SUGAR_CANE at X= -7, Y= 64, Z= -292
[2023-07-19 12:01:54] [world] The Player <Enderlava> has broke SUGAR_CANE at X= -6, Y= 64, Z= -292
[2023-07-19 12:01:55] [world] The Player <Enderlava> has broke SUGAR_CANE at X= -5, Y= 64, Z= -292
[2023-07-19 12:01:55] [world] The Player <Enderlava> has broke SUGAR_CANE at X= -4, Y= 64, Z= -292
[2023-07-19 12:01:55] [world] The Player <Enderlava> has broke SUGAR_CANE at X= -3, Y= 64, Z= -292
[2023-07-19 12:01:55] [world] The Player <Enderlava> has broke SUGAR_CANE at X= -2, Y= 64, Z= -292
[2023-07-19 12:01:55] [world] The Player <Enderlava> has broke SUGAR_CANE at X= -1, Y= 64, Z= -292
[2023-07-19 12:01:55] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 0, Y= 64, Z= -292
[2023-07-19 12:01:56] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 2, Y= 64, Z= -292
[2023-07-19 12:01:56] [world] The Player <Enderlava> has broke SUGAR_CANE at X= -1, Y= 63, Z= -292
[2023-07-19 12:02:02] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 3, Y= 64, Z= -292
[2023-07-19 12:02:06] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 4, Y= 64, Z= -294
[2023-07-19 12:02:06] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 4, Y= 64, Z= -295
[2023-07-19 12:02:06] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 4, Y= 64, Z= -296
[2023-07-19 12:02:06] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 4, Y= 64, Z= -297
[2023-07-19 12:02:06] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 4, Y= 64, Z= -298
[2023-07-19 12:02:06] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 4, Y= 64, Z= -299
[2023-07-19 12:02:06] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 4, Y= 64, Z= -300
[2023-07-19 12:02:06] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 4, Y= 64, Z= -301
[2023-07-19 12:02:06] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 4, Y= 64, Z= -302
[2023-07-19 12:02:07] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 4, Y= 64, Z= -303
[2023-07-19 12:02:07] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 5, Y= 64, Z= -304
[2023-07-19 12:02:07] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 6, Y= 64, Z= -304
[2023-07-19 12:02:07] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 7, Y= 64, Z= -304
[2023-07-19 12:02:08] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 8, Y= 64, Z= -304
[2023-07-19 12:02:08] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 9, Y= 64, Z= -304
[2023-07-19 12:02:08] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 10, Y= 64, Z= -304
[2023-07-19 12:02:08] [world] The Player <Enderlava> has broke SUGAR_CANE at X= 11, Y= 64, Z= -304
[2023-07-19 12:02:46] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -10, Y= 16, Z= 7
[2023-07-19 12:02:47] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -10, Y= 16, Z= 6
[2023-07-19 12:02:47] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -11, Y= 16, Z= 7
[2023-07-19 12:02:47] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -11, Y= 16, Z= 6
[2023-07-19 12:02:47] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -11, Y= 15, Z= 6
[2023-07-19 12:02:47] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -12, Y= 15, Z= 6
[2023-07-19 12:02:47] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -12, Y= 16, Z= 6
[2023-07-19 12:02:47] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -12, Y= 16, Z= 7
[2023-07-19 12:02:47] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -12, Y= 15, Z= 7
[2023-07-19 12:02:47] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -13, Y= 16, Z= 7
[2023-07-19 12:02:47] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -13, Y= 15, Z= 7
[2023-07-19 12:02:47] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -13, Y= 16, Z= 8
[2023-07-19 12:02:47] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -13, Y= 15, Z= 6
[2023-07-19 12:02:47] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -14, Y= 15, Z= 7
[2023-07-19 12:02:47] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -14, Y= 15, Z= 6
[2023-07-19 12:02:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -13, Y= 15, Z= 5
[2023-07-19 12:02:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -12, Y= 15, Z= 5
[2023-07-19 12:02:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -11, Y= 15, Z= 7
[2023-07-19 12:02:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -10, Y= 15, Z= 6
[2023-07-19 12:02:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -10, Y= 15, Z= 7
[2023-07-19 12:02:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -10, Y= 15, Z= 5
[2023-07-19 12:02:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -10, Y= 15, Z= 4
[2023-07-19 12:02:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -10, Y= 16, Z= 5
[2023-07-19 12:02:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -10, Y= 16, Z= 4
[2023-07-19 12:02:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -11, Y= 16, Z= 5
[2023-07-19 12:02:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -12, Y= 16, Z= 5
[2023-07-19 12:02:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -13, Y= 16, Z= 5
[2023-07-19 12:02:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -13, Y= 16, Z= 6
[2023-07-19 12:02:48] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -14, Y= 16, Z= 5
[2023-07-19 12:02:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -13, Y= 15, Z= 4
[2023-07-19 12:02:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -13, Y= 14, Z= 4
[2023-07-19 12:02:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -12, Y= 15, Z= 4
[2023-07-19 12:02:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -12, Y= 14, Z= 4
[2023-07-19 12:02:49] [world_nether] The Player <Enderlava> has broke NETHERRACK at X= -12, Y= 14, Z= 3
