[2023-07-20 10:13:49] [world] The Player <wqe123420> has broke SANDSTONE at X= -15, Y= 64, Z= -307
[2023-07-20 10:13:50] [world] The Player <wqe123420> has broke SANDSTONE at X= -16, Y= 64, Z= -307
[2023-07-20 10:16:24] [world] The Player <Enderlava> has broke SHULKER_BOX at X= -27, Y= 63, Z= -285
[2023-07-20 10:18:44] [world] The Player <wqe123420> has broke BAMBOO at X= -9, Y= 76, Z= -203
[2023-07-20 10:18:49] [world] The Player <wqe123420> has broke BAMBOO at X= -8, Y= 76, Z= -206
[2023-07-20 10:18:49] [world] The Player <wqe123420> has broke BAMBOO at X= -8, Y= 76, Z= -205
[2023-07-20 10:18:49] [world] The Player <wqe123420> has broke BAMBOO at X= -9, Y= 76, Z= -205
[2023-07-20 10:18:50] [world] The Player <wqe123420> has broke BAMBOO at X= -9, Y= 76, Z= -204
[2023-07-20 10:36:24] [world] The Player <wqe123420> has broke DEEPSLATE at X= -45, Y= 1, Z= -122
[2023-07-20 10:36:25] [world] The Player <wqe123420> has broke DEEPSLATE at X= -45, Y= 0, Z= -122
[2023-07-20 10:36:25] [world] The Player <wqe123420> has broke DEEPSLATE at X= -46, Y= 0, Z= -122
[2023-07-20 10:36:26] [world] The Player <wqe123420> has broke DEEPSLATE at X= -45, Y= 0, Z= -121
[2023-07-20 10:36:26] [world] The Player <wqe123420> has broke DEEPSLATE at X= -45, Y= 1, Z= -121
[2023-07-20 10:36:27] [world] The Player <wqe123420> has broke DEEPSLATE at X= -45, Y= 0, Z= -120
[2023-07-20 10:36:27] [world] The Player <wqe123420> has broke DEEPSLATE at X= -46, Y= 1, Z= -121
[2023-07-20 10:36:28] [world] The Player <wqe123420> has broke DEEPSLATE at X= -46, Y= 0, Z= -121
[2023-07-20 10:36:28] [world] The Player <wqe123420> has broke DEEPSLATE at X= -46, Y= 1, Z= -120
[2023-07-20 10:36:29] [world] The Player <wqe123420> has broke DEEPSLATE at X= -46, Y= 0, Z= -120
[2023-07-20 10:36:29] [world] The Player <wqe123420> has broke DEEPSLATE at X= -46, Y= 0, Z= -119
[2023-07-20 10:36:30] [world] The Player <wqe123420> has broke DEEPSLATE at X= -46, Y= 1, Z= -119
[2023-07-20 10:36:30] [world] The Player <wqe123420> has broke DEEPSLATE at X= -47, Y= 1, Z= -120
[2023-07-20 10:36:31] [world] The Player <wqe123420> has broke DEEPSLATE at X= -47, Y= 0, Z= -120
[2023-07-20 10:36:31] [world] The Player <wqe123420> has broke DEEPSLATE at X= -47, Y= 1, Z= -119
[2023-07-20 10:36:32] [world] The Player <wqe123420> has broke DEEPSLATE at X= -47, Y= 0, Z= -119
[2023-07-20 10:36:53] [world] The Player <wqe123420> has broke LAPIS_ORE at X= -42, Y= 7, Z= -124
[2023-07-20 10:36:54] [world] The Player <wqe123420> has broke LAPIS_ORE at X= -42, Y= 8, Z= -124
[2023-07-20 10:36:55] [world] The Player <wqe123420> has broke STONE at X= -42, Y= 9, Z= -124
[2023-07-20 10:36:56] [world] The Player <wqe123420> has broke STONE at X= -42, Y= 6, Z= -123
[2023-07-20 10:36:56] [world] The Player <wqe123420> has broke LAPIS_ORE at X= -42, Y= 7, Z= -123
[2023-07-20 10:36:58] [world] The Player <wqe123420> has broke LAPIS_ORE at X= -42, Y= 8, Z= -123
[2023-07-20 10:36:59] [world] The Player <wqe123420> has broke STONE at X= -43, Y= 6, Z= -123
[2023-07-20 10:36:59] [world] The Player <wqe123420> has broke LAPIS_ORE at X= -43, Y= 7, Z= -123
[2023-07-20 10:37:00] [world] The Player <wqe123420> has broke LAPIS_ORE at X= -43, Y= 8, Z= -123
[2023-07-20 10:54:37] [world] The Player <wqe123420> has broke YELLOW_SHULKER_BOX at X= -25, Y= 63, Z= -286
[2023-07-20 10:54:51] [world] The Player <wqe123420> has broke YELLOW_SHULKER_BOX at X= -25, Y= 63, Z= -287
[2023-07-20 10:55:29] [world] The Player <Enderlava> has broke STONE at X= -685, Y= 65, Z= -1019
[2023-07-20 10:58:19] [world] The Player <wqe123420> has broke SAND at X= -1012, Y= 68, Z= -975
[2023-07-20 10:58:19] [world] The Player <wqe123420> has broke SAND at X= -1011, Y= 68, Z= -975
[2023-07-20 10:58:19] [world] The Player <wqe123420> has broke SAND at X= -1011, Y= 67, Z= -975
[2023-07-20 10:58:19] [world] The Player <wqe123420> has broke SAND at X= -1012, Y= 68, Z= -974
[2023-07-20 10:58:19] [world] The Player <wqe123420> has broke SAND at X= -1011, Y= 68, Z= -974
[2023-07-20 10:58:19] [world] The Player <wqe123420> has broke SAND at X= -1011, Y= 68, Z= -973
[2023-07-20 10:58:19] [world] The Player <wqe123420> has broke SAND at X= -1011, Y= 67, Z= -973
[2023-07-20 10:58:19] [world] The Player <wqe123420> has broke SAND at X= -1011, Y= 67, Z= -972
[2023-07-20 10:58:19] [world] The Player <wqe123420> has broke SAND at X= -1010, Y= 67, Z= -972
[2023-07-20 10:58:19] [world] The Player <wqe123420> has broke SAND at X= -1010, Y= 68, Z= -973
[2023-07-20 10:58:19] [world] The Player <wqe123420> has broke SAND at X= -1010, Y= 68, Z= -974
[2023-07-20 10:58:19] [world] The Player <wqe123420> has broke SAND at X= -1009, Y= 68, Z= -973
[2023-07-20 10:58:20] [world] The Player <wqe123420> has broke SAND at X= -1009, Y= 67, Z= -973
[2023-07-20 10:58:20] [world] The Player <wqe123420> has broke SAND at X= -1008, Y= 67, Z= -973
[2023-07-20 10:58:20] [world] The Player <wqe123420> has broke SAND at X= -1009, Y= 68, Z= -974
[2023-07-20 10:58:20] [world] The Player <wqe123420> has broke SAND at X= -1009, Y= 67, Z= -974
[2023-07-20 10:58:20] [world] The Player <wqe123420> has broke SAND at X= -1008, Y= 67, Z= -974
[2023-07-20 10:58:20] [world] The Player <wqe123420> has broke SAND at X= -1008, Y= 67, Z= -973
[2023-07-20 10:58:20] [world] The Player <wqe123420> has broke SAND at X= -1009, Y= 67, Z= -972
[2023-07-20 10:58:20] [world] The Player <wqe123420> has broke SAND at X= -1009, Y= 68, Z= -972
[2023-07-20 10:58:20] [world] The Player <wqe123420> has broke SAND at X= -1008, Y= 67, Z= -972
[2023-07-20 10:58:20] [world] The Player <wqe123420> has broke SAND at X= -1008, Y= 67, Z= -971
[2023-07-20 10:58:21] [world] The Player <wqe123420> has broke SAND at X= -1008, Y= 68, Z= -972
[2023-07-20 10:58:21] [world] The Player <wqe123420> has broke SAND at X= -1007, Y= 68, Z= -972
[2023-07-20 10:58:21] [world] The Player <wqe123420> has broke SAND at X= -1008, Y= 67, Z= -972
[2023-07-20 10:58:21] [world] The Player <wqe123420> has broke SAND at X= -1007, Y= 67, Z= -972
[2023-07-20 10:58:21] [world] The Player <wqe123420> has broke SAND at X= -1007, Y= 67, Z= -973
[2023-07-20 10:58:21] [world] The Player <wqe123420> has broke SAND at X= -1007, Y= 66, Z= -973
[2023-07-20 10:58:21] [world] The Player <wqe123420> has broke SAND at X= -1006, Y= 66, Z= -973
[2023-07-20 10:58:21] [world] The Player <wqe123420> has broke SAND at X= -1007, Y= 67, Z= -974
[2023-07-20 10:58:21] [world] The Player <wqe123420> has broke SAND at X= -1007, Y= 66, Z= -973
[2023-07-20 10:58:21] [world] The Player <wqe123420> has broke SAND at X= -1007, Y= 67, Z= -972
[2023-07-20 10:58:21] [world] The Player <wqe123420> has broke SAND at X= -1007, Y= 66, Z= -972
[2023-07-20 10:58:21] [world] The Player <wqe123420> has broke SAND at X= -1006, Y= 66, Z= -972
[2023-07-20 10:58:22] [world] The Player <wqe123420> has broke SAND at X= -1006, Y= 66, Z= -973
[2023-07-20 10:58:22] [world] The Player <wqe123420> has broke SAND at X= -1006, Y= 67, Z= -972
[2023-07-20 10:58:22] [world] The Player <wqe123420> has broke SAND at X= -1006, Y= 67, Z= -971
[2023-07-20 10:58:22] [world] The Player <wqe123420> has broke SAND at X= -1005, Y= 67, Z= -971
[2023-07-20 10:58:22] [world] The Player <wqe123420> has broke SAND at X= -1007, Y= 67, Z= -971
[2023-07-20 10:58:23] [world] The Player <wqe123420> has broke SAND at X= -1008, Y= 68, Z= -971
[2023-07-20 10:58:23] [world] The Player <wqe123420> has broke SAND at X= -1008, Y= 68, Z= -970
[2023-07-20 10:58:23] [world] The Player <wqe123420> has broke SAND at X= -1008, Y= 68, Z= -969
[2023-07-20 10:58:23] [world] The Player <wqe123420> has broke SAND at X= -1008, Y= 67, Z= -970
[2023-07-20 10:58:23] [world] The Player <wqe123420> has broke SAND at X= -1009, Y= 68, Z= -971
[2023-07-20 10:58:23] [world] The Player <wqe123420> has broke SAND at X= -1009, Y= 67, Z= -972
[2023-07-20 10:58:23] [world] The Player <wqe123420> has broke SAND at X= -1010, Y= 67, Z= -972
[2023-07-20 10:58:23] [world] The Player <wqe123420> has broke SAND at X= -1010, Y= 67, Z= -971
[2023-07-20 10:58:23] [world] The Player <wqe123420> has broke SAND at X= -1010, Y= 66, Z= -971
[2023-07-20 10:58:23] [world] The Player <wqe123420> has broke SAND at X= -1009, Y= 67, Z= -971
[2023-07-20 10:58:23] [world] The Player <wqe123420> has broke SAND at X= -1009, Y= 66, Z= -971
[2023-07-20 10:58:23] [world] The Player <wqe123420> has broke SAND at X= -1009, Y= 67, Z= -970
[2023-07-20 10:58:23] [world] The Player <wqe123420> has broke SAND at X= -1009, Y= 66, Z= -970
[2023-07-20 10:58:24] [world] The Player <wqe123420> has broke SAND at X= -1008, Y= 67, Z= -971
[2023-07-20 10:58:24] [world] The Player <wqe123420> has broke SAND at X= -1008, Y= 67, Z= -970
[2023-07-20 10:58:24] [world] The Player <wqe123420> has broke SAND at X= -1008, Y= 66, Z= -970
[2023-07-20 10:58:24] [world] The Player <wqe123420> has broke SAND at X= -1007, Y= 66, Z= -970
[2023-07-20 10:58:24] [world] The Player <wqe123420> has broke SAND at X= -1008, Y= 66, Z= -971
[2023-07-20 10:58:24] [world] The Player <wqe123420> has broke SAND at X= -1008, Y= 66, Z= -969
[2023-07-20 10:58:24] [world] The Player <wqe123420> has broke SAND at X= -1009, Y= 67, Z= -970
[2023-07-20 10:58:24] [world] The Player <wqe123420> has broke SAND at X= -1007, Y= 66, Z= -970
[2023-07-20 10:58:24] [world] The Player <wqe123420> has broke SAND at X= -1007, Y= 68, Z= -971
[2023-07-20 10:58:24] [world] The Player <wqe123420> has broke SAND at X= -1007, Y= 67, Z= -971
[2023-07-20 10:58:24] [world] The Player <wqe123420> has broke SAND at X= -1006, Y= 67, Z= -971
[2023-07-20 10:58:24] [world] The Player <wqe123420> has broke SAND at X= -1005, Y= 67, Z= -971
[2023-07-20 10:58:24] [world] The Player <wqe123420> has broke SAND at X= -1005, Y= 67, Z= -972
