[2023-07-21 15:16:57] [world] The Player <Funget114514> has broke SUGAR_CANE at X= -996, Y= 64, Z= -978
[2023-07-21 15:16:57] [world] The Player <Funget114514> has broke SUGAR_CANE at X= -997, Y= 64, Z= -978
[2023-07-21 15:17:00] [world] The Player <Funget114514> has broke SUGAR_CANE at X= -998, Y= 64, Z= -977
[2023-07-21 15:17:00] [world] The Player <Funget114514> has broke SUGAR_CANE at X= -999, Y= 64, Z= -977
[2023-07-21 15:17:00] [world] The Player <Funget114514> has broke SUGAR_CANE at X= -1000, Y= 64, Z= -976
[2023-07-21 15:17:00] [world] The Player <Funget114514> has broke SUGAR_CANE at X= -1001, Y= 64, Z= -975
[2023-07-21 15:17:00] [world] The Player <Funget114514> has broke SUGAR_CANE at X= -1002, Y= 64, Z= -975
[2023-07-21 15:17:15] [world] The Player <Funget114514> has broke SUGAR_CANE at X= -992, Y= 64, Z= -977
[2023-07-21 15:17:24] [world] The Player <Funget114514> has broke SUGAR_CANE at X= -1005, Y= 63, Z= -978
[2023-07-21 15:17:25] [world] The Player <Funget114514> has broke SUGAR_CANE at X= -1005, Y= 63, Z= -977
[2023-07-21 15:18:03] [world] The Player <Funget114514> has broke OAK_STAIRS at X= -976, Y= 73, Z= -1012
[2023-07-21 15:19:13] [world] The Player <Enderlava> has broke KELP_PLANT at X= -95, Y= 50, Z= -75
[2023-07-21 15:19:41] [world] The Player <Enderlava> has broke KELP_PLANT at X= -85, Y= 49, Z= -75
[2023-07-21 15:20:57] [world] The Player <Funget114514> has broke KELP_PLANT at X= -97, Y= 51, Z= -68
[2023-07-21 15:20:58] [world] The Player <Funget114514> has broke KELP_PLANT at X= -98, Y= 51, Z= -66
[2023-07-21 15:20:59] [world] The Player <Funget114514> has broke KELP_PLANT at X= -95, Y= 52, Z= -67
[2023-07-21 15:21:15] [world] The Player <Funget114514> has broke KELP_PLANT at X= -87, Y= 51, Z= -67
[2023-07-21 15:21:51] [world] The Player <Enderlava> has broke KELP_PLANT at X= -83, Y= 51, Z= -60
[2023-07-21 15:21:59] [world] The Player <Enderlava> has broke KELP_PLANT at X= -85, Y= 50, Z= -49
[2023-07-21 15:22:00] [world] The Player <Funget114514> has broke KELP at X= -85, Y= 49, Z= -49
[2023-07-21 15:22:00] [world] The Player <Funget114514> has broke KELP_PLANT at X= -84, Y= 48, Z= -47
[2023-07-21 15:22:19] [world] The Player <Enderlava> has broke TALL_SEAGRASS at X= -95, Y= 51, Z= -65
[2023-07-21 15:22:20] [world] The Player <Enderlava> has broke KELP at X= -95, Y= 51, Z= -67
[2023-07-21 15:22:20] [world] The Player <Funget114514> has broke KELP_PLANT at X= -93, Y= 51, Z= -63
[2023-07-21 15:22:20] [world] The Player <Funget114514> has broke KELP_PLANT at X= -93, Y= 51, Z= -64
[2023-07-21 15:22:21] [world] The Player <Enderlava> has broke TALL_SEAGRASS at X= -98, Y= 51, Z= -67
[2023-07-21 15:23:03] [world] The Player <Enderlava> has broke KELP_PLANT at X= -107, Y= 51, Z= -62
[2023-07-21 15:23:15] [world] The Player <Funget114514> has broke KELP_PLANT at X= -100, Y= 51, Z= -71
