[2023-07-22 12:55:42] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -58, Z= -220
[2023-07-22 12:55:42] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -58, Z= -221
[2023-07-22 12:55:42] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -59, Z= -221
[2023-07-22 12:55:43] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -58, Z= -219
[2023-07-22 12:55:43] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -59, Z= -220
[2023-07-22 12:55:44] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -58, Z= -218
[2023-07-22 12:55:45] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -59, Z= -219
[2023-07-22 12:55:45] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -59, Z= -218
[2023-07-22 12:55:46] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -58, Z= -217
[2023-07-22 12:55:46] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -59, Z= -217
[2023-07-22 12:55:47] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -58, Z= -216
[2023-07-22 12:55:47] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -59, Z= -216
[2023-07-22 12:55:48] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -58, Z= -215
[2023-07-22 12:55:48] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -57, Z= -216
[2023-07-22 12:55:49] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -57, Z= -215
[2023-07-22 12:55:49] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -58, Z= -214
[2023-07-22 12:55:50] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -57, Z= -214
[2023-07-22 12:55:50] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -56, Z= -216
[2023-07-22 12:55:51] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -57, Z= -213
[2023-07-22 12:55:52] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -56, Z= -215
[2023-07-22 12:55:52] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -56, Z= -214
[2023-07-22 12:55:53] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -57, Z= -212
[2023-07-22 12:55:53] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -56, Z= -213
[2023-07-22 12:55:54] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -56, Z= -212
[2023-07-22 12:55:54] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -56, Z= -211
[2023-07-22 12:55:55] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -56, Z= -210
[2023-07-22 12:55:55] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -55, Z= -211
[2023-07-22 12:55:56] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -55, Z= -212
[2023-07-22 12:55:57] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -55, Z= -210
[2023-07-22 12:55:57] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -56, Z= -209
[2023-07-22 12:55:58] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -55, Z= -209
[2023-07-22 12:55:58] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -55, Z= -208
[2023-07-22 12:55:59] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -56, Z= -208
[2023-07-22 12:55:59] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -55, Z= -207
[2023-07-22 12:56:00] [world] The Player <wqe123420> has broke DEEPSLATE at X= -71, Y= -56, Z= -207
[2023-07-22 12:56:00] [world] The Player <wqe123420> has broke DEEPSLATE at X= -72, Y= -55, Z= -207
[2023-07-22 12:56:00] [world] The Player <wqe123420> has broke DEEPSLATE at X= -72, Y= -56, Z= -207
[2023-07-22 12:56:01] [world] The Player <wqe123420> has broke DEEPSLATE at X= -73, Y= -55, Z= -207
[2023-07-22 12:56:01] [world] The Player <wqe123420> has broke DEEPSLATE at X= -73, Y= -56, Z= -207
[2023-07-22 12:56:02] [world] The Player <wqe123420> has broke DEEPSLATE at X= -74, Y= -55, Z= -207
[2023-07-22 12:56:02] [world] The Player <wqe123420> has broke DEEPSLATE at X= -74, Y= -56, Z= -207
[2023-07-22 12:56:03] [world] The Player <wqe123420> has broke DEEPSLATE at X= -75, Y= -55, Z= -207
[2023-07-22 12:57:49] [world] The Player <wqe123420> has broke DEEPSLATE at X= -75, Y= -56, Z= -207
[2023-07-22 12:57:50] [world] The Player <wqe123420> has broke DEEPSLATE at X= -74, Y= -55, Z= -206
[2023-07-22 12:57:50] [world] The Player <wqe123420> has broke DEEPSLATE at X= -75, Y= -55, Z= -206
[2023-07-22 12:57:51] [world] The Player <wqe123420> has broke DEEPSLATE at X= -74, Y= -54, Z= -206
[2023-07-22 12:57:51] [world] The Player <wqe123420> has broke DEEPSLATE at X= -74, Y= -54, Z= -207
[2023-07-22 12:57:52] [world] The Player <wqe123420> has broke DEEPSLATE at X= -74, Y= -54, Z= -205
[2023-07-22 12:57:52] [world] The Player <wqe123420> has broke DEEPSLATE at X= -74, Y= -55, Z= -205
[2023-07-22 12:57:53] [world] The Player <wqe123420> has broke DEEPSLATE at X= -74, Y= -54, Z= -204
[2023-07-22 12:57:53] [world] The Player <wqe123420> has broke DEEPSLATE at X= -74, Y= -53, Z= -205
[2023-07-22 12:57:54] [world] The Player <wqe123420> has broke DEEPSLATE at X= -74, Y= -53, Z= -204
[2023-07-22 12:57:54] [world] The Player <wqe123420> has broke DEEPSLATE at X= -74, Y= -53, Z= -203
[2023-07-22 12:57:55] [world] The Player <wqe123420> has broke DEEPSLATE at X= -74, Y= -54, Z= -203
[2023-07-22 12:57:55] [world] The Player <wqe123420> has broke DEEPSLATE at X= -75, Y= -53, Z= -203
[2023-07-22 12:57:56] [world] The Player <wqe123420> has broke DEEPSLATE at X= -75, Y= -54, Z= -203
[2023-07-22 12:57:56] [world] The Player <wqe123420> has broke DEEPSLATE at X= -76, Y= -54, Z= -203
[2023-07-22 12:57:57] [world] The Player <wqe123420> has broke DEEPSLATE at X= -76, Y= -53, Z= -203
[2023-07-22 12:57:57] [world] The Player <wqe123420> has broke DEEPSLATE at X= -76, Y= -53, Z= -202
[2023-07-22 12:57:58] [world] The Player <wqe123420> has broke DEEPSLATE at X= -76, Y= -54, Z= -202
[2023-07-22 12:57:58] [world] The Player <wqe123420> has broke DEEPSLATE at X= -76, Y= -53, Z= -201
[2023-07-22 12:57:59] [world] The Player <wqe123420> has broke DEEPSLATE at X= -76, Y= -54, Z= -201
[2023-07-22 12:57:59] [world] The Player <wqe123420> has broke DEEPSLATE_DIAMOND_ORE at X= -77, Y= -53, Z= -201
[2023-07-22 12:58:00] [world] The Player <wqe123420> has broke DEEPSLATE at X= -77, Y= -54, Z= -201
[2023-07-22 12:58:00] [world] The Player <wqe123420> has broke DEEPSLATE_DIAMOND_ORE at X= -78, Y= -53, Z= -201
[2023-07-22 12:58:01] [world] The Player <wqe123420> has broke DEEPSLATE_DIAMOND_ORE at X= -77, Y= -52, Z= -201
[2023-07-22 12:58:01] [world] The Player <wqe123420> has broke DEEPSLATE_DIAMOND_ORE at X= -77, Y= -53, Z= -200
[2023-07-22 12:58:02] [world] The Player <wqe123420> has broke DEEPSLATE at X= -77, Y= -54, Z= -200
[2023-07-22 12:58:02] [world] The Player <wqe123420> has broke DEEPSLATE_DIAMOND_ORE at X= -77, Y= -52, Z= -200
[2023-07-22 12:58:03] [world] The Player <wqe123420> has broke DEEPSLATE_DIAMOND_ORE at X= -77, Y= -51, Z= -200
[2023-07-22 12:58:03] [world] The Player <wqe123420> has broke DEEPSLATE_DIAMOND_ORE at X= -78, Y= -53, Z= -200
[2023-07-22 12:58:04] [world] The Player <wqe123420> has broke DEEPSLATE_DIAMOND_ORE at X= -78, Y= -52, Z= -200
[2023-07-22 12:58:11] [world] The Player <wqe123420> has broke DEEPSLATE at X= -77, Y= -53, Z= -199
[2023-07-22 12:58:11] [world] The Player <wqe123420> has broke DEEPSLATE at X= -77, Y= -54, Z= -199
[2023-07-22 12:58:11] [world] The Player <wqe123420> has broke DEEPSLATE at X= -78, Y= -53, Z= -199
[2023-07-22 12:58:12] [world] The Player <wqe123420> has broke DEEPSLATE at X= -78, Y= -54, Z= -199
[2023-07-22 12:58:12] [world] The Player <wqe123420> has broke DEEPSLATE at X= -78, Y= -55, Z= -199
