[2023-07-23 14:50:14] [world_the_end] The Player <Enderlava> has broke OAK_LEAVES at X= 333, Y= 1, Z= 7
[2023-07-23 14:52:10] [world_the_end] The Player <Enderlava> has broke SAND at X= 3, Y= 63, Z= -9
[2023-07-23 14:52:22] [world_the_end] The Player <Enderlava> has broke SAND at X= 5, Y= 62, Z= -4
[2023-07-23 14:52:24] [world_the_end] The Player <Enderlava> has broke SAND at X= 5, Y= 62, Z= -5
[2023-07-23 14:52:24] [world_the_end] The Player <Enderlava> has broke SAND at X= 5, Y= 61, Z= -5
[2023-07-23 14:52:35] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 16, Y= 61, Z= -11
[2023-07-23 14:52:41] [world_the_end] The Player <Enderlava> has broke SAND at X= 5, Y= 62, Z= -4
[2023-07-23 14:52:42] [world_the_end] The Player <Enderlava> has broke SAND at X= 5, Y= 61, Z= -4
[2023-07-23 14:52:49] [world_the_end] The Player <Enderlava> has broke SLIME_BLOCK at X= 0, Y= 62, Z= -4
[2023-07-23 14:52:50] [world_the_end] The Player <Enderlava> has broke SLIME_BLOCK at X= -1, Y= 62, Z= -4
[2023-07-23 14:52:50] [world_the_end] The Player <Enderlava> has broke SLIME_BLOCK at X= 1, Y= 62, Z= -4
[2023-07-23 14:52:58] [world_the_end] The Player <Enderlava> has broke END_STONE at X= 0, Y= 56, Z= 0
[2023-07-23 14:53:19] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -3, Y= 56, Z= -3
[2023-07-23 14:53:20] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -3, Y= 56, Z= -4
[2023-07-23 14:53:21] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -4, Y= 56, Z= -3
[2023-07-23 14:53:22] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -4, Y= 56, Z= -4
[2023-07-23 14:53:22] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -4, Y= 56, Z= -2
[2023-07-23 14:53:23] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -4, Y= 57, Z= -1
[2023-07-23 14:53:25] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -4, Y= 58, Z= -1
[2023-07-23 14:53:26] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -3, Y= 58, Z= -1
[2023-07-23 14:53:29] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -4, Y= 58, Z= 0
[2023-07-23 14:53:29] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -3, Y= 58, Z= 0
[2023-07-23 14:53:33] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -5, Y= 56, Z= -4
[2023-07-23 14:53:34] [world_the_end] The Player <Enderlava> has broke END_STONE at X= -5, Y= 56, Z= -5
