[2023-08-24 09:10:14] [world] The Player <wqe123420> has broke BLACK_SHULKER_BOX at X= -403, Y= 57, Z= -60
[2023-08-24 09:51:54] [world] The Player <Enderlava> has broke TALL_GRASS at X= -200, Y= 68, Z= -162
[2023-08-24 09:51:54] [world] The Player <Enderlava> has broke TALL_GRASS at X= -202, Y= 68, Z= -160
[2023-08-24 10:00:20] [world] The Player <Enderlava> has broke PLAYER_HEAD at X= -21, Y= 72, Z= -282
[2023-08-24 10:00:27] [world] The Player <Enderlava> has broke PLAYER_HEAD at X= -21, Y= 72, Z= -282
[2023-08-24 10:00:44] [world] The Player <Enderlava> has broke DIRT at X= -19, Y= 73, Z= -266
[2023-08-24 10:03:29] [world] The Player <Funget114514> has broke SUGAR_CANE at X= -17, Y= 62, Z= -293
[2023-08-24 10:03:33] [world] The Player <Funget114514> has broke SUGAR_CANE at X= -16, Y= 62, Z= -293
[2023-08-24 10:07:43] [world] The Player <Enderlava> has broke DIRT at X= -15, Y= 74, Z= -245
[2023-08-24 10:16:47] [world] The Player <Enderlava> has broke SMOOTH_STONE at X= -25, Y= 65, Z= -284
[2023-08-24 10:21:21] [world] The Player <Enderlava> has broke GRASS at X= -16, Y= 63, Z= -299
[2023-08-24 10:22:11] [world] The Player <Enderlava> has broke NETHER_WART at X= -27, Y= 71, Z= -274
[2023-08-24 10:22:52] [world] The Player <Enderlava> has broke SUGAR_CANE at X= -47, Y= 66, Z= -302
[2023-08-24 10:24:01] [world] The Player <Enderlava> has broke REDSTONE_WIRE at X= -42, Y= 71, Z= -286
[2023-08-24 10:24:06] [world] The Player <Enderlava> has broke REDSTONE_WIRE at X= -42, Y= 71, Z= -286
[2023-08-24 10:24:08] [world] The Player <Enderlava> has broke REDSTONE_WIRE at X= -41, Y= 71, Z= -286
[2023-08-24 10:24:50] [world] The Player <Enderlava> has broke WALL_TORCH at X= -51, Y= 68, Z= -295
[2023-08-24 10:34:39] [world] The Player <Enderlava> has broke TERRACOTTA at X= 35, Y= 71, Z= -262
[2023-08-24 10:34:41] [world] The Player <Enderlava> has broke CLAY at X= 35, Y= 71, Z= -263
