[2023-06-27 13:16:50] [world] The Player <Enderlava> has broke GRASS at X= -68, Y= 71, Z= -196
[2023-06-27 13:20:04] [world] The Player <Enderlava> has broke NETHER_WART at X= -22, Y= 71, Z= -274
[2023-06-27 13:20:05] [world] The Player <Enderlava> has broke NETHER_WART at X= -24, Y= 71, Z= -274
[2023-06-27 13:20:05] [world] The Player <Enderlava> has broke NETHER_WART at X= -25, Y= 71, Z= -274
[2023-06-27 13:20:05] [world] The Player <Enderlava> has broke NETHER_WART at X= -26, Y= 71, Z= -274
[2023-06-27 13:20:05] [world] The Player <Enderlava> has broke NETHER_WART at X= -27, Y= 71, Z= -274
[2023-06-27 13:20:06] [world] The Player <Enderlava> has broke NETHER_WART at X= -28, Y= 71, Z= -274
[2023-06-27 13:20:06] [world] The Player <Enderlava> has broke NETHER_WART at X= -29, Y= 71, Z= -274
[2023-06-27 13:20:06] [world] The Player <Enderlava> has broke NETHER_WART at X= -30, Y= 71, Z= -274
[2023-06-27 13:20:06] [world] The Player <Enderlava> has broke NETHER_WART at X= -31, Y= 71, Z= -274
[2023-06-27 13:20:06] [world] The Player <Enderlava> has broke NETHER_WART at X= -32, Y= 71, Z= -274
[2023-06-27 13:20:07] [world] The Player <Enderlava> has broke NETHER_WART at X= -33, Y= 71, Z= -274
[2023-06-27 13:20:07] [world] The Player <Enderlava> has broke NETHER_WART at X= -34, Y= 71, Z= -274
[2023-06-27 13:20:13] [world] The Player <Enderlava> has broke NETHER_WART at X= -23, Y= 71, Z= -274
[2023-06-27 13:21:17] [world] The Player <Enderlava> has broke PUMPKIN at X= -17, Y= 63, Z= -312
[2023-06-27 13:21:22] [world] The Player <Enderlava> has broke PUMPKIN at X= -17, Y= 63, Z= -314
[2023-06-27 13:21:25] [world] The Player <Enderlava> has broke PUMPKIN at X= -17, Y= 63, Z= -316
[2023-06-27 13:21:49] [world] The Player <Enderlava> has broke POTATOES at X= -15, Y= 63, Z= -327
[2023-06-27 13:22:07] [world] The Player <Enderlava> has broke POTATOES at X= -13, Y= 63, Z= -322
[2023-06-27 13:27:13] [world] The Player <Funget114514> has broke SUGAR_CANE at X= -13, Y= 64, Z= -292
[2023-06-27 13:27:18] [world] The Player <Funget114514> has broke SUGAR_CANE at X= -15, Y= 64, Z= -295
[2023-06-27 13:27:19] [world] The Player <Funget114514> has broke SUGAR_CANE at X= -15, Y= 64, Z= -296
[2023-06-27 13:27:20] [world] The Player <Funget114514> has broke SUGAR_CANE at X= -15, Y= 64, Z= -297
[2023-06-27 13:27:48] [world] The Player <Funget114514> has broke SUGAR_CANE at X= -12, Y= 64, Z= -292
[2023-06-27 13:27:48] [world] The Player <Funget114514> has broke SUGAR_CANE at X= -11, Y= 64, Z= -292
[2023-06-27 13:27:48] [world] The Player <Funget114514> has broke SUGAR_CANE at X= -10, Y= 64, Z= -292
