[2023-07-06 17:12:09] [world_the_end] The Player <wqe123420> has placed COBBLESTONE at X= -17, Y= 0, Z= -274
[2023-07-06 17:20:10] [world] The Player <wqe123420> has placed NETHERRACK at X= -72, Y= 67, Z= -160
[2023-07-06 17:20:10] [world] The Player <wqe123420> has placed NETHERRACK at X= -73, Y= 67, Z= -160
[2023-07-06 17:20:11] [world] The Player <wqe123420> has placed NETHERRACK at X= -73, Y= 68, Z= -163
[2023-07-06 17:20:11] [world] The Player <wqe123420> has placed NETHERRACK at X= -73, Y= 68, Z= -164
[2023-07-06 17:20:13] [world] The Player <wqe123420> has placed NETHERRACK at X= -73, Y= 68, Z= -165
[2023-07-06 17:20:14] [world] The Player <wqe123420> has placed NETHERRACK at X= -74, Y= 68, Z= -165
[2023-07-06 17:20:14] [world] The Player <wqe123420> has placed NETHERRACK at X= -75, Y= 68, Z= -166
[2023-07-06 17:20:14] [world] The Player <wqe123420> has placed NETHERRACK at X= -76, Y= 68, Z= -166
[2023-07-06 17:20:14] [world] The Player <wqe123420> has placed NETHERRACK at X= -76, Y= 68, Z= -167
[2023-07-06 17:20:15] [world] The Player <wqe123420> has placed NETHERRACK at X= -75, Y= 68, Z= -167
[2023-07-06 17:20:15] [world] The Player <wqe123420> has placed NETHERRACK at X= -75, Y= 68, Z= -169
[2023-07-06 17:20:15] [world] The Player <wqe123420> has placed NETHERRACK at X= -75, Y= 68, Z= -170
[2023-07-06 17:20:15] [world] The Player <wqe123420> has placed NETHERRACK at X= -75, Y= 69, Z= -170
[2023-07-06 17:20:15] [world] The Player <wqe123420> has placed NETHERRACK at X= -75, Y= 68, Z= -171
[2023-07-06 17:20:16] [world] The Player <wqe123420> has placed NETHERRACK at X= -75, Y= 69, Z= -171
[2023-07-06 17:20:16] [world] The Player <wqe123420> has placed NETHERRACK at X= -75, Y= 69, Z= -173
[2023-07-06 17:20:16] [world] The Player <wqe123420> has placed NETHERRACK at X= -75, Y= 70, Z= -173
[2023-07-06 17:20:16] [world] The Player <wqe123420> has placed NETHERRACK at X= -75, Y= 71, Z= -173
[2023-07-06 17:20:16] [world] The Player <wqe123420> has placed NETHERRACK at X= -75, Y= 70, Z= -174
[2023-07-06 17:20:16] [world] The Player <wqe123420> has placed NETHERRACK at X= -75, Y= 71, Z= -174
[2023-07-06 17:20:17] [world] The Player <wqe123420> has placed NETHERRACK at X= -75, Y= 69, Z= -175
[2023-07-06 17:20:17] [world] The Player <wqe123420> has placed NETHERRACK at X= -75, Y= 69, Z= -176
[2023-07-06 17:20:17] [world] The Player <wqe123420> has placed NETHERRACK at X= -75, Y= 70, Z= -176
[2023-07-06 17:20:17] [world] The Player <wqe123420> has placed NETHERRACK at X= -75, Y= 70, Z= -177
[2023-07-06 17:20:17] [world] The Player <wqe123420> has placed NETHERRACK at X= -75, Y= 71, Z= -177
[2023-07-06 17:20:17] [world] The Player <wqe123420> has placed NETHERRACK at X= -75, Y= 70, Z= -178
[2023-07-06 17:20:18] [world] The Player <wqe123420> has placed NETHERRACK at X= -75, Y= 69, Z= -178
[2023-07-06 17:20:38] [world] The Player <wqe123420> has placed NETHERRACK at X= -75, Y= 69, Z= -182
[2023-07-06 17:20:39] [world] The Player <wqe123420> has placed NETHERRACK at X= -75, Y= 70, Z= -182
[2023-07-06 17:20:40] [world] The Player <wqe123420> has placed NETHERRACK at X= -75, Y= 71, Z= -182
[2023-07-06 17:29:35] [world] The Player <wqe123420> has placed LIGHT_GRAY_SHULKER_BOX at X= -26, Y= 63, Z= -287
[2023-07-06 17:30:09] [world] The Player <wqe123420> has placed DIRT_PATH at X= -20, Y= 62, Z= -294
[2023-07-06 17:30:10] [world] The Player <wqe123420> has placed DIRT_PATH at X= -20, Y= 62, Z= -296
[2023-07-06 17:30:10] [world] The Player <wqe123420> has placed DIRT_PATH at X= -20, Y= 62, Z= -297
[2023-07-06 17:30:11] [world] The Player <wqe123420> has placed FARMLAND at X= -19, Y= 62, Z= -295
[2023-07-06 17:30:12] [world] The Player <wqe123420> has placed FARMLAND at X= -18, Y= 62, Z= -295
[2023-07-06 17:31:08] [world] The Player <Enderlava> has placed PUMPKIN at X= -17, Y= 64, Z= -306
[2023-07-06 17:31:08] [world] The Player <Enderlava> has placed PUMPKIN at X= -17, Y= 65, Z= -306
[2023-07-06 17:31:48] [world] The Player <Enderlava> has placed SHULKER_BOX at X= -29, Y= 63, Z= -280
[2023-07-06 17:31:59] [world] The Player <wqe123420> has placed TNT at X= -201, Y= 86, Z= -212
[2023-07-06 17:32:15] [world] The Player <wqe123420> has placed PINK_BED at X= -201, Y= 87, Z= -213
[2023-07-06 17:32:19] [world] The Player <Enderlava> has placed SHULKER_BOX at X= -25, Y= 63, Z= -287
[2023-07-06 17:32:40] [world] The Player <wqe123420> has placed PINK_BED at X= -200, Y= 87, Z= -213
[2023-07-06 17:41:45] [world] The Player <Funget114514> has placed SHULKER_BOX at X= -28, Y= 63, Z= -288
[2023-07-06 17:45:21] [world] The Player <Funget114514> has placed SHULKER_BOX at X= -28, Y= 63, Z= -288
[2023-07-06 17:45:26] [world] The Player <wqe123420> has placed NETHERRACK at X= 30, Y= 63, Z= -331
[2023-07-06 17:45:31] [world] The Player <wqe123420> has placed NETHERRACK at X= 35, Y= 63, Z= -331
[2023-07-06 17:45:32] [world] The Player <wqe123420> has placed NETHERRACK at X= 35, Y= 62, Z= -332
[2023-07-06 17:45:35] [world] The Player <wqe123420> has placed NETHERRACK at X= 39, Y= 63, Z= -332
[2023-07-06 17:45:36] [world] The Player <wqe123420> has placed NETHERRACK at X= 40, Y= 62, Z= -332
[2023-07-06 17:45:39] [world] The Player <wqe123420> has placed NETHERRACK at X= 40, Y= 62, Z= -334
[2023-07-06 17:45:40] [world] The Player <wqe123420> has placed NETHERRACK at X= 40, Y= 63, Z= -334
[2023-07-06 17:45:44] [world] The Player <wqe123420> has placed NETHERRACK at X= 39, Y= 63, Z= -336
[2023-07-06 17:45:45] [world] The Player <wqe123420> has placed NETHERRACK at X= 40, Y= 62, Z= -337
[2023-07-06 17:45:45] [world] The Player <wqe123420> has placed NETHERRACK at X= 40, Y= 63, Z= -337
[2023-07-06 17:45:52] [world] The Player <wqe123420> has placed NETHERRACK at X= 39, Y= 63, Z= -339
[2023-07-06 17:45:52] [world] The Player <wqe123420> has placed NETHERRACK at X= 40, Y= 63, Z= -339
[2023-07-06 17:45:52] [world] The Player <wqe123420> has placed NETHERRACK at X= 40, Y= 64, Z= -339
[2023-07-06 17:45:53] [world] The Player <wqe123420> has placed NETHERRACK at X= 41, Y= 63, Z= -339
[2023-07-06 17:45:54] [world] The Player <wqe123420> has placed NETHERRACK at X= 42, Y= 63, Z= -339
