[2023-07-07 08:28:34] [world] The Player <Funget114514> has placed GRINDSTONE at X= -25, Y= 70, Z= -284
[2023-07-07 09:00:25] [world] The Player <wqe123420> has placed OBSERVER at X= -28, Y= -55, Z= -247
[2023-07-07 09:00:32] [world] The Player <wqe123420> has placed SLIME_BLOCK at X= -28, Y= -54, Z= -247
[2023-07-07 09:00:40] [world] The Player <wqe123420> has placed STICKY_PISTON at X= -27, Y= -54, Z= -247
[2023-07-07 09:00:45] [world] The Player <wqe123420> has placed SLIME_BLOCK at X= -26, Y= -54, Z= -247
[2023-07-07 09:00:54] [world] The Player <wqe123420> has placed PISTON at X= -26, Y= -53, Z= -247
[2023-07-07 09:00:59] [world] The Player <wqe123420> has placed SLIME_BLOCK at X= -27, Y= -53, Z= -247
[2023-07-07 09:01:06] [world] The Player <wqe123420> has placed PISTON at X= -28, Y= -53, Z= -247
[2023-07-07 09:01:12] [world] The Player <wqe123420> has placed NOTE_BLOCK at X= -28, Y= -52, Z= -247
[2023-07-07 09:01:19] [world] The Player <wqe123420> has placed OBSERVER at X= -27, Y= -52, Z= -247
[2023-07-07 09:01:59] [world] The Player <wqe123420> has placed OBSERVER at X= -23, Y= -55, Z= -246
[2023-07-07 09:02:01] [world] The Player <wqe123420> has placed SLIME_BLOCK at X= -23, Y= -54, Z= -246
[2023-07-07 09:02:07] [world] The Player <wqe123420> has placed STICKY_PISTON at X= -24, Y= -54, Z= -246
[2023-07-07 09:02:10] [world] The Player <wqe123420> has placed SLIME_BLOCK at X= -25, Y= -54, Z= -246
[2023-07-07 09:02:21] [world] The Player <wqe123420> has placed PISTON at X= -25, Y= -53, Z= -246
[2023-07-07 09:02:22] [world] The Player <wqe123420> has placed SLIME_BLOCK at X= -24, Y= -53, Z= -246
[2023-07-07 09:02:25] [world] The Player <wqe123420> has placed PISTON at X= -23, Y= -53, Z= -246
[2023-07-07 09:02:30] [world] The Player <wqe123420> has placed NOTE_BLOCK at X= -23, Y= -52, Z= -246
[2023-07-07 09:02:43] [world] The Player <wqe123420> has placed NOTE_BLOCK at X= -25, Y= -52, Z= -246
[2023-07-07 09:03:10] [world] The Player <wqe123420> has placed OBSERVER at X= -23, Y= -55, Z= -246
[2023-07-07 09:03:12] [world] The Player <wqe123420> has placed SLIME_BLOCK at X= -23, Y= -54, Z= -246
[2023-07-07 09:03:13] [world] The Player <wqe123420> has placed STICKY_PISTON at X= -24, Y= -54, Z= -246
[2023-07-07 09:03:14] [world] The Player <wqe123420> has placed SLIME_BLOCK at X= -25, Y= -54, Z= -246
[2023-07-07 09:03:22] [world] The Player <wqe123420> has placed PISTON at X= -25, Y= -53, Z= -246
[2023-07-07 09:03:23] [world] The Player <wqe123420> has placed SLIME_BLOCK at X= -24, Y= -53, Z= -246
[2023-07-07 09:03:25] [world] The Player <wqe123420> has placed PISTON at X= -23, Y= -53, Z= -246
[2023-07-07 09:03:44] [world] The Player <wqe123420> has placed OBSERVER at X= -26, Y= -55, Z= -246
[2023-07-07 09:03:46] [world] The Player <wqe123420> has placed SLIME_BLOCK at X= -26, Y= -54, Z= -246
