[2023-08-07 13:10:06] [world] The Player <Funget114514> has placed SPRUCE_LOG at X= 841, Y= 206, Z= 545
[2023-08-07 13:10:11] [world] The Player <Funget114514> has placed SPRUCE_LOG at X= 841, Y= 206, Z= 553
[2023-08-07 13:10:17] [world] The Player <Funget114514> has placed SPRUCE_LOG at X= 833, Y= 206, Z= 553
[2023-08-07 13:10:22] [world] The Player <Funget114514> has placed SPRUCE_LOG at X= 833, Y= 206, Z= 545
[2023-08-07 13:10:29] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 834, Y= 203, Z= 546
[2023-08-07 13:10:31] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 835, Y= 203, Z= 546
[2023-08-07 13:10:32] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 835, Y= 203, Z= 547
[2023-08-07 13:10:33] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 835, Y= 203, Z= 548
[2023-08-07 13:10:34] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 835, Y= 203, Z= 549
[2023-08-07 13:10:35] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 835, Y= 203, Z= 550
[2023-08-07 13:10:36] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 835, Y= 203, Z= 551
[2023-08-07 13:10:37] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 835, Y= 203, Z= 552
[2023-08-07 13:10:38] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 834, Y= 203, Z= 552
[2023-08-07 13:10:39] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 834, Y= 203, Z= 551
[2023-08-07 13:10:39] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 834, Y= 204, Z= 551
[2023-08-07 13:10:39] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 834, Y= 203, Z= 550
[2023-08-07 13:10:40] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 834, Y= 203, Z= 548
[2023-08-07 13:10:40] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 834, Y= 203, Z= 549
[2023-08-07 13:10:41] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 834, Y= 203, Z= 547
[2023-08-07 13:10:46] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 836, Y= 203, Z= 552
[2023-08-07 13:11:20] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 836, Y= 203, Z= 552
[2023-08-07 13:11:20] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 836, Y= 203, Z= 551
[2023-08-07 13:11:21] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 837, Y= 203, Z= 552
[2023-08-07 13:11:22] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 837, Y= 203, Z= 551
[2023-08-07 13:11:24] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 840, Y= 203, Z= 552
[2023-08-07 13:11:25] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 840, Y= 203, Z= 552
[2023-08-07 13:11:25] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 839, Y= 203, Z= 552
[2023-08-07 13:11:26] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 838, Y= 203, Z= 552
[2023-08-07 13:11:43] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 840, Y= 203, Z= 552
[2023-08-07 13:12:13] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 836, Y= 203, Z= 546
[2023-08-07 13:12:13] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 837, Y= 203, Z= 546
[2023-08-07 13:12:14] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 837, Y= 203, Z= 547
[2023-08-07 13:12:15] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 837, Y= 203, Z= 548
[2023-08-07 13:12:17] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 838, Y= 203, Z= 548
[2023-08-07 13:12:19] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 838, Y= 203, Z= 549
[2023-08-07 13:12:19] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 839, Y= 203, Z= 549
[2023-08-07 13:12:21] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 839, Y= 203, Z= 550
[2023-08-07 13:12:21] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 840, Y= 203, Z= 550
[2023-08-07 13:12:23] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 840, Y= 203, Z= 551
[2023-08-07 13:12:26] [world] The Player <Funget114514> has placed SPRUCE_SLAB at X= 840, Y= 203, Z= 549
