[2023-08-09 14:29:06] [world] The Player <Enderlava> has placed CHORUS_FLOWER at X= -17, Y= 64, Z= -296
[2023-08-09 14:29:08] [world] The Player <Enderlava> has placed CHORUS_FLOWER at X= -23, Y= 64, Z= -296
[2023-08-09 14:29:09] [world] The Player <Enderlava> has placed CHORUS_FLOWER at X= -21, Y= 64, Z= -296
[2023-08-09 14:29:09] [world] The Player <Enderlava> has placed CHORUS_FLOWER at X= -19, Y= 64, Z= -296
[2023-08-09 14:29:10] [world] The Player <Enderlava> has placed CHORUS_FLOWER at X= -23, Y= 64, Z= -299
[2023-08-09 14:29:11] [world] The Player <Enderlava> has placed CHORUS_FLOWER at X= -21, Y= 64, Z= -299
[2023-08-09 14:29:11] [world] The Player <Enderlava> has placed CHORUS_FLOWER at X= -19, Y= 64, Z= -299
[2023-08-09 14:29:20] [world] The Player <Enderlava> has placed CHORUS_FLOWER at X= -17, Y= 64, Z= -299
[2023-08-09 14:50:05] [world_the_end] The Player <Enderlava> has placed SPRUCE_SLAB at X= 98, Y= 45, Z= 7
[2023-08-09 14:50:06] [world_the_end] The Player <Enderlava> has placed SPRUCE_SLAB at X= 98, Y= 45, Z= 7
[2023-08-09 14:50:38] [world_the_end] The Player <Enderlava> has placed GLASS at X= 99, Y= 44, Z= 6
[2023-08-09 14:51:04] [world_the_end] The Player <Enderlava> has placed LADDER at X= 102, Y= 46, Z= 3
[2023-08-09 14:51:04] [world_the_end] The Player <Enderlava> has placed LADDER at X= 102, Y= 47, Z= 3
[2023-08-09 14:51:27] [world_the_end] The Player <Enderlava> has placed SLIME_BLOCK at X= 5, Y= 61, Z= 0
[2023-08-09 14:51:29] [world_the_end] The Player <Enderlava> has placed SLIME_BLOCK at X= 5, Y= 61, Z= -1
[2023-08-09 14:51:30] [world_the_end] The Player <Enderlava> has placed SLIME_BLOCK at X= 5, Y= 61, Z= 1
[2023-08-09 14:51:40] [world_the_end] The Player <Enderlava> has placed SLIME_BLOCK at X= 0, Y= 61, Z= 5
[2023-08-09 14:51:41] [world_the_end] The Player <Enderlava> has placed SLIME_BLOCK at X= 1, Y= 61, Z= 5
[2023-08-09 14:51:43] [world_the_end] The Player <Enderlava> has placed SLIME_BLOCK at X= -1, Y= 61, Z= 5
[2023-08-09 14:51:48] [world_the_end] The Player <Enderlava> has placed SLIME_BLOCK at X= -5, Y= 61, Z= 0
[2023-08-09 14:51:49] [world_the_end] The Player <Enderlava> has placed SLIME_BLOCK at X= -5, Y= 61, Z= 1
[2023-08-09 14:51:50] [world_the_end] The Player <Enderlava> has placed SLIME_BLOCK at X= -5, Y= 61, Z= -1
