[2023-07-11 08:39:14] [world] The Player <Funget114514> has placed SAND at X= -27, Y= 62, Z= -288
[2023-07-11 08:40:32] [world] The Player <Funget114514> has placed ANVIL at X= -29, Y= 69, Z= -280
[2023-07-11 08:41:23] [world] The Player <Funget114514> has placed RED_SHULKER_BOX at X= -28, Y= 63, Z= -288
[2023-07-11 08:59:05] [world] The Player <Enderlava> has placed CHEST at X= -27, Y= 64, Z= -289
[2023-07-11 09:11:09] [world_nether] The Player <Enderlava> has placed DROPPER at X= -18, Y= 128, Z= -17
[2023-07-11 09:11:09] [world_nether] The Player <Enderlava> has placed DROPPER at X= -18, Y= 129, Z= -17
[2023-07-11 09:11:10] [world_nether] The Player <Enderlava> has placed DROPPER at X= -18, Y= 130, Z= -17
[2023-07-11 09:11:10] [world_nether] The Player <Enderlava> has placed DROPPER at X= -18, Y= 131, Z= -17
[2023-07-11 09:11:10] [world_nether] The Player <Enderlava> has placed DROPPER at X= -18, Y= 132, Z= -17
[2023-07-11 09:11:10] [world_nether] The Player <Enderlava> has placed DROPPER at X= -18, Y= 133, Z= -17
[2023-07-11 09:11:10] [world_nether] The Player <Enderlava> has placed DROPPER at X= -18, Y= 134, Z= -17
[2023-07-11 09:11:11] [world_nether] The Player <Enderlava> has placed DROPPER at X= -18, Y= 135, Z= -17
[2023-07-11 09:11:11] [world_nether] The Player <Enderlava> has placed DROPPER at X= -18, Y= 136, Z= -17
[2023-07-11 09:11:11] [world_nether] The Player <Enderlava> has placed DROPPER at X= -18, Y= 137, Z= -17
[2023-07-11 09:20:20] [world] The Player <Enderlava> has placed DROPPER at X= -844, Y= 93, Z= -730
[2023-07-11 09:30:28] [world_the_end] The Player <Enderlava> has placed OAK_LEAVES at X= 327, Y= 0, Z= 7
[2023-07-11 09:30:29] [world_the_end] The Player <Enderlava> has placed OAK_LEAVES at X= 328, Y= 0, Z= 6
[2023-07-11 09:30:30] [world_the_end] The Player <Enderlava> has placed OAK_LEAVES at X= 328, Y= 0, Z= 7
[2023-07-11 09:30:31] [world_the_end] The Player <Enderlava> has placed OAK_LEAVES at X= 330, Y= 0, Z= 8
[2023-07-11 09:30:31] [world_the_end] The Player <Enderlava> has placed OAK_LEAVES at X= 329, Y= 0, Z= 8
[2023-07-11 09:30:32] [world_the_end] The Player <Enderlava> has placed OAK_LEAVES at X= 330, Y= 0, Z= 7
[2023-07-11 09:30:32] [world_the_end] The Player <Enderlava> has placed OAK_LEAVES at X= 329, Y= 0, Z= 7
[2023-07-11 09:30:53] [world_the_end] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 330, Y= 1, Z= 6
[2023-07-11 09:30:53] [world_the_end] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 329, Y= 1, Z= 6
[2023-07-11 09:30:54] [world_the_end] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 330, Y= 1, Z= 7
[2023-07-11 09:30:54] [world_the_end] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 330, Y= 1, Z= 8
[2023-07-11 09:30:54] [world_the_end] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 329, Y= 1, Z= 8
[2023-07-11 09:30:55] [world_the_end] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 329, Y= 1, Z= 7
[2023-07-11 09:30:55] [world_the_end] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 328, Y= 1, Z= 7
[2023-07-11 09:30:55] [world_the_end] The Player <Enderlava> has placed SMOOTH_STONE_SLAB at X= 328, Y= 1, Z= 6
[2023-07-11 09:31:06] [world_the_end] The Player <Enderlava> has placed OAK_LEAVES at X= 328, Y= 1, Z= 6
[2023-07-11 09:31:23] [world_the_end] The Player <Enderlava> has placed OAK_LEAVES at X= 333, Y= 1, Z= 8
[2023-07-11 09:31:24] [world_the_end] The Player <Enderlava> has placed OAK_LEAVES at X= 333, Y= 0, Z= 7
[2023-07-11 09:31:24] [world_the_end] The Player <Enderlava> has placed OAK_LEAVES at X= 333, Y= 1, Z= 7
[2023-07-11 09:31:24] [world_the_end] The Player <Enderlava> has placed OAK_LEAVES at X= 333, Y= 1, Z= 6
[2023-07-11 09:31:29] [world_the_end] The Player <Enderlava> has placed OAK_LEAVES at X= 333, Y= 3, Z= 7
[2023-07-11 09:31:35] [world_the_end] The Player <Enderlava> has placed WHITE_CARPET at X= 333, Y= 6, Z= 9
[2023-07-11 09:31:36] [world_the_end] The Player <Enderlava> has placed WHITE_CARPET at X= 332, Y= 6, Z= 5
[2023-07-11 09:31:36] [world_the_end] The Player <Enderlava> has placed WHITE_CARPET at X= 333, Y= 6, Z= 5
[2023-07-11 09:31:37] [world_the_end] The Player <Enderlava> has placed WHITE_CARPET at X= 329, Y= 6, Z= 7
[2023-07-11 09:31:47] [world_the_end] The Player <Enderlava> has placed OAK_LEAVES at X= 329, Y= 6, Z= 7
[2023-07-11 09:31:47] [world_the_end] The Player <Enderlava> has placed OAK_LEAVES at X= 329, Y= 7, Z= 7
[2023-07-11 09:31:51] [world_the_end] The Player <Enderlava> has placed OAK_LEAVES at X= 329, Y= 8, Z= 7
[2023-07-11 09:31:51] [world_the_end] The Player <Enderlava> has placed OAK_LEAVES at X= 330, Y= 7, Z= 7
[2023-07-11 09:31:52] [world_the_end] The Player <Enderlava> has placed OAK_LEAVES at X= 329, Y= 7, Z= 8
[2023-07-11 09:31:53] [world_the_end] The Player <Enderlava> has placed OAK_LEAVES at X= 330, Y= 8, Z= 7
[2023-07-11 09:31:53] [world_the_end] The Player <Enderlava> has placed OAK_LEAVES at X= 329, Y= 8, Z= 8
[2023-07-11 09:31:54] [world_the_end] The Player <Enderlava> has placed OAK_LEAVES at X= 328, Y= 8, Z= 7
[2023-07-11 09:31:55] [world_the_end] The Player <Enderlava> has placed OAK_LEAVES at X= 329, Y= 8, Z= 6
[2023-07-11 09:32:12] [world_the_end] The Player <Enderlava> has placed STRIPPED_JUNGLE_WOOD at X= 329, Y= 7, Z= 7
[2023-07-11 09:32:20] [world_the_end] The Player <Enderlava> has placed ANVIL at X= 329, Y= 9, Z= 8
[2023-07-11 09:32:27] [world_the_end] The Player <Enderlava> has placed RAIL at X= 329, Y= 8, Z= 7
