[2023-07-19 09:14:54] [world] The Player <Enderlava> has placed DIRT at X= -13, Y= 74, Z= -245
[2023-07-19 09:15:07] [world] The Player <Enderlava> has placed SMOOTH_STONE at X= -13, Y= 73, Z= -245
[2023-07-19 10:51:02] [world] The Player <Funget114514> has placed BLACK_SHULKER_BOX at X= -28, Y= 63, Z= -286
[2023-07-19 10:55:45] [world] The Player <Funget114514> has placed BLACK_SHULKER_BOX at X= -28, Y= 63, Z= -286
[2023-07-19 10:56:43] [world] The Player <Funget114514> has placed BLACK_SHULKER_BOX at X= -27, Y= 69, Z= -280
[2023-07-19 10:57:25] [world] The Player <Funget114514> has placed BLACK_SHULKER_BOX at X= -17, Y= 63, Z= -302
[2023-07-19 11:00:20] [world] The Player <Funget114514> has placed SPRUCE_SIGN at X= -21, Y= 63, Z= -290
[2023-07-19 11:01:16] [world] The Player <Funget114514> has placed SPRUCE_SIGN at X= 6, Y= 63, Z= -287
[2023-07-19 11:03:38] [world] The Player <Funget114514> has placed SPRUCE_SIGN at X= 14, Y= 63, Z= -284
[2023-07-19 11:03:40] [world] The Player <Funget114514> has placed SPRUCE_SIGN at X= 15, Y= 63, Z= -283
[2023-07-19 11:03:41] [world] The Player <Funget114514> has placed SPRUCE_SIGN at X= 16, Y= 63, Z= -284
[2023-07-19 11:11:12] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:11:14] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:11:17] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:11:17] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:11:19] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:11:20] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:11:25] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:11:25] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:11:28] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:11:29] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:11:30] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:11:32] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:11:34] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:11:35] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:11:37] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:11:39] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:11:40] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:11:42] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:11:44] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:11:45] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:11:47] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:11:52] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:11:53] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:11:55] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:11:57] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:11:58] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:12:00] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:12:02] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:12:03] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:12:05] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:12:07] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:12:08] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:12:10] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:12:12] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:12:13] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -13, Y= 75, Z= -245
[2023-07-19 11:12:28] [world] The Player <Enderlava> has placed SMOOTH_STONE at X= -19, Y= 69, Z= -244
[2023-07-19 11:12:29] [world] The Player <Enderlava> has placed SMOOTH_STONE at X= -19, Y= 69, Z= -245
[2023-07-19 11:12:29] [world] The Player <Enderlava> has placed SMOOTH_STONE at X= -19, Y= 69, Z= -246
[2023-07-19 11:14:49] [world] The Player <Enderlava> has placed COBBLESTONE_SLAB at X= -14, Y= 62, Z= -328
[2023-07-19 11:15:13] [world] The Player <Enderlava> has placed FARMLAND at X= -10, Y= 62, Z= -325
[2023-07-19 11:15:13] [world] The Player <Enderlava> has placed FARMLAND at X= -10, Y= 62, Z= -326
[2023-07-19 11:15:13] [world] The Player <Enderlava> has placed FARMLAND at X= -10, Y= 62, Z= -327
[2023-07-19 11:15:13] [world] The Player <Enderlava> has placed OAK_SAPLING at X= -10, Y= 63, Z= -327
[2023-07-19 11:15:13] [world] The Player <Enderlava> has placed FARMLAND at X= -10, Y= 62, Z= -329
[2023-07-19 11:15:14] [world] The Player <Enderlava> has placed FARMLAND at X= -10, Y= 62, Z= -330
[2023-07-19 11:15:14] [world] The Player <Enderlava> has placed FARMLAND at X= -10, Y= 62, Z= -331
[2023-07-19 11:15:15] [world] The Player <Enderlava> has placed FARMLAND at X= -10, Y= 62, Z= -328
[2023-07-19 11:15:16] [world] The Player <Enderlava> has placed FARMLAND at X= -12, Y= 62, Z= -328
[2023-07-19 11:15:16] [world] The Player <Enderlava> has placed FARMLAND at X= -11, Y= 62, Z= -327
[2023-07-19 11:15:17] [world] The Player <Enderlava> has placed FARMLAND at X= -12, Y= 62, Z= -326
[2023-07-19 11:15:17] [world] The Player <Enderlava> has placed FARMLAND at X= -11, Y= 62, Z= -326
[2023-07-19 11:15:17] [world] The Player <Enderlava> has placed FARMLAND at X= -12, Y= 62, Z= -327
[2023-07-19 11:15:18] [world] The Player <Enderlava> has placed FARMLAND at X= -13, Y= 62, Z= -327
[2023-07-19 11:15:18] [world] The Player <Enderlava> has placed FARMLAND at X= -13, Y= 62, Z= -326
[2023-07-19 11:15:21] [world] The Player <Enderlava> has placed FARMLAND at X= -14, Y= 62, Z= -326
[2023-07-19 11:15:21] [world] The Player <Enderlava> has placed FARMLAND at X= -14, Y= 62, Z= -327
[2023-07-19 11:15:22] [world] The Player <Enderlava> has placed FARMLAND at X= -15, Y= 62, Z= -327
[2023-07-19 11:15:22] [world] The Player <Enderlava> has placed FARMLAND at X= -15, Y= 62, Z= -326
[2023-07-19 11:15:22] [world] The Player <Enderlava> has placed FARMLAND at X= -16, Y= 62, Z= -326
[2023-07-19 11:15:22] [world] The Player <Enderlava> has placed FARMLAND at X= -17, Y= 62, Z= -326
[2023-07-19 11:15:23] [world] The Player <Enderlava> has placed FARMLAND at X= -16, Y= 62, Z= -327
