[2023-07-20 10:16:18] [world] The Player <Enderlava> has placed SHULKER_BOX at X= -27, Y= 63, Z= -285
[2023-07-20 10:36:35] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -42, Y= -2, Z= -124
[2023-07-20 10:36:35] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -42, Y= -1, Z= -124
[2023-07-20 10:36:35] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -42, Y= 0, Z= -124
[2023-07-20 10:36:35] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -42, Y= 1, Z= -124
[2023-07-20 10:36:35] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -42, Y= 2, Z= -124
[2023-07-20 10:36:36] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -42, Y= 3, Z= -124
[2023-07-20 10:36:49] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -43, Y= -2, Z= -123
[2023-07-20 10:36:50] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -43, Y= -1, Z= -123
[2023-07-20 10:36:50] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -43, Y= 0, Z= -123
[2023-07-20 10:36:50] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -43, Y= 1, Z= -123
[2023-07-20 10:36:50] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -43, Y= 2, Z= -123
[2023-07-20 10:36:50] [world] The Player <wqe123420> has placed COBBLED_DEEPSLATE at X= -43, Y= 3, Z= -123
[2023-07-20 10:54:00] [world] The Player <wqe123420> has placed YELLOW_SHULKER_BOX at X= -25, Y= 63, Z= -286
[2023-07-20 10:54:42] [world] The Player <wqe123420> has placed YELLOW_SHULKER_BOX at X= -25, Y= 63, Z= -287
[2023-07-20 11:01:33] [world] The Player <wqe123420> has placed RED_SHULKER_BOX at X= 5, Y= 114, Z= 16
[2023-07-20 11:02:16] [world] The Player <wqe123420> has placed RED_SHULKER_BOX at X= -26, Y= 63, Z= -287
[2023-07-20 11:03:12] [world] The Player <wqe123420> has placed RED_SHULKER_BOX at X= -26, Y= 63, Z= -286
[2023-07-20 11:04:20] [world] The Player <wqe123420> has placed TNT at X= -1001, Y= 68, Z= -964
[2023-07-20 11:04:21] [world] The Player <wqe123420> has placed TNT at X= -1000, Y= 68, Z= -963
