[2023-07-21 15:17:07] [world] The Player <Funget114514> has placed SUGAR_CANE at X= -995, Y= 63, Z= -978
[2023-07-21 15:17:07] [world] The Player <Funget114514> has placed SUGAR_CANE at X= -994, Y= 63, Z= -978
[2023-07-21 15:17:08] [world] The Player <Funget114514> has placed SUGAR_CANE at X= -993, Y= 63, Z= -977
[2023-07-21 15:17:08] [world] The Player <Funget114514> has placed SUGAR_CANE at X= -992, Y= 63, Z= -977
[2023-07-21 15:17:09] [world] The Player <Funget114514> has placed SUGAR_CANE at X= -992, Y= 64, Z= -977
[2023-07-21 15:17:09] [world] The Player <Funget114514> has placed SUGAR_CANE at X= -991, Y= 63, Z= -977
[2023-07-21 15:17:09] [world] The Player <Funget114514> has placed SUGAR_CANE at X= -990, Y= 63, Z= -977
[2023-07-21 15:17:10] [world] The Player <Funget114514> has placed SUGAR_CANE at X= -989, Y= 63, Z= -977
[2023-07-21 15:17:11] [world] The Player <Funget114514> has placed SUGAR_CANE at X= -988, Y= 63, Z= -976
[2023-07-21 15:17:11] [world] The Player <Funget114514> has placed SUGAR_CANE at X= -987, Y= 63, Z= -976
[2023-07-21 15:17:12] [world] The Player <Funget114514> has placed SUGAR_CANE at X= -986, Y= 63, Z= -975
[2023-07-21 15:17:13] [world] The Player <Funget114514> has placed SUGAR_CANE at X= -985, Y= 63, Z= -975
[2023-07-21 15:17:18] [world] The Player <Funget114514> has placed SUGAR_CANE at X= -1003, Y= 63, Z= -975
[2023-07-21 15:17:19] [world] The Player <Funget114514> has placed SUGAR_CANE at X= -1004, Y= 63, Z= -975
[2023-07-21 15:17:20] [world] The Player <Funget114514> has placed SUGAR_CANE at X= -1005, Y= 63, Z= -976
[2023-07-21 15:17:21] [world] The Player <Funget114514> has placed SUGAR_CANE at X= -1005, Y= 63, Z= -977
[2023-07-21 15:17:22] [world] The Player <Funget114514> has placed SUGAR_CANE at X= -1005, Y= 63, Z= -978
[2023-07-21 15:18:13] [world] The Player <Funget114514> has placed OAK_STAIRS at X= -976, Y= 73, Z= -1012
[2023-07-21 15:18:34] [world] The Player <Enderlava> has placed OAK_DOOR at X= -93, Y= 48, Z= -84
[2023-07-21 15:18:57] [world] The Player <Enderlava> has placed OAK_DOOR at X= -96, Y= 49, Z= -76
[2023-07-21 15:19:07] [world] The Player <Funget114514> has placed TNT at X= -975, Y= 69, Z= -1007
[2023-07-21 15:19:09] [world] The Player <Enderlava> has placed OAK_DOOR at X= -94, Y= 49, Z= -75
[2023-07-21 15:19:11] [world] The Player <Enderlava> has placed OAK_DOOR at X= -95, Y= 49, Z= -76
[2023-07-21 15:26:05] [world] The Player <Enderlava> has placed IRON_BLOCK at X= -78, Y= 65, Z= -131
[2023-07-21 15:26:05] [world] The Player <Enderlava> has placed IRON_BLOCK at X= -78, Y= 66, Z= -132
[2023-07-21 15:26:06] [world] The Player <Enderlava> has placed IRON_BLOCK at X= -78, Y= 67, Z= -132
[2023-07-21 15:26:06] [world] The Player <Enderlava> has placed IRON_BLOCK at X= -78, Y= 68, Z= -132
[2023-07-21 15:26:06] [world] The Player <Enderlava> has placed IRON_BLOCK at X= -78, Y= 68, Z= -133
[2023-07-21 16:21:44] [world_nether] The Player <Enderlava> has placed TNT at X= -48, Y= 10, Z= -103
[2023-07-21 16:22:22] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 18, Z= -49
[2023-07-21 16:22:34] [world_nether] The Player <Enderlava> has placed TNT at X= -69, Y= 17, Z= -49
[2023-07-21 16:22:54] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 18, Z= -39
[2023-07-21 16:23:08] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 19, Z= -30
[2023-07-21 16:23:34] [world_nether] The Player <Enderlava> has placed TNT at X= -61, Y= 15, Z= -23
[2023-07-21 16:23:53] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 14, Z= -18
[2023-07-21 16:24:01] [world_nether] The Player <Enderlava> has placed TNT at X= -66, Y= 16, Z= -16
[2023-07-21 16:24:04] [world_nether] The Player <Enderlava> has placed TNT at X= -66, Y= 16, Z= -15
[2023-07-21 16:24:22] [world_nether] The Player <Enderlava> has placed TNT at X= -66, Y= 17, Z= -15
[2023-07-21 16:24:41] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 13, Z= -7
[2023-07-21 16:24:54] [world_nether] The Player <Enderlava> has placed TNT at X= -64, Y= 14, Z= 0
[2023-07-21 16:25:07] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 13, Z= 7
[2023-07-21 16:25:23] [world_nether] The Player <Enderlava> has placed TNT at X= -64, Y= 14, Z= 15
[2023-07-21 16:25:30] [world_nether] The Player <Enderlava> has placed TNT at X= -64, Y= 11, Z= 16
[2023-07-21 16:25:31] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 11, Z= 16
[2023-07-21 16:25:56] [world_nether] The Player <Enderlava> has placed TNT at X= -64, Y= 11, Z= 30
[2023-07-21 16:26:03] [world_nether] The Player <Enderlava> has placed FIRE at X= -64, Y= 8, Z= 21
[2023-07-21 16:26:08] [world_nether] The Player <Enderlava> has placed TNT at X= -64, Y= 12, Z= 38
[2023-07-21 16:26:26] [world_nether] The Player <Enderlava> has placed TNT at X= -64, Y= 11, Z= 45
[2023-07-21 16:26:38] [world_nether] The Player <Enderlava> has placed TNT at X= -64, Y= 11, Z= 53
[2023-07-21 16:27:15] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 10, Z= 59
[2023-07-21 16:27:30] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 10, Z= 66
[2023-07-21 16:28:56] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 10, Z= 73
[2023-07-21 16:29:14] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 9, Z= 81
[2023-07-21 16:29:46] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 8, Z= 88
[2023-07-21 16:30:14] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 14, Z= 100
[2023-07-21 16:30:28] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 11, Z= 109
[2023-07-21 16:31:28] [world_nether] The Player <Funget114514> has placed TNT at X= -76, Y= 14, Z= 69
[2023-07-21 16:32:28] [world_nether] The Player <Enderlava> has placed TNT at X= -55, Y= 13, Z= 151
[2023-07-21 16:32:38] [world_nether] The Player <Enderlava> has placed TNT at X= -55, Y= 14, Z= 156
[2023-07-21 16:32:53] [world_nether] The Player <Enderlava> has placed TNT at X= -55, Y= 16, Z= 165
[2023-07-21 16:32:54] [world_nether] The Player <Funget114514> has placed TNT at X= -73, Y= 17, Z= 77
[2023-07-21 16:33:06] [world_nether] The Player <Funget114514> has placed TNT at X= -73, Y= 15, Z= 83
[2023-07-21 16:33:17] [world_nether] The Player <Funget114514> has placed TNT at X= -66, Y= 13, Z= 84
[2023-07-21 16:33:18] [world_nether] The Player <Funget114514> has placed FIRE at X= -68, Y= 13, Z= 84
[2023-07-21 16:33:33] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -66, Y= 7, Z= 84
[2023-07-21 16:33:33] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -66, Y= 8, Z= 84
[2023-07-21 16:33:33] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -66, Y= 9, Z= 84
[2023-07-21 16:33:33] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -66, Y= 10, Z= 84
[2023-07-21 16:33:34] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -66, Y= 11, Z= 84
[2023-07-21 16:33:34] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 15, Z= 176
[2023-07-21 16:33:44] [world_nether] The Player <Funget114514> has placed TNT at X= -62, Y= 13, Z= 85
[2023-07-21 16:33:46] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 15, Z= 183
[2023-07-21 16:33:56] [world_nether] The Player <Enderlava> has placed TNT at X= -64, Y= 15, Z= 190
[2023-07-21 16:34:05] [world_nether] The Player <Funget114514> has placed TNT at X= -55, Y= 12, Z= 86
[2023-07-21 16:34:09] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 15, Z= 197
[2023-07-21 16:34:19] [world_nether] The Player <Enderlava> has placed TNT at X= -64, Y= 15, Z= 205
[2023-07-21 16:34:34] [world_nether] The Player <Enderlava> has placed TNT at X= -64, Y= 15, Z= 212
[2023-07-21 16:34:49] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 14, Z= 215
[2023-07-21 16:35:00] [world_nether] The Player <Enderlava> has placed TNT at X= -65, Y= 14, Z= 226
