[2023-07-22 13:07:05] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -32, Y= 59, Z= -46
[2023-07-22 13:07:20] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -56, Y= 59, Z= -46
[2023-07-22 13:07:20] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -56, Y= 60, Z= -46
[2023-07-22 13:07:21] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -55, Y= 61, Z= -47
[2023-07-22 13:07:21] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -55, Y= 62, Z= -47
[2023-07-22 13:07:30] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -52, Y= 62, Z= -49
[2023-07-22 13:07:37] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -48, Y= 58, Z= -41
[2023-07-22 13:07:38] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -48, Y= 59, Z= -41
[2023-07-22 13:07:38] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -47, Y= 58, Z= -40
[2023-07-22 13:07:38] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -47, Y= 59, Z= -40
[2023-07-22 13:07:39] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -47, Y= 60, Z= -40
[2023-07-22 13:07:39] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -47, Y= 61, Z= -40
[2023-07-22 13:07:40] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -47, Y= 62, Z= -40
[2023-07-22 13:07:40] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -47, Y= 63, Z= -40
[2023-07-22 13:07:41] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -47, Y= 64, Z= -40
[2023-07-22 13:07:41] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -47, Y= 65, Z= -40
[2023-07-22 13:07:42] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -47, Y= 66, Z= -40
[2023-07-22 13:07:42] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= -47, Y= 67, Z= -40
[2023-07-22 13:08:28] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 138, Y= 36, Z= -557
[2023-07-22 13:08:29] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 138, Y= 37, Z= -557
[2023-07-22 13:08:30] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 138, Y= 38, Z= -557
[2023-07-22 13:08:30] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 137, Y= 39, Z= -557
[2023-07-22 13:08:31] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 137, Y= 39, Z= -558
[2023-07-22 13:08:31] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 137, Y= 40, Z= -558
[2023-07-22 13:08:31] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 137, Y= 41, Z= -558
[2023-07-22 13:08:35] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 131, Y= 46, Z= -562
[2023-07-22 13:08:36] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 131, Y= 48, Z= -563
[2023-07-22 13:08:37] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 131, Y= 49, Z= -563
[2023-07-22 13:08:37] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 131, Y= 50, Z= -563
[2023-07-22 13:08:38] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 131, Y= 51, Z= -563
[2023-07-22 13:08:38] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 131, Y= 52, Z= -563
[2023-07-22 13:09:15] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 120, Y= 65, Z= -580
[2023-07-22 13:09:21] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 118, Y= 61, Z= -580
[2023-07-22 13:09:29] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 119, Y= 63, Z= -580
[2023-07-22 13:12:43] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 124, Y= 64, Z= -577
[2023-07-22 13:12:44] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 124, Y= 64, Z= -578
[2023-07-22 13:13:01] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 131, Y= 62, Z= -573
[2023-07-22 13:13:30] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 133, Y= 59, Z= -571
[2023-07-22 13:13:30] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 133, Y= 59, Z= -572
[2023-07-22 13:13:30] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 133, Y= 59, Z= -573
[2023-07-22 13:13:31] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 133, Y= 59, Z= -574
[2023-07-22 13:14:20] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 133, Y= 58, Z= -634
[2023-07-22 13:14:32] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 127, Y= 59, Z= -636
[2023-07-22 13:14:32] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 127, Y= 60, Z= -636
[2023-07-22 13:15:10] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 124, Y= 37, Z= -648
[2023-07-22 13:15:11] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 124, Y= 38, Z= -648
[2023-07-22 13:16:01] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 90, Y= 38, Z= -683
[2023-07-22 13:16:01] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 90, Y= 39, Z= -683
[2023-07-22 13:16:02] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 90, Y= 40, Z= -682
[2023-07-22 13:16:04] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 90, Y= 42, Z= -681
[2023-07-22 13:16:04] [world_nether] The Player <Funget114514> has placed NETHERRACK at X= 90, Y= 43, Z= -681
[2023-07-22 13:17:00] [world_nether] The Player <wqe123420> has placed NETHERRACK at X= -10, Y= 12, Z= -276
[2023-07-22 13:17:19] [world_nether] The Player <wqe123420> has placed NETHERRACK at X= -14, Y= 12, Z= -302
[2023-07-22 13:17:20] [world_nether] The Player <wqe123420> has placed NETHERRACK at X= -14, Y= 12, Z= -301
[2023-07-22 13:27:48] [world] The Player <wqe123420> has placed NETHERRACK at X= -3235, Y= 62, Z= 4300
[2023-07-22 13:27:53] [world] The Player <wqe123420> has placed NETHERRACK at X= -3236, Y= 62, Z= 4303
[2023-07-22 13:30:44] [world] The Player <wqe123420> has placed NETHERRACK at X= -28, Y= 68, Z= -289
[2023-07-22 13:30:45] [world] The Player <wqe123420> has placed NETHERRACK at X= -28, Y= 69, Z= -289
[2023-07-22 13:30:46] [world] The Player <wqe123420> has placed NETHERRACK at X= -29, Y= 68, Z= -288
[2023-07-22 13:30:46] [world] The Player <wqe123420> has placed NETHERRACK at X= -29, Y= 69, Z= -288
[2023-07-22 13:30:48] [world] The Player <wqe123420> has placed NETHERRACK at X= -30, Y= 70, Z= -289
[2023-07-22 13:30:49] [world] The Player <wqe123420> has placed NETHERRACK at X= -29, Y= 70, Z= -289
[2023-07-22 13:41:27] [world] The Player <wqe123420> has placed SUGAR_CANE at X= 20, Y= 63, Z= -328
[2023-07-22 13:42:01] [world] The Player <wqe123420> has placed SUGAR_CANE at X= 8, Y= 63, Z= -304
[2023-07-22 13:54:15] [world] The Player <Enderlava> has placed BLACKSTONE at X= -6, Y= 78, Z= -212
[2023-07-22 14:09:02] [world] The Player <Enderlava> has placed TNT at X= -61, Y= 18, Z= -213
[2023-07-22 15:02:02] [world_nether] The Player <wqe123420> has placed ANCIENT_DEBRIS at X= 362, Y= 13, Z= -221
[2023-07-22 15:02:13] [world_nether] The Player <wqe123420> has placed BLACKSTONE at X= 363, Y= 14, Z= -221
[2023-07-22 15:02:14] [world_nether] The Player <wqe123420> has placed BLACKSTONE at X= 362, Y= 14, Z= -221
[2023-07-22 15:02:18] [world_nether] The Player <wqe123420> has placed BLACKSTONE at X= 362, Y= 14, Z= -221
[2023-07-22 15:02:31] [world_nether] The Player <wqe123420> has placed BLACKSTONE at X= 363, Y= 13, Z= -221
[2023-07-22 15:02:32] [world_nether] The Player <wqe123420> has placed BLACKSTONE at X= 363, Y= 14, Z= -221
[2023-07-22 15:03:12] [world_nether] The Player <wqe123420> has placed BLACKSTONE at X= 319, Y= 12, Z= -222
[2023-07-22 15:03:13] [world_nether] The Player <wqe123420> has placed BLACKSTONE at X= 319, Y= 13, Z= -222
[2023-07-22 15:03:13] [world_nether] The Player <wqe123420> has placed BLACKSTONE at X= 319, Y= 14, Z= -222
[2023-07-22 15:05:12] [world] The Player <wqe123420> has placed BLACKSTONE at X= -72, Y= 62, Z= -226
[2023-07-22 15:05:27] [world] The Player <wqe123420> has placed BLACKSTONE at X= -72, Y= 38, Z= -226
[2023-07-22 15:05:41] [world] The Player <wqe123420> has placed BLACKSTONE at X= -72, Y= 18, Z= -226
[2023-07-22 18:25:55] [world_nether] The Player <Enderlava> has placed BLUE_ICE at X= 19, Y= 128, Z= -24
[2023-07-22 18:25:57] [world_nether] The Player <Enderlava> has placed BLUE_ICE at X= 21, Y= 128, Z= -24
[2023-07-22 18:25:58] [world_nether] The Player <Enderlava> has placed BLUE_ICE at X= 23, Y= 128, Z= -24
[2023-07-22 18:25:59] [world_nether] The Player <Enderlava> has placed BLUE_ICE at X= 25, Y= 128, Z= -24
[2023-07-22 18:26:05] [world_nether] The Player <Enderlava> has placed STONE_BUTTON at X= 25, Y= 129, Z= -24
[2023-07-22 18:26:06] [world_nether] The Player <Enderlava> has placed STONE_BUTTON at X= 23, Y= 129, Z= -24
[2023-07-22 18:26:07] [world_nether] The Player <Enderlava> has placed STONE_BUTTON at X= 21, Y= 129, Z= -24
[2023-07-22 18:26:07] [world_nether] The Player <Enderlava> has placed STONE_BUTTON at X= 18, Y= 128, Z= -24
[2023-07-22 18:26:09] [world_nether] The Player <Enderlava> has placed STONE_BUTTON at X= 19, Y= 129, Z= -24
[2023-07-22 18:26:39] [world_nether] The Player <Enderlava> has placed BLUE_ICE at X= 162, Y= 128, Z= 102
[2023-07-22 18:26:40] [world_nether] The Player <Enderlava> has placed BLUE_ICE at X= 164, Y= 128, Z= 102
[2023-07-22 18:26:43] [world_nether] The Player <Enderlava> has placed BLUE_ICE at X= 164, Y= 128, Z= 104
[2023-07-22 18:26:43] [world_nether] The Player <Enderlava> has placed BLUE_ICE at X= 164, Y= 128, Z= 106
[2023-07-22 18:26:44] [world_nether] The Player <Enderlava> has placed BLUE_ICE at X= 164, Y= 128, Z= 108
[2023-07-22 18:26:44] [world_nether] The Player <Enderlava> has placed BLUE_ICE at X= 164, Y= 128, Z= 110
[2023-07-22 18:26:45] [world_nether] The Player <Enderlava> has placed BLUE_ICE at X= 164, Y= 128, Z= 112
[2023-07-22 18:26:45] [world_nether] The Player <Enderlava> has placed BLUE_ICE at X= 164, Y= 128, Z= 114
[2023-07-22 18:26:47] [world_nether] The Player <Enderlava> has placed BLUE_ICE at X= 164, Y= 128, Z= 116
[2023-07-22 18:26:47] [world_nether] The Player <Enderlava> has placed BLUE_ICE at X= 164, Y= 128, Z= 118
[2023-07-22 18:26:52] [world_nether] The Player <Enderlava> has placed BLUE_ICE at X= 161, Y= 128, Z= 116
[2023-07-22 18:26:54] [world_nether] The Player <Enderlava> has placed BLUE_ICE at X= 161, Y= 128, Z= 118
[2023-07-22 18:26:59] [world_nether] The Player <Enderlava> has placed BLUE_ICE at X= 162, Y= 128, Z= 104
[2023-07-22 18:27:00] [world_nether] The Player <Enderlava> has placed BLUE_ICE at X= 162, Y= 128, Z= 106
[2023-07-22 18:27:00] [world_nether] The Player <Enderlava> has placed BLUE_ICE at X= 162, Y= 128, Z= 108
[2023-07-22 18:27:01] [world_nether] The Player <Enderlava> has placed BLUE_ICE at X= 162, Y= 128, Z= 110
[2023-07-22 18:27:01] [world_nether] The Player <Enderlava> has placed BLUE_ICE at X= 162, Y= 128, Z= 112
[2023-07-22 18:27:01] [world_nether] The Player <Enderlava> has placed BLUE_ICE at X= 162, Y= 128, Z= 114
[2023-07-22 18:27:02] [world_nether] The Player <Enderlava> has placed BLUE_ICE at X= 162, Y= 128, Z= 116
[2023-07-22 18:27:02] [world_nether] The Player <Enderlava> has placed BLUE_ICE at X= 162, Y= 128, Z= 118
[2023-07-22 18:27:03] [world_nether] The Player <Enderlava> has placed BLUE_ICE at X= 162, Y= 128, Z= 120
[2023-07-22 18:27:04] [world_nether] The Player <Enderlava> has placed BLUE_ICE at X= 162, Y= 128, Z= 122
[2023-07-22 18:27:07] [world_nether] The Player <Enderlava> has placed BLUE_ICE at X= 164, Y= 128, Z= 120
