[2023-07-23 14:52:18] [world_the_end] The Player <Enderlava> has placed SAND at X= 1, Y= 61, Z= -3
[2023-07-23 14:52:25] [world_the_end] The Player <Enderlava> has placed SAND at X= 5, Y= 61, Z= -5
[2023-07-23 14:52:26] [world_the_end] The Player <Enderlava> has placed SAND at X= 5, Y= 62, Z= -5
[2023-07-23 14:52:27] [world_the_end] The Player <Enderlava> has placed SAND at X= 5, Y= 62, Z= -4
[2023-07-23 14:52:39] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 6, Y= 62, Z= -4
[2023-07-23 14:52:45] [world_the_end] The Player <Enderlava> has placed SAND at X= -1, Y= 61, Z= -3
[2023-07-23 14:52:46] [world_the_end] The Player <Enderlava> has placed SAND at X= 0, Y= 61, Z= -3
[2023-07-23 14:53:07] [world_the_end] The Player <Enderlava> has placed SLIME_BLOCK at X= 0, Y= 61, Z= -5
[2023-07-23 14:53:08] [world_the_end] The Player <Enderlava> has placed SLIME_BLOCK at X= 1, Y= 61, Z= -5
[2023-07-23 14:53:09] [world_the_end] The Player <Enderlava> has placed SLIME_BLOCK at X= -1, Y= 61, Z= -5
[2023-07-23 14:53:14] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 0, Y= 56, Z= 0
[2023-07-23 14:54:12] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -3, Y= 62, Z= 6
[2023-07-23 14:54:12] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -3, Y= 62, Z= 7
[2023-07-23 14:54:13] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -2, Y= 62, Z= 7
[2023-07-23 14:54:14] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -4, Y= 62, Z= 6
[2023-07-23 14:54:15] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -5, Y= 62, Z= 6
[2023-07-23 14:54:15] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -6, Y= 62, Z= 5
[2023-07-23 14:54:16] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -7, Y= 62, Z= 4
[2023-07-23 14:54:17] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -8, Y= 62, Z= 4
[2023-07-23 14:54:18] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -9, Y= 62, Z= 3
[2023-07-23 14:54:19] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -10, Y= 62, Z= 2
[2023-07-23 14:54:20] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -12, Y= 62, Z= 2
[2023-07-23 14:54:25] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -2, Y= 62, Z= 8
[2023-07-23 14:54:35] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -11, Y= 62, Z= 3
[2023-07-23 14:54:35] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -12, Y= 62, Z= 4
[2023-07-23 14:54:37] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -12, Y= 62, Z= 5
[2023-07-23 14:54:38] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -12, Y= 62, Z= 6
[2023-07-23 14:54:39] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -12, Y= 62, Z= 7
[2023-07-23 14:54:40] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -12, Y= 62, Z= 8
[2023-07-23 14:54:40] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -12, Y= 62, Z= 9
[2023-07-23 14:54:40] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -12, Y= 62, Z= 10
[2023-07-23 14:54:41] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -12, Y= 62, Z= 11
[2023-07-23 14:54:43] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -11, Y= 62, Z= 11
[2023-07-23 14:54:44] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -11, Y= 62, Z= 10
[2023-07-23 14:54:45] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -11, Y= 62, Z= 8
[2023-07-23 14:54:45] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -11, Y= 62, Z= 9
[2023-07-23 14:54:46] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -11, Y= 62, Z= 7
[2023-07-23 14:54:47] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -11, Y= 62, Z= 6
[2023-07-23 14:54:47] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -11, Y= 62, Z= 5
[2023-07-23 14:54:48] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -11, Y= 62, Z= 4
[2023-07-23 14:54:48] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -10, Y= 62, Z= 3
[2023-07-23 14:54:49] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -9, Y= 62, Z= 4
[2023-07-23 14:54:49] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -10, Y= 62, Z= 4
[2023-07-23 14:55:07] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -6, Y= 63, Z= 10
[2023-07-23 14:55:07] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -6, Y= 64, Z= 10
[2023-07-23 14:55:08] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -6, Y= 65, Z= 10
[2023-07-23 14:55:14] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -6, Y= 65, Z= 9
[2023-07-23 14:55:14] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -5, Y= 65, Z= 9
[2023-07-23 14:55:14] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -5, Y= 64, Z= 9
[2023-07-23 14:55:15] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -5, Y= 63, Z= 9
[2023-07-23 14:55:17] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -5, Y= 63, Z= 8
[2023-07-23 14:55:21] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -6, Y= 63, Z= 8
[2023-07-23 14:55:21] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -6, Y= 64, Z= 8
[2023-07-23 14:55:21] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -6, Y= 65, Z= 8
[2023-07-23 14:55:23] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -7, Y= 63, Z= 9
[2023-07-23 14:55:23] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -7, Y= 64, Z= 9
[2023-07-23 14:55:23] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -7, Y= 65, Z= 9
[2023-07-23 14:55:24] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -8, Y= 63, Z= 8
[2023-07-23 14:55:25] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -8, Y= 64, Z= 8
[2023-07-23 14:55:25] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -8, Y= 65, Z= 8
[2023-07-23 14:55:32] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -9, Y= 62, Z= 7
[2023-07-23 14:55:32] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -9, Y= 63, Z= 7
[2023-07-23 14:55:33] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -9, Y= 64, Z= 7
[2023-07-23 14:55:33] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -9, Y= 65, Z= 7
[2023-07-23 14:55:36] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -8, Y= 63, Z= 6
[2023-07-23 14:55:38] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -8, Y= 64, Z= 6
[2023-07-23 14:55:38] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -8, Y= 65, Z= 6
[2023-07-23 14:55:40] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -7, Y= 62, Z= 5
[2023-07-23 14:55:40] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -7, Y= 63, Z= 5
[2023-07-23 14:55:41] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -7, Y= 64, Z= 5
[2023-07-23 14:55:41] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -7, Y= 65, Z= 5
[2023-07-23 14:55:48] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -5, Y= 62, Z= 7
[2023-07-23 14:55:48] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -5, Y= 63, Z= 7
[2023-07-23 14:55:49] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -5, Y= 64, Z= 7
[2023-07-23 14:55:51] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -5, Y= 65, Z= 7
[2023-07-23 14:56:27] [world_the_end] The Player <Enderlava> has placed END_STONE at X= -6, Y= 62, Z= 6
[2023-07-23 14:56:35] [world_the_end] The Player <Enderlava> has placed END_STONE at X= 5, Y= 62, Z= -8
