[2023-08-24 09:52:56] [world] The Player <Enderlava> has placed GRASS_BLOCK at X= -199, Y= 63, Z= -167
[2023-08-24 10:00:18] [world] The Player <Enderlava> has placed PLAYER_HEAD at X= -21, Y= 72, Z= -282
[2023-08-24 10:00:23] [world] The Player <Enderlava> has placed PLAYER_HEAD at X= -21, Y= 72, Z= -282
[2023-08-24 10:00:45] [world] The Player <Enderlava> has placed PLAYER_WALL_HEAD at X= -19, Y= 73, Z= -266
[2023-08-24 10:02:05] [world_nether] The Player <Enderlava> has placed FIRE at X= 11, Y= 128, Z= -10
[2023-08-24 10:07:40] [world] The Player <Enderlava> has placed DIRT at X= -15, Y= 74, Z= -245
[2023-08-24 10:07:42] [world] The Player <Enderlava> has placed DIRT at X= -14, Y= 75, Z= -245
[2023-08-24 10:16:32] [world] The Player <Enderlava> has placed SMOOTH_STONE at X= -25, Y= 65, Z= -284
[2023-08-24 10:16:33] [world] The Player <Enderlava> has placed SMOOTH_STONE at X= -26, Y= 64, Z= -284
[2023-08-24 10:16:55] [world] The Player <Enderlava> has placed SMOOTH_STONE at X= -25, Y= 64, Z= -284
[2023-08-24 10:22:20] [world] The Player <Enderlava> has placed NETHER_WART at X= -27, Y= 71, Z= -274
[2023-08-24 10:22:20] [world] The Player <Enderlava> has placed NETHER_WART at X= -26, Y= 71, Z= -274
[2023-08-24 10:22:51] [world] The Player <Enderlava> has placed SUGAR_CANE at X= -47, Y= 66, Z= -302
[2023-08-24 10:22:54] [world] The Player <Enderlava> has placed SUGAR_CANE at X= -48, Y= 63, Z= -302
[2023-08-24 10:23:13] [world] The Player <Enderlava> has placed REPEATER at X= -42, Y= 71, Z= -285
[2023-08-24 10:23:56] [world] The Player <Enderlava> has placed REDSTONE_WIRE at X= -42, Y= 71, Z= -286
[2023-08-24 10:23:56] [world] The Player <Enderlava> has placed REDSTONE_WIRE at X= -41, Y= 71, Z= -286
[2023-08-24 10:23:56] [world] The Player <Enderlava> has placed REDSTONE_WIRE at X= -41, Y= 71, Z= -284
[2023-08-24 10:23:56] [world] The Player <Enderlava> has placed REDSTONE_WIRE at X= -41, Y= 71, Z= -283
[2023-08-24 10:23:57] [world] The Player <Enderlava> has placed REDSTONE_WIRE at X= -43, Y= 71, Z= -282
[2023-08-24 10:23:58] [world] The Player <Enderlava> has placed REDSTONE_WIRE at X= -43, Y= 71, Z= -283
[2023-08-24 10:23:58] [world] The Player <Enderlava> has placed REDSTONE_WIRE at X= -46, Y= 71, Z= -285
[2023-08-24 10:23:59] [world] The Player <Enderlava> has placed REDSTONE_WIRE at X= -46, Y= 71, Z= -286
[2023-08-24 10:23:59] [world] The Player <Enderlava> has placed REDSTONE_WIRE at X= -45, Y= 71, Z= -286
[2023-08-24 10:23:59] [world] The Player <Enderlava> has placed REDSTONE_WIRE at X= -41, Y= 71, Z= -287
[2023-08-24 10:24:00] [world] The Player <Enderlava> has placed REDSTONE_WIRE at X= -40, Y= 71, Z= -287
[2023-08-24 10:24:00] [world] The Player <Enderlava> has placed REDSTONE_WIRE at X= -41, Y= 71, Z= -288
[2023-08-24 10:24:04] [world] The Player <Enderlava> has placed REDSTONE_WIRE at X= -42, Y= 71, Z= -286
[2023-08-24 10:24:07] [world] The Player <Enderlava> has placed REDSTONE_WIRE at X= -42, Y= 71, Z= -284
[2023-08-24 10:24:09] [world] The Player <Enderlava> has placed REDSTONE_WIRE at X= -42, Y= 71, Z= -286
[2023-08-24 10:24:57] [world] The Player <Enderlava> has placed TORCH at X= -51, Y= 68, Z= -295
[2023-08-24 10:35:01] [world] The Player <Enderlava> has placed CLAY at X= 34, Y= 71, Z= -263
