[2023-07-07 08:47:25] [world] The Player <wqe123420> has emptied WATER BUCKET at X= -46, Y= 74, Z= -182
[2023-07-07 08:51:52] [world_nether] The Player <wqe123420> has emptied WATER BUCKET at X= 6, Y= 129, Z= -21
[2023-07-07 09:22:42] [world] The Player <wqe123420> has emptied WATER BUCKET at X= -28, Y= 21, Z= -222
[2023-07-07 09:22:53] [world] The Player <wqe123420> has emptied WATER BUCKET at X= -41, Y= -9, Z= -248
[2023-07-07 09:23:00] [world] The Player <wqe123420> has emptied WATER BUCKET at X= -41, Y= -19, Z= -248
[2023-07-07 09:23:03] [world] The Player <wqe123420> has emptied WATER BUCKET at X= -41, Y= -21, Z= -248
[2023-07-07 10:07:57] [world_the_end] The Player <wqe123420> has emptied WATER BUCKET at X= 162, Y= 1, Z= 6
[2023-07-07 10:07:58] [world_the_end] The Player <wqe123420> has emptied WATER BUCKET at X= 162, Y= 1, Z= 6
[2023-07-07 10:07:59] [world_the_end] The Player <wqe123420> has emptied WATER BUCKET at X= 162, Y= 1, Z= 6
[2023-07-07 10:07:59] [world_the_end] The Player <wqe123420> has emptied WATER BUCKET at X= 162, Y= 1, Z= 6
[2023-07-07 10:08:00] [world_the_end] The Player <wqe123420> has emptied WATER BUCKET at X= 162, Y= 1, Z= 6
[2023-07-07 10:08:01] [world_the_end] The Player <wqe123420> has emptied WATER BUCKET at X= 162, Y= 1, Z= 6
[2023-07-07 10:08:01] [world_the_end] The Player <wqe123420> has emptied WATER BUCKET at X= 162, Y= 1, Z= 6
[2023-07-07 10:08:02] [world_the_end] The Player <wqe123420> has emptied WATER BUCKET at X= 162, Y= 1, Z= 6
[2023-07-07 10:08:03] [world_the_end] The Player <wqe123420> has emptied WATER BUCKET at X= 162, Y= 1, Z= 6
[2023-07-07 10:08:03] [world_the_end] The Player <wqe123420> has emptied WATER BUCKET at X= 162, Y= 1, Z= 6
[2023-07-07 10:08:03] [world_the_end] The Player <wqe123420> has emptied WATER BUCKET at X= 163, Y= 1, Z= 6
[2023-07-07 10:08:37] [world_the_end] The Player <wqe123420> has emptied WATER BUCKET at X= 190, Y= 2, Z= 6
[2023-07-07 10:08:37] [world_the_end] The Player <wqe123420> has emptied WATER BUCKET at X= 191, Y= 1, Z= 6
[2023-07-07 10:08:42] [world_the_end] The Player <wqe123420> has emptied WATER BUCKET at X= 194, Y= 1, Z= 6
[2023-07-07 10:58:27] [world] The Player <wqe123420> has emptied WATER BUCKET at X= -49, Y= 75, Z= -221
[2023-07-07 10:58:56] [world] The Player <wqe123420> has emptied WATER BUCKET at X= -41, Y= 75, Z= -223
