[2023-07-10 09:24:40] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -845, Y= 92, Z= -730
[2023-07-10 09:27:10] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -845, Y= 94, Z= -729
[2023-07-10 09:30:53] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -845, Y= 92, Z= -729
[2023-07-10 09:43:27] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -16, Y= 65, Z= -287
[2023-07-10 10:13:27] [world] The Player <wqe123420> has emptied LAVA BUCKET at X= -41, Y= -9, Z= -248
[2023-07-10 10:40:42] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -30, Y= -54, Z= -144
[2023-07-10 10:41:51] [world] The Player <wqe123420> has emptied LAVA BUCKET at X= -29, Y= -56, Z= -164
[2023-07-10 10:43:51] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -28, Y= -55, Z= -142
[2023-07-10 10:43:55] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -28, Y= -55, Z= -138
[2023-07-10 10:43:59] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -31, Y= -55, Z= -143
[2023-07-10 10:44:00] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -31, Y= -55, Z= -143
[2023-07-10 10:44:39] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -34, Y= -55, Z= -121
[2023-07-10 10:44:40] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -34, Y= -55, Z= -121
[2023-07-10 10:44:40] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -34, Y= -55, Z= -121
[2023-07-10 10:44:41] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -34, Y= -55, Z= -121
[2023-07-10 10:44:41] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -34, Y= -55, Z= -121
[2023-07-10 10:44:41] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -34, Y= -55, Z= -121
[2023-07-10 10:44:42] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -34, Y= -55, Z= -121
[2023-07-10 13:09:34] [world] The Player <wqe123420> has emptied LAVA BUCKET at X= -32, Y= -55, Z= -246
[2023-07-10 13:09:36] [world] The Player <wqe123420> has emptied LAVA BUCKET at X= -31, Y= -54, Z= -248
[2023-07-10 13:09:37] [world] The Player <wqe123420> has emptied LAVA BUCKET at X= -31, Y= -55, Z= -248
[2023-07-10 13:09:37] [world] The Player <wqe123420> has emptied LAVA BUCKET at X= -31, Y= -56, Z= -248
[2023-07-10 13:09:38] [world] The Player <wqe123420> has emptied LAVA BUCKET at X= -31, Y= -56, Z= -248
