[2023-07-11 10:54:51] [world_nether] The Player <Enderlava> has emptied WATER BUCKET at X= -15, Y= 134, Z= -16
[2023-07-11 11:19:43] [world] The Player <Funget114514> has emptied WATER BUCKET at X= -8, Y= 63, Z= -293
[2023-07-11 11:19:44] [world] The Player <Funget114514> has emptied WATER BUCKET at X= -8, Y= 63, Z= -293
[2023-07-11 11:25:56] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 7, Y= 73, Z= -317
[2023-07-11 11:25:57] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 7, Y= 73, Z= -317
[2023-07-11 11:25:58] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 7, Y= 73, Z= -317
[2023-07-11 11:25:58] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 7, Y= 74, Z= -317
[2023-07-11 11:25:58] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 7, Y= 74, Z= -317
[2023-07-11 11:25:58] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 7, Y= 74, Z= -317
[2023-07-11 11:25:59] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 7, Y= 74, Z= -317
[2023-07-11 11:25:59] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 7, Y= 75, Z= -317
[2023-07-11 11:25:59] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 7, Y= 75, Z= -317
[2023-07-11 11:25:59] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 7, Y= 75, Z= -317
[2023-07-11 11:25:59] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 7, Y= 75, Z= -317
[2023-07-11 11:26:00] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 7, Y= 75, Z= -317
[2023-07-11 11:26:00] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 7, Y= 75, Z= -317
[2023-07-11 11:26:00] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 7, Y= 76, Z= -317
[2023-07-11 11:26:00] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 7, Y= 76, Z= -317
[2023-07-11 11:26:00] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 7, Y= 76, Z= -317
[2023-07-11 11:26:01] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 7, Y= 76, Z= -317
[2023-07-11 11:26:01] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 7, Y= 76, Z= -317
[2023-07-11 11:26:01] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 7, Y= 76, Z= -317
[2023-07-11 11:26:01] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 7, Y= 77, Z= -317
[2023-07-11 11:26:01] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 7, Y= 77, Z= -317
[2023-07-11 11:26:02] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 7, Y= 77, Z= -317
[2023-07-11 11:26:02] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 7, Y= 77, Z= -317
[2023-07-11 11:26:02] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 7, Y= 77, Z= -317
[2023-07-11 11:26:02] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 7, Y= 78, Z= -317
[2023-07-11 11:26:17] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 5, Y= 73, Z= -319
[2023-07-11 11:26:17] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 5, Y= 75, Z= -319
[2023-07-11 11:26:17] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 5, Y= 76, Z= -319
[2023-07-11 11:26:18] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 5, Y= 75, Z= -319
[2023-07-11 11:26:18] [world] The Player <Enderlava> has emptied LAVA BUCKET at X= 5, Y= 73, Z= -319
