[2023-07-18 17:37:07] [world] The Player <Funget114514> has emptied WATER BUCKET at X= -10, Y= 70, Z= -250
[2023-07-18 17:38:08] [world] The Player <Funget114514> has emptied WATER BUCKET at X= -12, Y= 69, Z= -255
[2023-07-18 17:38:13] [world] The Player <Funget114514> has emptied WATER BUCKET at X= -11, Y= 69, Z= -254
[2023-07-18 17:38:15] [world] The Player <Funget114514> has emptied WATER BUCKET at X= -11, Y= 69, Z= -254
[2023-07-18 17:38:16] [world] The Player <Funget114514> has emptied WATER BUCKET at X= -11, Y= 69, Z= -254
[2023-07-18 17:38:19] [world] The Player <Funget114514> has emptied WATER BUCKET at X= -9, Y= 69, Z= -252
[2023-07-18 17:38:23] [world] The Player <Funget114514> has emptied WATER BUCKET at X= -18, Y= 71, Z= -250
[2023-07-18 17:38:31] [world] The Player <Funget114514> has emptied WATER BUCKET at X= -18, Y= 70, Z= -241
[2023-07-18 17:38:46] [world] The Player <Funget114514> has emptied WATER BUCKET at X= -9, Y= 70, Z= -239
[2023-07-18 19:06:28] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -17, Y= 116, Z= -246
[2023-07-18 19:42:48] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -14, Y= 65, Z= -245
[2023-07-18 20:09:15] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -8, Y= 65, Z= -245
[2023-07-18 20:09:45] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -9, Y= 65, Z= -245
[2023-07-18 20:10:07] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -9, Y= 65, Z= -245
[2023-07-18 20:10:29] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -8, Y= 65, Z= -245
[2023-07-18 20:10:38] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -8, Y= 66, Z= -245
[2023-07-18 20:10:46] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -8, Y= 66, Z= -245
[2023-07-18 20:10:55] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -8, Y= 67, Z= -245
[2023-07-18 20:11:16] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -8, Y= 68, Z= -245
[2023-07-18 20:11:22] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -8, Y= 68, Z= -245
[2023-07-18 20:11:36] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -8, Y= 69, Z= -245
[2023-07-18 20:11:56] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -8, Y= 68, Z= -245
[2023-07-18 20:11:59] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -8, Y= 69, Z= -245
[2023-07-18 20:12:03] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -8, Y= 68, Z= -245
[2023-07-18 20:12:08] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -8, Y= 69, Z= -245
[2023-07-18 20:12:18] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -8, Y= 70, Z= -245
[2023-07-18 20:12:23] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -8, Y= 70, Z= -245
[2023-07-18 20:12:32] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -10, Y= 65, Z= -245
[2023-07-18 20:12:41] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -8, Y= 67, Z= -245
[2023-07-18 20:12:48] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -8, Y= 68, Z= -245
[2023-07-18 20:12:51] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -8, Y= 69, Z= -245
[2023-07-18 20:15:54] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -10, Y= 70, Z= -239
[2023-07-18 20:15:59] [world] The Player <Enderlava> has emptied WATER BUCKET at X= -9, Y= 70, Z= -239
