[2023-07-07 08:31:51] [world] The Player <wqe123420> has collected WATER BUCKET at X= 61, Y= 62, Z= -341
[2023-07-07 08:47:26] [world] The Player <wqe123420> has collected WATER BUCKET at X= -46, Y= 71, Z= -182
[2023-07-07 08:51:58] [world] The Player <wqe123420> has collected WATER BUCKET at X= -5, Y= 62, Z= -294
[2023-07-07 09:22:44] [world] The Player <wqe123420> has collected WATER BUCKET at X= -28, Y= 19, Z= -221
[2023-07-07 09:22:58] [world] The Player <wqe123420> has collected WATER BUCKET at X= -41, Y= -9, Z= -248
[2023-07-07 09:23:03] [world] The Player <wqe123420> has collected WATER BUCKET at X= -41, Y= -17, Z= -248
[2023-07-07 09:23:05] [world] The Player <wqe123420> has collected WATER BUCKET at X= -41, Y= -16, Z= -248
[2023-07-07 10:07:58] [world_the_end] The Player <wqe123420> has collected WATER BUCKET at X= 164, Y= 0, Z= 6
[2023-07-07 10:07:59] [world_the_end] The Player <wqe123420> has collected WATER BUCKET at X= 164, Y= 0, Z= 6
[2023-07-07 10:07:59] [world_the_end] The Player <wqe123420> has collected WATER BUCKET at X= 164, Y= 0, Z= 6
[2023-07-07 10:08:00] [world_the_end] The Player <wqe123420> has collected WATER BUCKET at X= 164, Y= 0, Z= 6
[2023-07-07 10:08:01] [world_the_end] The Player <wqe123420> has collected WATER BUCKET at X= 164, Y= 0, Z= 6
[2023-07-07 10:08:01] [world_the_end] The Player <wqe123420> has collected WATER BUCKET at X= 164, Y= 0, Z= 6
[2023-07-07 10:08:02] [world_the_end] The Player <wqe123420> has collected WATER BUCKET at X= 164, Y= 0, Z= 6
[2023-07-07 10:08:02] [world_the_end] The Player <wqe123420> has collected WATER BUCKET at X= 164, Y= 0, Z= 6
[2023-07-07 10:08:03] [world_the_end] The Player <wqe123420> has collected WATER BUCKET at X= 164, Y= 0, Z= 6
[2023-07-07 10:08:03] [world_the_end] The Player <wqe123420> has collected WATER BUCKET at X= 164, Y= 0, Z= 6
[2023-07-07 10:08:04] [world_the_end] The Player <wqe123420> has collected WATER BUCKET at X= 164, Y= 0, Z= 6
[2023-07-07 10:08:37] [world_the_end] The Player <wqe123420> has collected WATER BUCKET at X= 191, Y= 0, Z= 6
[2023-07-07 10:08:42] [world_the_end] The Player <wqe123420> has collected WATER BUCKET at X= 192, Y= 0, Z= 6
[2023-07-07 10:08:43] [world_the_end] The Player <wqe123420> has collected WATER BUCKET at X= 192, Y= 0, Z= 6
[2023-07-07 10:58:31] [world] The Player <wqe123420> has collected WATER BUCKET at X= -49, Y= 75, Z= -221
