[2023-07-10 09:43:28] [world] The Player <Enderlava> has collected WATER BUCKET at X= -17, Y= 64, Z= -288
[2023-07-10 10:14:22] [world] The Player <wqe123420> has collected LAVA BUCKET at X= -41, Y= -8, Z= -248
[2023-07-10 10:40:44] [world] The Player <Enderlava> has collected WATER BUCKET at X= -30, Y= -54, Z= -142
[2023-07-10 10:41:43] [world] The Player <wqe123420> has collected LAVA BUCKET at X= -25, Y= -55, Z= -138
[2023-07-10 10:43:52] [world] The Player <Enderlava> has collected WATER BUCKET at X= -26, Y= -54, Z= -141
[2023-07-10 10:43:56] [world] The Player <Enderlava> has collected WATER BUCKET at X= -24, Y= -54, Z= -138
[2023-07-10 10:43:59] [world] The Player <Enderlava> has collected WATER BUCKET at X= -34, Y= -55, Z= -141
[2023-07-10 10:44:01] [world] The Player <Enderlava> has collected WATER BUCKET at X= -34, Y= -55, Z= -141
[2023-07-10 10:44:40] [world] The Player <Enderlava> has collected WATER BUCKET at X= -34, Y= -54, Z= -121
[2023-07-10 10:44:40] [world] The Player <Enderlava> has collected WATER BUCKET at X= -34, Y= -54, Z= -121
[2023-07-10 10:44:40] [world] The Player <Enderlava> has collected WATER BUCKET at X= -34, Y= -54, Z= -121
[2023-07-10 10:44:41] [world] The Player <Enderlava> has collected WATER BUCKET at X= -34, Y= -54, Z= -121
[2023-07-10 10:44:41] [world] The Player <Enderlava> has collected WATER BUCKET at X= -34, Y= -54, Z= -121
[2023-07-10 10:44:42] [world] The Player <Enderlava> has collected WATER BUCKET at X= -34, Y= -54, Z= -121
[2023-07-10 10:44:42] [world] The Player <Enderlava> has collected WATER BUCKET at X= -34, Y= -54, Z= -121
[2023-07-10 13:09:36] [world] The Player <wqe123420> has collected LAVA BUCKET at X= -31, Y= -56, Z= -247
[2023-07-10 13:09:37] [world] The Player <wqe123420> has collected LAVA BUCKET at X= -30, Y= -55, Z= -247
[2023-07-10 13:09:37] [world] The Player <wqe123420> has collected LAVA BUCKET at X= -30, Y= -55, Z= -247
[2023-07-10 13:09:38] [world] The Player <wqe123420> has collected LAVA BUCKET at X= -31, Y= -56, Z= -248
