[2023-07-11 11:19:04] [world] The Player <Funget114514> has collected MILK BUCKET at X= -41, Y= 71, Z= -272
[2023-07-11 11:19:40] [world] The Player <Funget114514> has collected WATER BUCKET at X= -7, Y= 62, Z= -293
[2023-07-11 11:19:43] [world] The Player <Funget114514> has collected WATER BUCKET at X= -6, Y= 62, Z= -294
[2023-07-11 11:19:45] [world] The Player <Funget114514> has collected WATER BUCKET at X= -6, Y= 62, Z= -293
[2023-07-11 12:01:46] [world] The Player <Funget114514> has collected WATER BUCKET at X= 9, Y= 65, Z= -320
[2023-07-11 12:02:07] [world] The Player <Funget114514> has collected WATER BUCKET at X= 14, Y= 54, Z= -313
[2023-07-11 12:02:16] [world] The Player <Funget114514> has collected WATER BUCKET at X= 14, Y= 52, Z= -312
[2023-07-11 12:02:34] [world] The Player <Funget114514> has collected WATER BUCKET at X= 13, Y= 62, Z= -306
[2023-07-11 12:02:35] [world] The Player <Funget114514> has collected WATER BUCKET at X= 13, Y= 62, Z= -306
[2023-07-11 12:02:35] [world] The Player <Funget114514> has collected WATER BUCKET at X= 13, Y= 60, Z= -306
[2023-07-11 12:02:36] [world] The Player <Funget114514> has collected WATER BUCKET at X= 13, Y= 61, Z= -306
[2023-07-11 12:02:36] [world] The Player <Funget114514> has collected WATER BUCKET at X= 13, Y= 61, Z= -306
[2023-07-11 12:02:36] [world] The Player <Funget114514> has collected WATER BUCKET at X= 13, Y= 61, Z= -306
[2023-07-11 12:02:37] [world] The Player <Funget114514> has collected WATER BUCKET at X= 13, Y= 62, Z= -306
[2023-07-11 12:02:37] [world] The Player <Funget114514> has collected WATER BUCKET at X= 13, Y= 62, Z= -306
[2023-07-11 12:02:38] [world] The Player <Funget114514> has collected WATER BUCKET at X= 13, Y= 62, Z= -304
[2023-07-11 12:02:56] [world] The Player <Funget114514> has collected WATER BUCKET at X= 38, Y= 61, Z= -272
[2023-07-11 12:03:07] [world] The Player <Funget114514> has collected WATER BUCKET at X= 38, Y= 62, Z= -271
[2023-07-11 12:06:44] [world] The Player <Enderlava> has collected WATER BUCKET at X= 4, Y= 63, Z= -286
[2023-07-11 12:06:47] [world] The Player <Enderlava> has collected WATER BUCKET at X= 1, Y= 63, Z= -284
[2023-07-11 12:06:48] [world] The Player <Enderlava> has collected WATER BUCKET at X= 1, Y= 63, Z= -284
[2023-07-11 12:25:40] [world] The Player <Enderlava> has collected WATER BUCKET at X= 9, Y= 65, Z= -320
[2023-07-11 12:26:13] [world] The Player <Enderlava> has collected WATER BUCKET at X= 9, Y= 66, Z= -320
[2023-07-11 20:24:00] [world] The Player <Funget114514> has collected LAVA BUCKET at X= -15, Y= 63, Z= -281
[2023-07-11 20:24:06] [world] The Player <Funget114514> has collected LAVA BUCKET at X= -15, Y= 63, Z= -281
[2023-07-11 20:28:19] [world] The Player <Funget114514> has collected LAVA BUCKET at X= -25, Y= 65, Z= -283
[2023-07-11 20:29:45] [world] The Player <Funget114514> has collected LAVA BUCKET at X= -25, Y= 64, Z= -283
[2023-07-11 20:29:49] [world] The Player <Funget114514> has collected LAVA BUCKET at X= -25, Y= 64, Z= -283
[2023-07-11 20:30:24] [world] The Player <Funget114514> has collected LAVA BUCKET at X= -25, Y= 62, Z= -286
[2023-07-11 20:30:26] [world] The Player <Funget114514> has collected LAVA BUCKET at X= -26, Y= 63, Z= -286
[2023-07-11 20:30:41] [world] The Player <Funget114514> has collected LAVA BUCKET at X= -26, Y= 63, Z= -287
[2023-07-11 20:30:43] [world] The Player <Funget114514> has collected LAVA BUCKET at X= -27, Y= 63, Z= -287
[2023-07-11 20:31:16] [world] The Player <Funget114514> has collected LAVA BUCKET at X= -24, Y= 66, Z= -289
