[2023-07-18 17:36:48] [world] The Player <Funget114514> has collected WATER BUCKET at X= -11, Y= 62, Z= -297
[2023-07-18 17:37:31] [world] The Player <Funget114514> has collected WATER BUCKET at X= -10, Y= 62, Z= -297
[2023-07-18 17:38:11] [world] The Player <Funget114514> has collected WATER BUCKET at X= -9, Y= 70, Z= -250
[2023-07-18 17:38:14] [world] The Player <Funget114514> has collected WATER BUCKET at X= -12, Y= 69, Z= -256
[2023-07-18 17:38:16] [world] The Player <Funget114514> has collected WATER BUCKET at X= -12, Y= 69, Z= -256
[2023-07-18 17:38:17] [world] The Player <Funget114514> has collected WATER BUCKET at X= -12, Y= 69, Z= -255
[2023-07-18 17:38:21] [world] The Player <Funget114514> has collected WATER BUCKET at X= -11, Y= 69, Z= -255
[2023-07-18 17:38:26] [world] The Player <Funget114514> has collected WATER BUCKET at X= -11, Y= 69, Z= -255
[2023-07-18 17:38:37] [world] The Player <Funget114514> has collected WATER BUCKET at X= -12, Y= 69, Z= -255
[2023-07-18 19:42:34] [world] The Player <Enderlava> has collected WATER BUCKET at X= -29, Y= 62, Z= -315
[2023-07-18 20:09:35] [world] The Player <Enderlava> has collected WATER BUCKET at X= -32, Y= 62, Z= -305
[2023-07-18 20:10:06] [world] The Player <Enderlava> has collected WATER BUCKET at X= -8, Y= 65, Z= -245
[2023-07-18 20:10:27] [world] The Player <Enderlava> has collected WATER BUCKET at X= -8, Y= 67, Z= -245
[2023-07-18 20:10:34] [world] The Player <Enderlava> has collected WATER BUCKET at X= -8, Y= 65, Z= -245
[2023-07-18 20:11:58] [world] The Player <Enderlava> has collected WATER BUCKET at X= -8, Y= 70, Z= -245
[2023-07-18 20:12:01] [world] The Player <Enderlava> has collected WATER BUCKET at X= -8, Y= 69, Z= -245
[2023-07-18 20:12:04] [world] The Player <Enderlava> has collected WATER BUCKET at X= -8, Y= 70, Z= -245
[2023-07-18 20:12:10] [world] The Player <Enderlava> has collected WATER BUCKET at X= -8, Y= 69, Z= -245
[2023-07-18 20:12:20] [world] The Player <Enderlava> has collected WATER BUCKET at X= -8, Y= 70, Z= -245
[2023-07-18 20:12:30] [world] The Player <Enderlava> has collected WATER BUCKET at X= -8, Y= 68, Z= -245
[2023-07-18 20:12:48] [world] The Player <Enderlava> has collected WATER BUCKET at X= -8, Y= 69, Z= -245
[2023-07-18 20:15:54] [world] The Player <Enderlava> has collected WATER BUCKET at X= -9, Y= 70, Z= -240
