[2023-07-06 17:40:04] [world] The Player <Funget114514> has crafted 1 of NETHERITE INGOT at X= -26, Y= 63, Z= -287
[2023-07-06 18:20:09] [world] The Player <wqe123420> has crafted 1 of SLIME BLOCK at X= -27, Y= 63, Z= -286
[2023-07-06 18:22:53] [world] The Player <wqe123420> has crafted 3 of PAPER at X= 9, Y= 62, Z= -265
[2023-07-06 18:22:55] [world] The Player <wqe123420> has crafted 3 of FIREWORK ROCKET at X= 9, Y= 62, Z= -265
[2023-07-06 18:31:56] [world] The Player <Funget114514> has crafted 3 of PAPER at X= -26, Y= 63, Z= -288
[2023-07-06 18:32:09] [world] The Player <Funget114514> has crafted 3 of FIREWORK ROCKET at X= -26, Y= 63, Z= -288
[2023-07-06 18:33:17] [world] The Player <Funget114514> has crafted 1 of BUCKET at X= -25, Y= 63, Z= -287
[2023-07-06 18:48:47] [world] The Player <Funget114514> has crafted 1 of STONE SWORD at X= -26, Y= 63, Z= -287
[2023-07-06 20:10:31] [world] The Player <wqe123420> has crafted 9 of IRON INGOT at X= -27, Y= 63, Z= -286
[2023-07-06 20:10:31] [world] The Player <wqe123420> has crafted 9 of IRON INGOT at X= -27, Y= 63, Z= -286
[2023-07-06 20:10:39] [world] The Player <wqe123420> has crafted 1 of BUCKET at X= -27, Y= 63, Z= -286
[2023-07-06 20:13:19] [world] The Player <wqe123420> has crafted 4 of OAK PLANKS at X= -27, Y= 63, Z= -286
[2023-07-06 20:13:27] [world] The Player <wqe123420> has crafted 4 of STICK at X= -27, Y= 63, Z= -286
[2023-07-06 20:13:28] [world] The Player <wqe123420> has crafted 4 of STICK at X= -27, Y= 63, Z= -286
[2023-07-06 20:13:28] [world] The Player <wqe123420> has crafted 4 of STICK at X= -27, Y= 63, Z= -286
[2023-07-06 20:13:28] [world] The Player <wqe123420> has crafted 4 of STICK at X= -27, Y= 63, Z= -286
[2023-07-06 20:13:28] [world] The Player <wqe123420> has crafted 4 of STICK at X= -27, Y= 63, Z= -286
[2023-07-06 20:13:28] [world] The Player <wqe123420> has crafted 4 of STICK at X= -27, Y= 63, Z= -286
[2023-07-06 20:13:28] [world] The Player <wqe123420> has crafted 4 of STICK at X= -27, Y= 63, Z= -286
[2023-07-06 20:13:29] [world] The Player <wqe123420> has crafted 4 of STICK at X= -27, Y= 63, Z= -286
[2023-07-06 20:13:42] [world] The Player <wqe123420> has crafted 3 of OAK FENCE at X= -27, Y= 63, Z= -286
[2023-07-06 20:14:11] [world] The Player <wqe123420> has crafted 4 of STICK at X= -27, Y= 63, Z= -286
[2023-07-06 20:14:19] [world] The Player <wqe123420> has crafted 4 of OAK PLANKS at X= -27, Y= 63, Z= -286
[2023-07-06 20:14:24] [world] The Player <wqe123420> has crafted 3 of OAK SIGN at X= -27, Y= 63, Z= -286
[2023-07-06 20:14:24] [world] The Player <wqe123420> has crafted 3 of OAK SIGN at X= -27, Y= 63, Z= -286
[2023-07-06 20:14:25] [world] The Player <wqe123420> has crafted 3 of OAK SIGN at X= -27, Y= 63, Z= -286
[2023-07-06 20:14:25] [world] The Player <wqe123420> has crafted 3 of OAK SIGN at X= -27, Y= 63, Z= -286
[2023-07-06 20:14:25] [world] The Player <wqe123420> has crafted 3 of OAK SIGN at X= -27, Y= 63, Z= -286
[2023-07-06 20:14:25] [world] The Player <wqe123420> has crafted 3 of OAK SIGN at X= -27, Y= 63, Z= -286
