[2023-07-07 08:26:13] [world] The Player <Funget114514> has crafted 4 of STICK at X= -28, Y= 63, Z= -288
[2023-07-07 08:26:18] [world] The Player <Funget114514> has crafted 1 of DIAMOND SWORD at X= -28, Y= 63, Z= -288
[2023-07-07 08:30:08] [world] The Player <wqe123420> has crafted 3 of PAPER at X= 10, Y= 62, Z= -264
[2023-07-07 08:30:12] [world] The Player <wqe123420> has crafted 3 of FIREWORK ROCKET at X= 10, Y= 62, Z= -264
[2023-07-07 08:49:10] [world] The Player <wqe123420> has crafted 1 of SLIME BLOCK at X= -26, Y= 63, Z= -287
[2023-07-07 08:55:11] [world] The Player <wqe123420> has crafted 1 of PISTON at X= -26, Y= 63, Z= -286
[2023-07-07 08:55:11] [world] The Player <wqe123420> has crafted 1 of PISTON at X= -26, Y= 63, Z= -286
[2023-07-07 08:55:11] [world] The Player <wqe123420> has crafted 1 of PISTON at X= -26, Y= 63, Z= -286
[2023-07-07 08:55:11] [world] The Player <wqe123420> has crafted 1 of PISTON at X= -26, Y= 63, Z= -286
[2023-07-07 08:55:11] [world] The Player <wqe123420> has crafted 1 of PISTON at X= -26, Y= 63, Z= -286
[2023-07-07 08:55:16] [world] The Player <wqe123420> has crafted 1 of PISTON at X= -26, Y= 63, Z= -286
[2023-07-07 08:55:22] [world] The Player <wqe123420> has crafted 1 of STICKY PISTON at X= -26, Y= 63, Z= -286
[2023-07-07 08:55:23] [world] The Player <wqe123420> has crafted 1 of STICKY PISTON at X= -26, Y= 63, Z= -286
[2023-07-07 08:55:23] [world] The Player <wqe123420> has crafted 1 of STICKY PISTON at X= -26, Y= 63, Z= -286
[2023-07-07 08:55:44] [world] The Player <wqe123420> has crafted 9 of IRON INGOT at X= -26, Y= 63, Z= -288
[2023-07-07 08:55:44] [world] The Player <wqe123420> has crafted 9 of IRON INGOT at X= -26, Y= 63, Z= -288
[2023-07-07 08:55:49] [world] The Player <wqe123420> has crafted 1 of MINECART at X= -26, Y= 63, Z= -288
[2023-07-07 08:56:00] [world] The Player <wqe123420> has crafted 4 of OAK PLANKS at X= -26, Y= 63, Z= -287
[2023-07-07 08:56:01] [world] The Player <wqe123420> has crafted 4 of OAK PLANKS at X= -26, Y= 63, Z= -287
[2023-07-07 08:56:01] [world] The Player <wqe123420> has crafted 4 of OAK PLANKS at X= -26, Y= 63, Z= -287
[2023-07-07 08:56:01] [world] The Player <wqe123420> has crafted 4 of OAK PLANKS at X= -26, Y= 63, Z= -287
[2023-07-07 08:56:03] [world] The Player <wqe123420> has crafted 1 of CHEST at X= -26, Y= 63, Z= -287
[2023-07-07 08:56:34] [world] The Player <wqe123420> has crafted 1 of HOPPER at X= -28, Y= 63, Z= -286
[2023-07-07 08:56:34] [world] The Player <wqe123420> has crafted 1 of HOPPER at X= -28, Y= 63, Z= -286
[2023-07-07 08:56:38] [world] The Player <wqe123420> has crafted 1 of HOPPER MINECART at X= -28, Y= 63, Z= -286
[2023-07-07 08:57:01] [world] The Player <wqe123420> has crafted 1 of NOTE BLOCK at X= -26, Y= 63, Z= -286
[2023-07-07 09:04:52] [world] The Player <wqe123420> has crafted 1 of CRAFTING TABLE at X= -29, Y= -55, Z= -248
[2023-07-07 09:04:57] [world] The Player <wqe123420> has crafted 6 of COBBLESTONE SLAB at X= -30, Y= -55, Z= -245
[2023-07-07 09:05:39] [world] The Player <wqe123420> has crafted 6 of COBBLESTONE WALL at X= -30, Y= -55, Z= -244
[2023-07-07 09:12:27] [world] The Player <wqe123420> has crafted 1 of REDSTONE BLOCK at X= -29, Y= -55, Z= -243
