[2023-07-10 09:54:23] [world] The Player <wqe123420> has crafted 6 of COBBLESTONE SLAB at X= -27, Y= 63, Z= -286
[2023-07-10 10:01:39] [world] The Player <wqe123420> has crafted 1 of STONE PRESSURE PLATE at X= -27, Y= 63, Z= -286
[2023-07-10 10:01:43] [world] The Player <wqe123420> has crafted 9 of IRON INGOT at X= -27, Y= 63, Z= -286
[2023-07-10 10:01:54] [world] The Player <wqe123420> has crafted 6 of DETECTOR RAIL at X= -27, Y= 63, Z= -286
[2023-07-10 10:04:15] [world] The Player <wqe123420> has crafted 1 of STONE BUTTON at X= -29, Y= -53, Z= -243
[2023-07-10 10:04:24] [world] The Player <wqe123420> has crafted 1 of STONE PRESSURE PLATE at X= -28, Y= -53, Z= -243
[2023-07-10 10:07:12] [world] The Player <wqe123420> has crafted 4 of OAK PLANKS at X= -28, Y= 63, Z= -286
[2023-07-10 10:07:12] [world] The Player <wqe123420> has crafted 4 of OAK PLANKS at X= -28, Y= 63, Z= -286
[2023-07-10 10:07:12] [world] The Player <wqe123420> has crafted 4 of OAK PLANKS at X= -28, Y= 63, Z= -286
[2023-07-10 10:07:13] [world] The Player <wqe123420> has crafted 4 of OAK PLANKS at X= -28, Y= 63, Z= -286
[2023-07-10 10:08:31] [world] The Player <wqe123420> has crafted 9 of REDSTONE at X= -27, Y= 63, Z= -286
[2023-07-10 10:08:41] [world] The Player <wqe123420> has crafted 1 of PISTON at X= -27, Y= 63, Z= -286
[2023-07-10 10:08:54] [world] The Player <wqe123420> has crafted 4 of STICK at X= -28, Y= 63, Z= -286
[2023-07-10 10:08:59] [world] The Player <wqe123420> has crafted 1 of LEVER at X= -28, Y= 63, Z= -286
[2023-07-10 13:23:50] [world] The Player <wqe123420> has crafted 3 of PAPER at X= 11, Y= 62, Z= -263
[2023-07-10 13:23:52] [world] The Player <wqe123420> has crafted 3 of FIREWORK ROCKET at X= 11, Y= 62, Z= -263
[2023-07-10 15:00:37] [world] The Player <wqe123420> has crafted 4 of SPRUCE PLANKS at X= -3178, Y= 85, Z= 4810
[2023-07-10 15:01:23] [world_nether] The Player <wqe123420> has crafted 1 of SPRUCE BOAT at X= -406, Y= 128, Z= 526
[2023-07-10 15:07:10] [world] The Player <wqe123420> has crafted 3 of PAPER at X= 9, Y= 62, Z= -264
[2023-07-10 15:07:12] [world] The Player <wqe123420> has crafted 3 of PAPER at X= 9, Y= 62, Z= -264
[2023-07-10 15:07:17] [world] The Player <wqe123420> has crafted 3 of FIREWORK ROCKET at X= 9, Y= 62, Z= -264
[2023-07-10 20:55:42] [world] The Player <wqe123420> has crafted 4 of STICK at X= -26, Y= 75, Z= -285
