[2023-07-11 08:58:18] [world] The Player <Enderlava> has crafted 3 of PAPER at X= -17, Y= 63, Z= -286
[2023-07-11 09:04:15] [world] The Player <Enderlava> has crafted 3 of FIREWORK ROCKET at X= 3, Y= 113, Z= 20
[2023-07-11 09:53:28] [world] The Player <Funget114514> has crafted 1 of DIAMOND SWORD at X= -27, Y= 63, Z= -286
[2023-07-11 11:18:32] [world] The Player <Funget114514> has crafted 1 of BUCKET at X= -27, Y= 63, Z= -287
[2023-07-11 11:24:59] [world] The Player <Funget114514> has crafted 9 of IRON INGOT at X= -23, Y= 63, Z= -286
[2023-07-11 11:25:18] [world] The Player <Funget114514> has crafted 1 of IRON CHESTPLATE at X= -27, Y= 63, Z= -286
[2023-07-11 11:25:30] [world] The Player <Funget114514> has crafted 1 of IRON LEGGINGS at X= -27, Y= 63, Z= -286
[2023-07-11 11:26:59] [world] The Player <Funget114514> has crafted 9 of IRON INGOT at X= -27, Y= 63, Z= -286
[2023-07-11 11:27:04] [world] The Player <Funget114514> has crafted 1 of IRON HELMET at X= -27, Y= 63, Z= -286
[2023-07-11 11:27:08] [world] The Player <Funget114514> has crafted 1 of IRON BOOTS at X= -27, Y= 63, Z= -286
[2023-07-11 11:27:48] [world] The Player <Funget114514> has crafted 4 of STICK at X= -28, Y= 63, Z= -287
[2023-07-11 11:27:55] [world] The Player <Funget114514> has crafted 1 of IRON AXE at X= -28, Y= 63, Z= -287
[2023-07-11 11:49:40] [world] The Player <Funget114514> has crafted 1 of FLINT AND STEEL at X= -27, Y= 63, Z= -288
[2023-07-11 16:53:27] [world] The Player <Funget114514> has crafted 4 of STICK at X= -27, Y= 63, Z= -287
[2023-07-11 16:54:01] [world] The Player <Funget114514> has crafted 1 of DIAMOND SWORD at X= -27, Y= 63, Z= -288
[2023-07-11 17:03:42] [world] The Player <Funget114514> has crafted 4 of STICK at X= -26, Y= 63, Z= -287
[2023-07-11 17:04:57] [world] The Player <Funget114514> has crafted 9 of IRON INGOT at X= -27, Y= 63, Z= -287
[2023-07-11 17:05:20] [world] The Player <Funget114514> has crafted 2 of TRIPWIRE HOOK at X= -27, Y= 63, Z= -287
[2023-07-11 17:05:34] [world] The Player <Funget114514> has crafted 1 of CROSSBOW at X= -27, Y= 63, Z= -287
[2023-07-11 17:21:44] [world] The Player <Funget114514> has crafted 1 of SPRUCE CHEST BOAT at X= -22, Y= 66, Z= -283
[2023-07-11 19:59:50] [world] The Player <Funget114514> has crafted 9 of IRON INGOT at X= 12, Y= 62, Z= -262
[2023-07-11 19:59:56] [world] The Player <Funget114514> has crafted 1 of IRON LEGGINGS at X= 12, Y= 62, Z= -262
[2023-07-11 20:00:00] [world] The Player <Funget114514> has crafted 1 of IRON SWORD at X= 12, Y= 62, Z= -262
[2023-07-11 20:33:41] [world] The Player <Funget114514> has crafted 1 of DIAMOND BLOCK at X= -27, Y= 63, Z= -287
[2023-07-11 20:34:14] [world] The Player <Funget114514> has crafted 1 of LAPIS BLOCK at X= -27, Y= 63, Z= -288
[2023-07-11 20:34:41] [world] The Player <Funget114514> has crafted 1 of IRON BLOCK at X= -28, Y= 63, Z= -288
[2023-07-11 20:35:02] [world] The Player <Funget114514> has crafted 1 of GOLD BLOCK at X= -28, Y= 63, Z= -288
[2023-07-11 20:35:06] [world] The Player <Funget114514> has crafted 1 of EMERALD BLOCK at X= -28, Y= 63, Z= -288
[2023-07-11 20:37:47] [world] The Player <Funget114514> has crafted 1 of REDSTONE BLOCK at X= -27, Y= 63, Z= -288
[2023-07-11 20:37:53] [world] The Player <Funget114514> has crafted 1 of REDSTONE BLOCK at X= -27, Y= 63, Z= -288
[2023-07-11 20:38:29] [world] The Player <Funget114514> has crafted 1 of EMERALD BLOCK at X= -27, Y= 63, Z= -288
[2023-07-11 20:38:37] [world] The Player <Funget114514> has crafted 1 of GOLD BLOCK at X= -27, Y= 63, Z= -288
[2023-07-11 20:38:46] [world] The Player <Funget114514> has crafted 1 of IRON BLOCK at X= -27, Y= 63, Z= -288
