[2023-07-18 17:36:39] [world] The Player <Funget114514> has crafted 1 of BUCKET at X= -26, Y= 63, Z= -287
[2023-07-18 17:40:37] [world] The Player <Funget114514> has crafted 3 of PAPER at X= -27, Y= 63, Z= -286
[2023-07-18 17:41:05] [world] The Player <Funget114514> has crafted 3 of FIREWORK ROCKET at X= -27, Y= 63, Z= -286
[2023-07-18 17:41:08] [world] The Player <Funget114514> has crafted 3 of FIREWORK ROCKET at X= -27, Y= 63, Z= -286
[2023-07-18 17:48:55] [world] The Player <Funget114514> has crafted 3 of FIREWORK ROCKET at X= 7, Y= 78, Z= -210
[2023-07-18 17:55:40] [world_nether] The Player <Funget114514> has crafted 1 of CHEST at X= 10, Y= 66, Z= -25
[2023-07-18 17:58:32] [world] The Player <Funget114514> has crafted 3 of FIREWORK ROCKET at X= 7, Y= 78, Z= -211
[2023-07-18 18:12:34] [world] The Player <Funget114514> has crafted 3 of PAPER at X= -27, Y= 63, Z= -287
[2023-07-18 18:12:35] [world] The Player <Funget114514> has crafted 3 of PAPER at X= -27, Y= 63, Z= -287
[2023-07-18 18:16:09] [world] The Player <Funget114514> has crafted 4 of OAK PLANKS at X= 5, Y= 113, Z= 14
[2023-07-18 18:16:13] [world] The Player <Funget114514> has crafted 1 of CRAFTING TABLE at X= 5, Y= 113, Z= 14
[2023-07-18 18:16:43] [world] The Player <Funget114514> has crafted 1 of CHEST at X= 10, Y= 113, Z= 13
[2023-07-18 18:17:12] [world] The Player <Funget114514> has crafted 3 of FIREWORK ROCKET at X= 10, Y= 113, Z= 14
[2023-07-18 18:17:14] [world] The Player <Funget114514> has crafted 3 of FIREWORK ROCKET at X= 10, Y= 113, Z= 14
[2023-07-18 18:17:52] [world] The Player <Funget114514> has crafted 3 of FIREWORK ROCKET at X= 11, Y= 113, Z= 15
[2023-07-18 18:17:54] [world] The Player <Funget114514> has crafted 3 of FIREWORK ROCKET at X= 11, Y= 113, Z= 15
[2023-07-18 18:18:26] [world] The Player <Funget114514> has crafted 3 of FIREWORK ROCKET at X= 10, Y= 113, Z= 15
[2023-07-18 18:18:27] [world] The Player <Funget114514> has crafted 3 of FIREWORK ROCKET at X= 10, Y= 113, Z= 15
[2023-07-18 18:21:39] [world] The Player <Funget114514> has crafted 1 of EMERALD BLOCK at X= -27, Y= 63, Z= -288
[2023-07-18 18:21:47] [world] The Player <Funget114514> has crafted 1 of DIAMOND BLOCK at X= -27, Y= 63, Z= -288
[2023-07-18 18:52:04] [world] The Player <Enderlava> has crafted 4 of COBBLESTONE STAIRS at X= -27, Y= 63, Z= -286
