[2023-07-19 10:55:53] [world] The Player <Funget114514> has crafted 1 of DIAMOND BLOCK at X= -27, Y= 63, Z= -288
[2023-07-19 10:56:06] [world] The Player <Funget114514> has crafted 1 of GOLD INGOT at X= -27, Y= 63, Z= -288
[2023-07-19 10:56:17] [world] The Player <Funget114514> has crafted 1 of GOLD BLOCK at X= -27, Y= 63, Z= -288
[2023-07-19 10:58:24] [world] The Player <Funget114514> has crafted 4 of SPRUCE PLANKS at X= -26, Y= 63, Z= -287
[2023-07-19 10:58:35] [world] The Player <Funget114514> has crafted 4 of SPRUCE PLANKS at X= -24, Y= 65, Z= -284
[2023-07-19 10:58:37] [world] The Player <Funget114514> has crafted 4 of SPRUCE PLANKS at X= -24, Y= 65, Z= -284
[2023-07-19 10:59:59] [world] The Player <Funget114514> has crafted 4 of STICK at X= -27, Y= 63, Z= -287
[2023-07-19 11:00:06] [world] The Player <Funget114514> has crafted 3 of SPRUCE SIGN at X= -27, Y= 63, Z= -287
[2023-07-19 11:14:19] [world] The Player <Enderlava> has crafted 6 of COBBLESTONE SLAB at X= -27, Y= 63, Z= -288
[2023-07-19 11:22:06] [world] The Player <Funget114514> has crafted 9 of DIAMOND at X= 8, Y= 187, Z= 18
[2023-07-19 12:02:22] [world] The Player <Enderlava> has crafted 3 of PAPER at X= -25, Y= 63, Z= -287
[2023-07-19 12:02:30] [world] The Player <Enderlava> has crafted 3 of FIREWORK ROCKET at X= -25, Y= 63, Z= -287
[2023-07-19 12:15:24] [world_nether] The Player <Enderlava> has crafted 1 of FLINT AND STEEL at X= 23, Y= 8, Z= 6
[2023-07-19 12:15:26] [world_nether] The Player <Enderlava> has crafted 1 of FLINT AND STEEL at X= 23, Y= 8, Z= 6
[2023-07-19 12:38:13] [world] The Player <Funget114514> has crafted 1 of GOLD INGOT at X= -26, Y= 63, Z= -288
[2023-07-19 12:43:22] [world] The Player <Funget114514> has crafted 9 of LAPIS LAZULI at X= -27, Y= 63, Z= -287
[2023-07-19 16:35:14] [world] The Player <Funget114514> has crafted 9 of IRON INGOT at X= -25, Y= 63, Z= -287
[2023-07-19 16:43:43] [world] The Player <Funget114514> has crafted 4 of OAK PLANKS at X= -27, Y= 63, Z= -287
[2023-07-19 16:43:51] [world] The Player <Funget114514> has crafted 4 of STICK at X= -27, Y= 63, Z= -287
[2023-07-19 16:44:31] [world] The Player <Funget114514> has crafted 1 of CROSSBOW at X= -27, Y= 63, Z= -287
[2023-07-19 16:47:47] [world] The Player <Funget114514> has crafted 1 of ACACIA SAPLING at X= -27, Y= 63, Z= -287
[2023-07-19 16:51:46] [world] The Player <Funget114514> has crafted 4 of OAK PLANKS at X= 12, Y= 113, Z= 15
[2023-07-19 16:57:01] [world_the_end] The Player <Funget114514> has crafted 9 of LAPIS LAZULI at X= -17, Y= 1, Z= -274
[2023-07-19 17:01:59] [world_the_end] The Player <Funget114514> has crafted 1 of IRON BLOCK at X= -15, Y= 1, Z= -274
