[2023-07-20 10:16:40] [world] The Player <Enderlava> has crafted 1 of BUCKET at X= -28, Y= 63, Z= -288
[2023-07-20 10:19:11] [world] The Player <wqe123420> has crafted 1 of STICK at X= -27, Y= 63, Z= -287
[2023-07-20 10:19:30] [world] The Player <wqe123420> has crafted 1 of BOW at X= -27, Y= 63, Z= -287
[2023-07-20 10:19:32] [world] The Player <wqe123420> has crafted 1 of BOW at X= -27, Y= 63, Z= -287
[2023-07-20 10:19:33] [world] The Player <wqe123420> has crafted 1 of BOW at X= -27, Y= 63, Z= -287
[2023-07-20 10:19:34] [world] The Player <wqe123420> has crafted 1 of BOW at X= -27, Y= 63, Z= -287
[2023-07-20 10:19:35] [world] The Player <wqe123420> has crafted 1 of BOW at X= -27, Y= 63, Z= -287
[2023-07-20 10:19:37] [world] The Player <wqe123420> has crafted 1 of BOW at X= -27, Y= 63, Z= -287
[2023-07-20 11:03:07] [world] The Player <wqe123420> has crafted 1 of TNT at X= -27, Y= 63, Z= -287
[2023-07-20 11:30:19] [world] The Player <wqe123420> has crafted 4 of MANGROVE PLANKS at X= -3097, Y= 73, Z= 4432
[2023-07-20 11:30:23] [world] The Player <wqe123420> has crafted 1 of CRAFTING TABLE at X= -3097, Y= 73, Z= 4432
[2023-07-20 11:30:38] [world] The Player <wqe123420> has crafted 1 of CHEST at X= -3097, Y= 73, Z= 4432
[2023-07-20 11:30:38] [world] The Player <wqe123420> has crafted 1 of CHEST at X= -3097, Y= 73, Z= 4432
[2023-07-20 11:30:38] [world] The Player <wqe123420> has crafted 1 of CHEST at X= -3097, Y= 73, Z= 4432
[2023-07-20 11:30:38] [world] The Player <wqe123420> has crafted 1 of CHEST at X= -3097, Y= 73, Z= 4432
[2023-07-20 12:12:23] [world] The Player <wqe123420> has crafted 4 of MANGROVE PLANKS at X= -3089, Y= 62, Z= 4467
[2023-07-20 12:12:26] [world] The Player <wqe123420> has crafted 1 of CRAFTING TABLE at X= -3089, Y= 62, Z= 4467
[2023-07-20 12:12:46] [world] The Player <wqe123420> has crafted 1 of TNT at X= -3097, Y= 72, Z= 4431
[2023-07-20 12:12:47] [world] The Player <wqe123420> has crafted 1 of TNT at X= -3097, Y= 72, Z= 4431
[2023-07-20 12:13:09] [world] The Player <wqe123420> has crafted 1 of TNT at X= -3097, Y= 72, Z= 4430
[2023-07-20 12:13:11] [world] The Player <wqe123420> has crafted 1 of TNT at X= -3097, Y= 72, Z= 4430
[2023-07-20 12:13:22] [world] The Player <wqe123420> has crafted 1 of TNT at X= -3097, Y= 72, Z= 4430
[2023-07-20 12:13:24] [world] The Player <wqe123420> has crafted 1 of TNT at X= -3097, Y= 72, Z= 4430
[2023-07-20 12:13:45] [world] The Player <wqe123420> has crafted 1 of TNT at X= -3097, Y= 72, Z= 4431
[2023-07-20 12:13:46] [world] The Player <wqe123420> has crafted 1 of TNT at X= -3097, Y= 72, Z= 4431
[2023-07-20 12:14:02] [world] The Player <wqe123420> has crafted 1 of TNT at X= -3097, Y= 72, Z= 4431
[2023-07-20 12:14:03] [world] The Player <wqe123420> has crafted 1 of TNT at X= -3097, Y= 72, Z= 4431
[2023-07-20 12:16:00] [world] The Player <wqe123420> has crafted 1 of TNT at X= -3097, Y= 72, Z= 4431
[2023-07-20 12:16:01] [world] The Player <wqe123420> has crafted 1 of TNT at X= -3097, Y= 72, Z= 4431
[2023-07-20 12:30:18] [world] The Player <wqe123420> has crafted 9 of DIAMOND at X= -3097, Y= 72, Z= 4431
[2023-07-20 12:36:18] [world] The Player <wqe123420> has crafted 1 of TNT at X= -3097, Y= 72, Z= 4431
[2023-07-20 12:36:32] [world] The Player <wqe123420> has crafted 1 of TNT at X= -3097, Y= 72, Z= 4431
[2023-07-20 12:36:33] [world] The Player <wqe123420> has crafted 1 of TNT at X= -3097, Y= 72, Z= 4431
[2023-07-20 12:37:03] [world] The Player <wqe123420> has crafted 1 of TNT at X= -3097, Y= 72, Z= 4431
[2023-07-20 12:37:54] [world] The Player <wqe123420> has crafted 1 of TNT at X= -3097, Y= 72, Z= 4430
[2023-07-20 12:37:56] [world] The Player <wqe123420> has crafted 1 of TNT at X= -3097, Y= 72, Z= 4430
[2023-07-20 12:38:14] [world] The Player <wqe123420> has crafted 1 of TNT at X= -3096, Y= 72, Z= 4430
[2023-07-20 12:40:17] [world] The Player <wqe123420> has crafted 1 of TNT at X= -3097, Y= 72, Z= 4431
[2023-07-20 12:40:30] [world] The Player <wqe123420> has crafted 1 of TNT at X= -3097, Y= 72, Z= 4431
[2023-07-20 12:40:32] [world] The Player <wqe123420> has crafted 1 of TNT at X= -3097, Y= 72, Z= 4431
[2023-07-20 13:00:14] [world] The Player <wqe123420> has crafted 3 of BONE MEAL at X= 5, Y= 113, Z= 14
[2023-07-20 13:00:14] [world] The Player <wqe123420> has crafted 3 of BONE MEAL at X= 5, Y= 113, Z= 14
[2023-07-20 13:00:14] [world] The Player <wqe123420> has crafted 3 of BONE MEAL at X= 5, Y= 113, Z= 14
[2023-07-20 13:08:48] [world_the_end] The Player <wqe123420> has crafted 4 of OAK PLANKS at X= 8, Y= 62, Z= -16
[2023-07-20 13:08:48] [world_the_end] The Player <wqe123420> has crafted 4 of OAK PLANKS at X= 8, Y= 62, Z= -16
[2023-07-20 13:08:48] [world_the_end] The Player <wqe123420> has crafted 4 of OAK PLANKS at X= 8, Y= 62, Z= -16
[2023-07-20 13:08:48] [world_the_end] The Player <wqe123420> has crafted 4 of OAK PLANKS at X= 8, Y= 62, Z= -16
[2023-07-20 13:08:48] [world_the_end] The Player <wqe123420> has crafted 4 of OAK PLANKS at X= 8, Y= 62, Z= -16
[2023-07-20 13:08:49] [world_the_end] The Player <wqe123420> has crafted 4 of OAK PLANKS at X= 8, Y= 62, Z= -16
[2023-07-20 13:08:52] [world_the_end] The Player <wqe123420> has crafted 1 of CRAFTING TABLE at X= 8, Y= 62, Z= -16
[2023-07-20 13:09:30] [world_the_end] The Player <wqe123420> has crafted 1 of PISTON at X= 7, Y= 62, Z= -14
