[2023-07-21 16:30:09] [world_nether] The Player <Funget114514> has crafted 1 of FLINT AND STEEL at X= -63, Y= 6, Z= 83
[2023-07-21 16:39:31] [world_nether] The Player <Enderlava> has crafted 1 of FLINT AND STEEL at X= -64, Y= 14, Z= 303
[2023-07-21 17:09:51] [world] The Player <Funget114514> has crafted 3 of PAPER at X= -27, Y= 63, Z= -286
[2023-07-21 17:10:04] [world] The Player <Funget114514> has crafted 1 of BOOK at X= -27, Y= 63, Z= -287
[2023-07-21 17:10:05] [world] The Player <Funget114514> has crafted 1 of BOOK at X= -27, Y= 63, Z= -287
[2023-07-21 18:18:50] [world] The Player <wqe123420> has crafted 1 of ACACIA SAPLING at X= -27, Y= 63, Z= -288
[2023-07-21 21:39:10] [world] The Player <wqe123420> has crafted 2 of SNOUT ARMOR TRIM SMITHING TEMPLATE at X= -27, Y= 63, Z= -288
[2023-07-21 21:40:42] [world] The Player <Enderlava> has crafted 2 of SNOUT ARMOR TRIM SMITHING TEMPLATE at X= -27, Y= 63, Z= -288
[2023-07-21 21:40:54] [world] The Player <wqe123420> has crafted 2 of SNOUT ARMOR TRIM SMITHING TEMPLATE at X= -27, Y= 63, Z= -288
[2023-07-21 21:41:00] [world] The Player <wqe123420> has crafted 2 of SNOUT ARMOR TRIM SMITHING TEMPLATE at X= -27, Y= 63, Z= -288
[2023-07-21 21:41:07] [world] The Player <wqe123420> has crafted 2 of SNOUT ARMOR TRIM SMITHING TEMPLATE at X= -27, Y= 63, Z= -288
[2023-07-21 21:41:10] [world] The Player <wqe123420> has crafted 2 of SNOUT ARMOR TRIM SMITHING TEMPLATE at X= -27, Y= 63, Z= -288
[2023-07-21 22:30:26] [world] The Player <wqe123420> has crafted 2 of SNOUT ARMOR TRIM SMITHING TEMPLATE at X= -27, Y= 63, Z= -287
[2023-07-21 22:30:28] [world] The Player <wqe123420> has crafted 2 of SNOUT ARMOR TRIM SMITHING TEMPLATE at X= -27, Y= 63, Z= -287
[2023-07-21 22:31:34] [world] The Player <wqe123420> has crafted 2 of SNOUT ARMOR TRIM SMITHING TEMPLATE at X= -28, Y= 63, Z= -286
[2023-07-21 22:31:35] [world] The Player <wqe123420> has crafted 2 of SNOUT ARMOR TRIM SMITHING TEMPLATE at X= -28, Y= 63, Z= -286
[2023-07-21 22:32:08] [world_nether] The Player <Funget114514> has crafted 4 of CRIMSON PLANKS at X= 37, Y= 67, Z= -273
[2023-07-21 22:32:11] [world_nether] The Player <Funget114514> has crafted 1 of CRAFTING TABLE at X= 37, Y= 67, Z= -273
[2023-07-21 22:32:17] [world_nether] The Player <Funget114514> has crafted 4 of STICK at X= 37, Y= 67, Z= -273
[2023-07-21 22:32:22] [world_nether] The Player <Funget114514> has crafted 9 of IRON INGOT at X= 37, Y= 67, Z= -273
[2023-07-21 22:32:30] [world_nether] The Player <Funget114514> has crafted 1 of IRON PICKAXE at X= 37, Y= 67, Z= -273
