[2023-07-22 13:30:19] [world] The Player <wqe123420> has crafted 1 of GOLD INGOT at X= -28, Y= 63, Z= -288
[2023-07-22 13:30:27] [world] The Player <wqe123420> has crafted 1 of NETHERITE INGOT at X= -28, Y= 63, Z= -288
[2023-07-22 13:30:30] [world] The Player <wqe123420> has crafted 1 of NETHERITE INGOT at X= -28, Y= 63, Z= -288
[2023-07-22 19:36:22] [world] The Player <Enderlava> has crafted 4 of OAK PLANKS at X= 1, Y= 69, Z= -237
[2023-07-22 19:36:51] [world] The Player <Enderlava> has crafted 6 of OAK SLAB at X= -27, Y= 63, Z= -286
[2023-07-22 19:37:04] [world] The Player <Enderlava> has crafted 1 of BARREL at X= -27, Y= 63, Z= -286
[2023-07-22 19:37:09] [world] The Player <Enderlava> has crafted 1 of BARREL at X= -27, Y= 63, Z= -286
[2023-07-22 19:39:14] [world] The Player <Enderlava> has crafted 1 of BARREL at X= -27, Y= 63, Z= -287
[2023-07-22 19:39:27] [world] The Player <Enderlava> has crafted 6 of OAK SLAB at X= -27, Y= 63, Z= -287
[2023-07-22 19:39:27] [world] The Player <Enderlava> has crafted 6 of OAK SLAB at X= -27, Y= 63, Z= -287
[2023-07-22 19:39:42] [world] The Player <Enderlava> has crafted 1 of BARREL at X= -27, Y= 63, Z= -287
[2023-07-22 19:39:47] [world] The Player <Enderlava> has crafted 6 of OAK SLAB at X= -27, Y= 63, Z= -287
[2023-07-22 19:40:07] [world] The Player <Enderlava> has crafted 1 of BARREL at X= -27, Y= 63, Z= -287
[2023-07-22 19:40:13] [world] The Player <Enderlava> has crafted 1 of BARREL at X= -27, Y= 63, Z= -287
[2023-07-22 19:40:26] [world] The Player <Enderlava> has crafted 1 of CHEST at X= -27, Y= 63, Z= -287
[2023-07-22 19:40:50] [world] The Player <Enderlava> has crafted 1 of CHEST at X= -27, Y= 63, Z= -287
[2023-07-22 19:40:53] [world] The Player <Enderlava> has crafted 1 of CHEST at X= -27, Y= 63, Z= -287
[2023-07-22 19:40:56] [world] The Player <Enderlava> has crafted 1 of CHEST at X= -27, Y= 63, Z= -287
[2023-07-22 19:42:14] [world] The Player <Enderlava> has crafted 1 of HOPPER at X= -27, Y= 63, Z= -288
[2023-07-22 20:20:42] [world] The Player <wqe123420> has crafted 9 of GOLD INGOT at X= -9, Y= 68, Z= -273
[2023-07-22 20:45:33] [world] The Player <wqe123420> has crafted 1 of GOLD INGOT at X= -27, Y= 63, Z= -287
[2023-07-22 20:45:37] [world] The Player <wqe123420> has crafted 1 of GOLD INGOT at X= -27, Y= 63, Z= -287
[2023-07-22 20:46:21] [world] The Player <wqe123420> has crafted 3 of PAPER at X= -26, Y= 63, Z= -288
[2023-07-22 20:46:23] [world] The Player <wqe123420> has crafted 3 of FIREWORK ROCKET at X= -26, Y= 63, Z= -288
[2023-07-22 20:46:25] [world] The Player <wqe123420> has crafted 3 of FIREWORK ROCKET at X= -26, Y= 63, Z= -288
[2023-07-22 20:46:26] [world] The Player <wqe123420> has crafted 3 of FIREWORK ROCKET at X= -26, Y= 63, Z= -288
