[2023-07-23 15:21:25] [world] The Player <Enderlava> has crafted 3 of BONE MEAL at X= -22, Y= 70, Z= -256
[2023-07-23 15:21:26] [world] The Player <Enderlava> has crafted 3 of BONE MEAL at X= -22, Y= 70, Z= -256
[2023-07-23 15:21:26] [world] The Player <Enderlava> has crafted 3 of BONE MEAL at X= -22, Y= 70, Z= -256
[2023-07-23 15:26:15] [world] The Player <Enderlava> has crafted 6 of SCAFFOLDING at X= -26, Y= 63, Z= -288
[2023-07-23 15:26:16] [world] The Player <Enderlava> has crafted 6 of SCAFFOLDING at X= -26, Y= 63, Z= -288
[2023-07-23 15:26:51] [world] The Player <Enderlava> has crafted 3 of PAPER at X= -26, Y= 63, Z= -288
[2023-07-23 15:26:55] [world] The Player <Enderlava> has crafted 3 of FIREWORK ROCKET at X= -26, Y= 63, Z= -288
[2023-07-23 15:30:14] [world] The Player <Enderlava> has crafted 4 of OAK PLANKS at X= -27, Y= 63, Z= -287
[2023-07-23 15:30:22] [world] The Player <Enderlava> has crafted 1 of CHEST at X= -27, Y= 63, Z= -287
[2023-07-23 15:30:59] [world] The Player <Enderlava> has crafted 1 of SHEARS at X= -8, Y= 70, Z= -258
[2023-07-23 15:37:00] [world_the_end] The Player <Enderlava> has crafted 1 of CRAFTING TABLE at X= 22, Y= 61, Z= -23
[2023-07-23 15:37:36] [world_the_end] The Player <Enderlava> has crafted 4 of OAK PLANKS at X= 4, Y= 55, Z= -4
[2023-07-23 15:37:37] [world_the_end] The Player <Enderlava> has crafted 4 of STICK at X= 4, Y= 55, Z= -4
[2023-07-23 15:37:52] [world_the_end] The Player <Enderlava> has crafted 1 of REDSTONE TORCH at X= 4, Y= 55, Z= -4
[2023-07-23 15:37:57] [world_the_end] The Player <Enderlava> has crafted 1 of REPEATER at X= 4, Y= 55, Z= -4
[2023-07-23 15:37:58] [world_the_end] The Player <Enderlava> has crafted 1 of REPEATER at X= 4, Y= 55, Z= -4
[2023-07-23 15:37:59] [world_the_end] The Player <Enderlava> has crafted 1 of REPEATER at X= 4, Y= 55, Z= -4
[2023-07-23 15:38:17] [world_the_end] The Player <Enderlava> has crafted 1 of REPEATER at X= 5, Y= 55, Z= -4
[2023-07-23 15:39:09] [world_the_end] The Player <Enderlava> has crafted 4 of OAK PLANKS at X= 4, Y= 55, Z= -3
[2023-07-23 15:39:14] [world_the_end] The Player <Enderlava> has crafted 1 of PISTON at X= 4, Y= 55, Z= -3
[2023-07-23 15:41:09] [world_the_end] The Player <Enderlava> has crafted 1 of OBSERVER at X= 7, Y= 55, Z= -1
[2023-07-23 15:41:25] [world_the_end] The Player <Enderlava> has crafted 1 of OBSERVER at X= 7, Y= 55, Z= -1
[2023-07-23 15:46:30] [world_the_end] The Player <Enderlava> has crafted 9 of SLIME BALL at X= 4, Y= 55, Z= -1
[2023-07-23 15:46:34] [world_the_end] The Player <Enderlava> has crafted 1 of STICKY PISTON at X= 4, Y= 55, Z= -1
[2023-07-23 15:48:16] [world_the_end] The Player <Enderlava> has crafted 1 of STICKY PISTON at X= 7, Y= 62, Z= 0
