[2023-06-27 13:08:24] [world_the_end] The Player <Funget114514> has crafted 1 of IRON SWORD at X= -16, Y= 1, Z= -275
[2023-06-27 13:10:45] [world_the_end] The Player <Funget114514> has crafted 1 of IRON SWORD at X= -17, Y= 1, Z= -275
[2023-06-27 19:58:29] [world] The Player <wqe123420> has crafted 3 of PAPER at X= -25, Y= 63, Z= -286
[2023-06-27 19:58:34] [world] The Player <wqe123420> has crafted 3 of PAPER at X= -25, Y= 63, Z= -286
[2023-06-27 19:58:38] [world] The Player <wqe123420> has crafted 3 of FIREWORK ROCKET at X= -25, Y= 63, Z= -286
[2023-06-27 19:58:55] [world] The Player <wqe123420> has crafted 9 of IRON INGOT at X= -26, Y= 63, Z= -286
[2023-06-27 19:59:00] [world] The Player <wqe123420> has crafted 1 of SHEARS at X= -26, Y= 63, Z= -286
[2023-06-27 20:05:10] [world] The Player <wqe123420> has crafted 9 of IRON INGOT at X= -27, Y= 63, Z= -287
[2023-06-27 20:05:13] [world] The Player <wqe123420> has crafted 1 of SHEARS at X= -27, Y= 63, Z= -287
[2023-06-27 20:05:36] [world] The Player <wqe123420> has crafted 1 of BUCKET at X= -27, Y= 63, Z= -286
[2023-06-27 20:05:38] [world] The Player <wqe123420> has crafted 9 of IRON INGOT at X= -27, Y= 63, Z= -286
[2023-06-27 20:05:41] [world] The Player <wqe123420> has crafted 1 of BUCKET at X= -27, Y= 63, Z= -286
[2023-06-27 20:07:25] [world] The Player <wqe123420> has crafted 4 of OAK PLANKS at X= -26, Y= 63, Z= -286
[2023-06-27 20:09:19] [world] The Player <wqe123420> has crafted 1 of PISTON at X= -26, Y= 63, Z= -286
[2023-06-27 20:09:44] [world] The Player <wqe123420> has crafted 4 of STICK at X= -27, Y= 63, Z= -286
[2023-06-27 20:09:48] [world] The Player <wqe123420> has crafted 1 of REDSTONE TORCH at X= -27, Y= 63, Z= -286
[2023-06-27 20:24:50] [world] The Player <wqe123420> has crafted 1 of FLINT AND STEEL at X= -27, Y= 63, Z= -287
