[2023-07-06 16:45:59] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-06 16:45:59] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 8
[2023-07-06 16:45:59] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 7
[2023-07-06 16:46:00] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 7
[2023-07-06 16:46:00] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-06 16:46:01] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-06 16:46:02] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-06 16:46:02] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 8
[2023-07-06 16:46:03] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 353, Y= 1, Z= 8
[2023-07-06 16:46:03] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 7
[2023-07-06 16:46:03] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 6
[2023-07-06 16:46:03] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-06 16:46:04] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-06 16:46:04] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-06 16:46:05] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-06 16:46:05] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 332, Y= 1, Z= 7
[2023-07-06 16:46:07] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-06 16:46:07] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-06 16:46:08] [world_the_end] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Enderman at X= 327, Y= 1, Z= 7
