[2023-07-07 08:32:17] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Zombie at X= 4, Y= 25, Z= -225
[2023-07-07 08:32:19] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Spider at X= -20, Y= 22, Z= -218
[2023-07-07 08:44:56] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Creeper at X= -38, Y= -2, Z= -262
[2023-07-07 08:46:35] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Skeleton at X= -40, Y= 2, Z= -252
[2023-07-07 08:47:46] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Skeleton at X= -103, Y= 82, Z= -250
[2023-07-07 08:48:05] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain §25级§f精英§2僵尸 at X= -97, Y= 86, Z= -270
[2023-07-07 08:52:59] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Zombie at X= -448, Y= 67, Z= -124
[2023-07-07 08:58:13] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §4「§c7§4」§f §fBrainwashed Undead at X= -25, Y= 75, Z= -217
[2023-07-07 08:58:23] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §4「§c7§4」§f §fMindcontrolled Servant at X= -24, Y= 75, Z= -231
[2023-07-07 08:58:44] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §4「§c8§4」§f §fDominated Matriarch at X= -25, Y= 74, Z= -222
[2023-07-07 08:58:51] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §4「§c7§4」§f §1Telepathic Nightwalker at X= -26, Y= 73, Z= -224
