[2023-07-10 09:51:30] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Skeleton at X= 36, Y= -5, Z= -214
[2023-07-10 09:52:19] [world_nether] [1548179a-4c19-4b2f-84c3-dd7070ef3a83] The Player <Xw114> has slain Piglin at X= 5, Y= 74, Z= -36
[2023-07-10 09:52:26] [world_nether] [1548179a-4c19-4b2f-84c3-dd7070ef3a83] The Player <Xw114> has slain Zombified Piglin at X= -14, Y= 64, Z= -45
[2023-07-10 09:52:37] [world_nether] [1548179a-4c19-4b2f-84c3-dd7070ef3a83] The Player <Xw114> has slain Zombified Piglin at X= 5, Y= 74, Z= -36
[2023-07-10 09:52:42] [world_nether] [1548179a-4c19-4b2f-84c3-dd7070ef3a83] The Player <Xw114> has slain Zombified Piglin at X= 4, Y= 73, Z= -37
[2023-07-10 10:01:06] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Zombie at X= -10, Y= 70, Z= -259
[2023-07-10 10:04:40] [world] [1548179a-4c19-4b2f-84c3-dd7070ef3a83] The Player <Xw114> has slain Creeper at X= -29, Y= 74, Z= -235
[2023-07-10 10:04:55] [world] [1548179a-4c19-4b2f-84c3-dd7070ef3a83] The Player <Xw114> has slain Zombie at X= -45, Y= 73, Z= -233
[2023-07-10 10:14:56] [world] [1548179a-4c19-4b2f-84c3-dd7070ef3a83] The Player <Xw114> has slain Chicken at X= -54, Y= 72, Z= -193
[2023-07-10 10:22:27] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombie at X= -60, Y= 74, Z= -235
[2023-07-10 10:22:28] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Spider at X= -60, Y= 74, Z= -235
[2023-07-10 10:22:53] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombie at X= -62, Y= 71, Z= -231
[2023-07-10 10:29:03] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain 男术士 at X= -27, Y= -57, Z= -238
[2023-07-10 10:29:49] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain 异变首领 at X= -29, Y= -55, Z= -243
[2023-07-10 10:40:10] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Creeper at X= -32, Y= -55, Z= -186
[2023-07-10 10:40:52] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombie at X= -28, Y= -54, Z= -136
[2023-07-10 10:40:53] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombie at X= -28, Y= -54, Z= -136
[2023-07-10 10:40:54] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombie at X= -29, Y= -54, Z= -135
[2023-07-10 10:41:32] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombie at X= -29, Y= -54, Z= -139
[2023-07-10 10:42:18] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Skeleton at X= -27, Y= -56, Z= -177
