[2023-07-11 08:50:22] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Pillager at X= 1170, Y= 80, Z= -476
[2023-07-11 08:50:27] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Pillager at X= 1161, Y= 79, Z= -485
[2023-07-11 08:50:31] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Pillager at X= 1163, Y= 78, Z= -479
[2023-07-11 08:50:36] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Pillager at X= 1173, Y= 80, Z= -482
[2023-07-11 08:50:54] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Pillager at X= 1170, Y= 80, Z= -488
[2023-07-11 08:50:55] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Pillager at X= 1169, Y= 80, Z= -487
[2023-07-11 08:53:20] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Skeleton at X= -28, Y= 63, Z= -288
[2023-07-11 08:56:11] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Spider at X= -54, Y= 71, Z= -169
[2023-07-11 08:56:20] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Skeleton at X= -51, Y= 68, Z= -133
[2023-07-11 08:56:23] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Spider at X= -59, Y= 68, Z= -125
[2023-07-11 08:58:02] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombie at X= 11, Y= 63, Z= -303
[2023-07-11 09:03:10] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombified Piglin at X= -6, Y= 59, Z= -61
[2023-07-11 09:03:13] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombified Piglin at X= -7, Y= 58, Z= -65
[2023-07-11 09:03:13] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombified Piglin at X= -8, Y= 58, Z= -63
[2023-07-11 09:03:14] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §29级§f精英§6僵尸猪灵 at X= -8, Y= 58, Z= -63
[2023-07-11 09:03:15] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombified Piglin at X= -9, Y= 58, Z= -65
[2023-07-11 09:03:15] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombified Piglin at X= -8, Y= 58, Z= -64
[2023-07-11 09:03:16] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombified Piglin at X= -10, Y= 58, Z= -65
[2023-07-11 09:03:17] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombified Piglin at X= -8, Y= 58, Z= -66
[2023-07-11 09:03:18] [world_nether] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombified Piglin at X= -10, Y= 58, Z= -64
[2023-07-11 09:09:54] [world_the_end] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Enderman at X= 332, Y= 1, Z= 8
[2023-07-11 09:09:55] [world_the_end] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-11 09:09:55] [world_the_end] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain §26级§f精英§5末影人 at X= 331, Y= 1, Z= 7
[2023-07-11 09:09:55] [world_the_end] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Enderman at X= 331, Y= 1, Z= 8
[2023-07-11 09:09:55] [world_the_end] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Enderman at X= 331, Y= 0, Z= 6
[2023-07-11 09:09:56] [world_the_end] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-11 09:09:57] [world_the_end] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Enderman at X= 332, Y= 1, Z= 6
[2023-07-11 09:09:57] [world_the_end] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Enderman at X= 331, Y= 1, Z= 6
[2023-07-11 09:09:58] [world_the_end] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Enderman at X= 331, Y= 1, Z= 7
[2023-07-11 09:09:58] [world_the_end] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Enderman at X= 331, Y= 1, Z= 6
[2023-07-11 09:09:58] [world_the_end] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Enderman at X= 331, Y= 1, Z= 7
