[2023-07-17 09:20:56] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain .Mai_Shiranui520's Zombie at X= -2, Y= 69, Z= -252
[2023-07-17 11:41:25] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Zombie at X= 12, Y= 63, Z= -290
[2023-07-17 11:42:10] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Skeleton at X= -976, Y= 71, Z= -1020
[2023-07-17 11:46:55] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain §28级§f精英§7末影螨 at X= -959, Y= 68, Z= -996
[2023-07-17 11:54:31] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Pig at X= -22, Y= 66, Z= -282
[2023-07-17 11:55:15] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Pig at X= -26, Y= 68, Z= -286
[2023-07-17 11:55:44] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain DDDDDD at X= -21, Y= 63, Z= -286
[2023-07-17 11:56:44] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Skeleton at X= -57, Y= 69, Z= -159
[2023-07-17 11:56:50] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombie at X= -51, Y= 69, Z= -166
[2023-07-17 11:56:58] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §28级§f精英§7蜘蛛 at X= -50, Y= 68, Z= -153
[2023-07-17 11:57:07] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombie at X= -56, Y= 69, Z= -160
[2023-07-17 11:57:09] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombie at X= -59, Y= 68, Z= -160
[2023-07-17 11:57:10] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombie at X= -59, Y= 68, Z= -160
[2023-07-17 11:57:34] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §4「§c6§4」§f §c武器哥布林 at X= -62, Y= 66, Z= -164
[2023-07-17 11:57:57] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §8〔§75§8〕§f §7终焉之狼 at X= 38, Y= 67, Z= -56
[2023-07-17 11:58:53] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §4「§c6§4」§f §7群狼之首 at X= -32, Y= 62, Z= -126
[2023-07-17 12:03:29] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §8〔§75§8〕§f §7终焉之狼 at X= -53, Y= 62, Z= -77
[2023-07-17 12:03:32] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §8〔§75§8〕§f §7γ at X= -56, Y= 62, Z= -77
[2023-07-17 12:03:35] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §8〔§75§8〕§f §7终焉之狼 at X= -47, Y= 62, Z= -78
[2023-07-17 12:22:12] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §29级§f精英§3溺尸 at X= -42, Y= 56, Z= -79
[2023-07-17 12:22:53] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §4「§c5§4」§f §dRapid Mutator at X= -82, Y= 62, Z= -57
