[2023-07-18 11:31:45] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Spider at X= -111, Y= 70, Z= -206
[2023-07-18 11:31:47] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Creeper at X= -109, Y= 70, Z= -204
[2023-07-18 11:31:48] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Creeper at X= -109, Y= 70, Z= -203
[2023-07-18 11:32:17] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Spider at X= -99, Y= 70, Z= -234
[2023-07-18 11:32:36] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §4「§c5§4」§f §f§kunknown at X= -99, Y= 72, Z= -178
[2023-07-18 11:32:46] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombie at X= -96, Y= 71, Z= -187
[2023-07-18 11:32:49] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Phantom at X= -99, Y= 72, Z= -186
[2023-07-18 11:32:52] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Creeper at X= -94, Y= 70, Z= -188
[2023-07-18 11:32:53] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombie at X= -99, Y= 71, Z= -187
[2023-07-18 11:33:12] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Phantom at X= -108, Y= 71, Z= -176
[2023-07-18 11:33:17] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Phantom at X= -107, Y= 81, Z= -179
[2023-07-18 11:33:29] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Creeper at X= -125, Y= 67, Z= -208
[2023-07-18 11:33:44] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Phantom at X= -87, Y= 73, Z= -214
[2023-07-18 11:33:53] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombie at X= -95, Y= 71, Z= -223
[2023-07-18 11:33:56] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Phantom at X= -91, Y= 72, Z= -229
[2023-07-18 11:33:57] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Phantom at X= -89, Y= 72, Z= -231
[2023-07-18 11:33:59] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombie at X= -89, Y= 71, Z= -230
[2023-07-18 11:34:00] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Spider at X= -92, Y= 71, Z= -227
[2023-07-18 11:34:06] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Phantom at X= -95, Y= 76, Z= -229
[2023-07-18 11:34:59] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §8〔§75§8〕§f §c巡逻队守卫 at X= -34, Y= 72, Z= -273
[2023-07-18 11:35:17] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §4「§c5§4」§f §c巡逻队掠夺队长 at X= -40, Y= 71, Z= -263
[2023-07-18 11:36:55] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Phantom at X= -16, Y= 67, Z= -276
[2023-07-18 11:37:02] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Phantom at X= -22, Y= 69, Z= -275
[2023-07-18 11:37:18] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Phantom at X= -28, Y= 81, Z= -278
[2023-07-18 11:39:43] [em_steamworks_lair] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §2[§a140§2]§f §4Gnasuran Tinkerer at X= -68, Y= -42, Z= -70
[2023-07-18 11:41:20] [em_steamworks_lair] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §2[§a140§2]§f §4Gnasuran Electrohead at X= -98, Y= -41, Z= -81
[2023-07-18 11:48:23] [em_steamworks_lair] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §4『§c140§4』§f §bCLK-WRx702 at X= -98, Y= 10, Z= -83
[2023-07-18 11:49:47] [em_sewer_maze] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain 你敢打我! at X= -52, Y= 168, Z= -173
[2023-07-18 11:49:54] [em_sewer_maze] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain 你敢打我! at X= -61, Y= 168, Z= -175
[2023-07-18 11:52:18] [em_sewer_maze] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §f潜伏者 at X= -151, Y= 109, Z= -160
[2023-07-18 11:53:29] [em_sewer_maze] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §2爬行者 at X= -140, Y= 91, Z= -69
[2023-07-18 11:54:18] [em_sewer_maze] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §1斯帕克 at X= -155, Y= 99, Z= -75
[2023-07-18 11:55:08] [em_sewer_maze] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §2爬行者 at X= -190, Y= 91, Z= -44
[2023-07-18 11:55:27] [em_sewer_maze] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §2爬行者 at X= -197, Y= 89, Z= -52
[2023-07-18 11:59:25] [em_sewer_maze] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §2暗影弓箭手 at X= -203, Y= 67, Z= -154
[2023-07-18 14:06:03] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Creeper at X= -37, Y= 72, Z= -190
[2023-07-18 17:27:55] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Zombified Piglin at X= -2, Y= 79, Z= -6
[2023-07-18 17:27:58] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Zombified Piglin at X= -2, Y= 78, Z= -7
[2023-07-18 17:27:58] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Zombified Piglin at X= -2, Y= 79, Z= -6
[2023-07-18 17:29:12] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Phantom at X= -27, Y= 71, Z= -256
[2023-07-18 17:29:15] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Phantom at X= -27, Y= 71, Z= -256
[2023-07-18 17:43:11] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain §8〔§76§8〕§f §6活死人 at X= -34, Y= 71, Z= -251
[2023-07-18 17:43:13] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Chicken at X= -33, Y= 71, Z= -252
[2023-07-18 17:43:14] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Zombie at X= -33, Y= 71, Z= -251
[2023-07-18 17:43:24] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Creeper at X= -30, Y= 70, Z= -261
[2023-07-18 17:43:37] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Zombie at X= -25, Y= 70, Z= -260
[2023-07-18 17:43:50] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Zombie at X= -34, Y= 70, Z= -266
[2023-07-18 17:44:03] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Zombie at X= -27, Y= 70, Z= -273
[2023-07-18 17:44:09] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Zombie at X= -27, Y= 70, Z= -273
[2023-07-18 17:44:17] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Zombie at X= -29, Y= 70, Z= -271
[2023-07-18 17:44:18] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Zombie at X= -29, Y= 70, Z= -272
[2023-07-18 17:45:01] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Phantom at X= -10, Y= 78, Z= -214
[2023-07-18 17:45:24] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Phantom at X= 1, Y= 78, Z= -204
[2023-07-18 17:56:05] [world_nether] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain .Mai_Shiranui520's Zombie at X= 10, Y= 66, Z= -26
[2023-07-18 18:19:33] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Spider at X= 11, Y= 125, Z= 28
[2023-07-18 18:25:35] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain §26级§f精英§2僵尸 at X= -8, Y= 67, Z= -263
[2023-07-18 18:27:00] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Zombie at X= -39, Y= 71, Z= -275
[2023-07-18 18:27:10] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Zombie at X= -38, Y= 71, Z= -271
[2023-07-18 18:28:32] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Phantom at X= 5, Y= 80, Z= -257
[2023-07-18 18:28:40] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Phantom at X= -8, Y= 83, Z= -240
[2023-07-18 18:29:32] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Phantom at X= -12, Y= 106, Z= -251
[2023-07-18 18:40:12] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombie at X= -14, Y= 69, Z= -245
[2023-07-18 18:42:51] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Skeleton at X= -37, Y= 72, Z= -209
[2023-07-18 18:47:02] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Phantom at X= -23, Y= 133, Z= -238
[2023-07-18 18:47:59] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Phantom at X= -12, Y= 130, Z= -241
[2023-07-18 18:50:46] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §8〔§75§8〕§f §7γ at X= -31, Y= 63, Z= -287
[2023-07-18 18:51:46] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §8〔§75§8〕§f §7γ at X= 9, Y= 63, Z= -282
[2023-07-18 18:51:48] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §8〔§75§8〕§f §7γ at X= 9, Y= 63, Z= -283
[2023-07-18 18:53:41] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §8〔§75§8〕§f §7终焉之狼 at X= -22, Y= 62, Z= -309
[2023-07-18 18:53:43] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §8〔§75§8〕§f §7γ at X= -23, Y= 62, Z= -308
[2023-07-18 18:53:45] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §8〔§75§8〕§f §7γ at X= -22, Y= 62, Z= -309
[2023-07-18 19:02:10] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §8〔§75§8〕§f §7γ at X= 7, Y= 69, Z= -249
[2023-07-18 19:02:11] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §8〔§76§8〕§f §7终焉之狼 at X= 7, Y= 69, Z= -250
[2023-07-18 19:02:13] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §8〔§75§8〕§f §7γ at X= 7, Y= 70, Z= -250
[2023-07-18 19:02:14] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §8〔§75§8〕§f §7终焉之狼 at X= 7, Y= 69, Z= -252
[2023-07-18 19:02:14] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §8〔§75§8〕§f §7γ at X= 7, Y= 69, Z= -252
[2023-07-18 19:02:16] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §8〔§75§8〕§f §7γ at X= 6, Y= 69, Z= -253
[2023-07-18 19:02:18] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §8〔§75§8〕§f §7γ at X= 7, Y= 71, Z= -239
[2023-07-18 19:02:20] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §8〔§76§8〕§f §7γ at X= 7, Y= 69, Z= -259
[2023-07-18 19:02:28] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain §8〔§75§8〕§f §7终焉之狼 at X= 2, Y= 69, Z= -271
