[2023-07-21 15:16:53] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Zombie at X= -988, Y= 63, Z= -975
[2023-07-21 15:17:33] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombie at X= -87, Y= 48, Z= -77
[2023-07-21 15:17:54] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Skeleton at X= -942, Y= 71, Z= -1012
[2023-07-21 15:18:07] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Zombie at X= -973, Y= 71, Z= -1013
[2023-07-21 15:18:41] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombie at X= -94, Y= 48, Z= -83
[2023-07-21 15:18:42] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Creeper at X= -961, Y= 64, Z= -985
[2023-07-21 15:18:48] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain .Mai_Shiranui520 at X= -97, Y= 55, Z= -76
[2023-07-21 15:18:50] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombie at X= -97, Y= 55, Z= -76
[2023-07-21 15:18:53] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Spider at X= -974, Y= 71, Z= -1010
[2023-07-21 15:19:01] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Zombie at X= -977, Y= 67, Z= -1010
[2023-07-21 15:19:16] [world] [07031eee-c0d3-4ed4-8fa9-6f8ea128abba] The Player <Enderlava> has slain Zombie at X= -94, Y= 49, Z= -75
[2023-07-21 15:19:21] [world] [c044cd4d-b2f0-493d-9457-42ab7216df39] The Player <Funget114514> has slain Spider at X= -1005, Y= 66, Z= -1022
