[2023-08-23 13:55:37] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain 诽谤！ at X= -298, Y= 51, Z= 22
[2023-08-23 13:55:59] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Zombie at X= -296, Y= 63, Z= 29
[2023-08-23 13:57:22] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain 诽谤！ at X= -262, Y= 56, Z= 16
[2023-08-23 13:58:22] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Drowned at X= -261, Y= 57, Z= 6
[2023-08-23 13:58:30] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Zombie at X= -259, Y= 56, Z= 14
[2023-08-23 13:58:32] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Drowned at X= -259, Y= 56, Z= 13
[2023-08-23 13:58:41] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Drowned at X= -259, Y= 59, Z= 6
[2023-08-23 13:58:49] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Drowned at X= -261, Y= 75, Z= 6
[2023-08-23 13:58:50] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Drowned at X= -260, Y= 77, Z= 7
[2023-08-23 13:59:16] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Drowned at X= -260, Y= 71, Z= 14
[2023-08-23 13:59:28] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Zombie at X= -261, Y= 51, Z= 14
[2023-08-23 14:00:16] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Zombie at X= -256, Y= 49, Z= 5
[2023-08-23 14:01:04] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain 诽谤！ at X= -228, Y= 48, Z= 5
[2023-08-23 14:04:10] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain Skeleton at X= -262, Y= 64, Z= -26
[2023-08-23 14:06:00] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain §8〔§75§8〕§f §7终焉之狼 at X= 8, Y= 62, Z= -292
[2023-08-23 14:06:36] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain §8〔§75§8〕§f §7γ at X= -386, Y= 63, Z= -59
[2023-08-23 14:06:41] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain §8〔§75§8〕§f §7终焉之狼 at X= -380, Y= 63, Z= -71
[2023-08-23 14:07:14] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain §8〔§76§8〕§f §7γ at X= -385, Y= 63, Z= -59
[2023-08-23 14:07:28] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain §8〔§76§8〕§f §7终焉之狼 at X= -380, Y= 63, Z= -64
[2023-08-23 14:07:44] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain §8〔§75§8〕§f §7终焉之狼 at X= -407, Y= 64, Z= -50
[2023-08-23 14:07:54] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain §8〔§75§8〕§f §7终焉之狼 at X= -394, Y= 64, Z= -68
[2023-08-23 14:10:53] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain §8〔§76§8〕§f §7终焉之狼 at X= -403, Y= 61, Z= -66
[2023-08-23 14:10:59] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain §8〔§76§8〕§f §7终焉之狼 at X= -399, Y= 66, Z= -67
[2023-08-23 14:10:59] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain §8〔§76§8〕§f §7γ at X= -403, Y= 63, Z= -66
[2023-08-23 14:10:59] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain §8〔§76§8〕§f §7终焉之狼 at X= -405, Y= 67, Z= -66
[2023-08-23 14:11:06] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain §8〔§75§8〕§f §7γ at X= -404, Y= 59, Z= -66
[2023-08-23 14:11:13] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain §8〔§75§8〕§f §7γ at X= -403, Y= 62, Z= -66
[2023-08-23 14:11:15] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain §8〔§77§8〕§f §7终焉之狼 at X= -404, Y= 61, Z= -66
[2023-08-23 14:11:18] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain §8〔§76§8〕§f §7终焉之狼 at X= -403, Y= 63, Z= -66
[2023-08-23 14:11:21] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain §8〔§76§8〕§f §7γ at X= -404, Y= 61, Z= -66
[2023-08-23 14:11:22] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain §8〔§75§8〕§f §7终焉之狼 at X= -404, Y= 63, Z= -66
[2023-08-23 14:11:23] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain §8〔§76§8〕§f §7终焉之狼 at X= -404, Y= 64, Z= -66
[2023-08-23 14:11:49] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain §8〔§76§8〕§f §7γ at X= -403, Y= 63, Z= -66
[2023-08-23 14:11:55] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain §8〔§76§8〕§f §7终焉之狼 at X= -403, Y= 61, Z= -66
[2023-08-23 14:11:57] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain §8〔§75§8〕§f §7终焉之狼 at X= -404, Y= 62, Z= -66
[2023-08-23 14:12:04] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain §8〔§76§8〕§f §7终焉之狼 at X= -403, Y= 63, Z= -66
[2023-08-23 14:12:06] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain §8〔§77§8〕§f §7γ at X= -403, Y= 64, Z= -66
[2023-08-23 14:12:26] [world] [48835002-b378-4798-b2e4-aa5890f9b262] The Player <wqe123420> has slain §8〔§76§8〕§f §7终焉之狼 at X= -407, Y= 66, Z= -66
