[2023-08-08 14:15:52] [world] The Player <Funget114514> has dropped 1 of IRON INGOT at X= -88, Y= 66, Z= -138 that had [] enchantment(s) | 
[2023-08-08 14:15:54] [world] The Player <Funget114514> has dropped 15 of OAK LOG at X= -88, Y= 66, Z= -138 that had [] enchantment(s) | 
[2023-08-08 14:16:00] [world] The Player <Funget114514> has dropped 1 of IRON HELMET at X= -88, Y= 66, Z= -138 that had [] enchantment(s) | 
[2023-08-08 14:16:00] [world] The Player <Funget114514> has dropped 1 of IRON CHESTPLATE at X= -88, Y= 66, Z= -138 that had [] enchantment(s) | 
[2023-08-08 14:16:00] [world] The Player <Funget114514> has dropped 1 of IRON LEGGINGS at X= -88, Y= 66, Z= -138 that had [] enchantment(s) | 
[2023-08-08 14:16:00] [world] The Player <Funget114514> has dropped 1 of IRON BOOTS at X= -88, Y= 66, Z= -138 that had [] enchantment(s) | 
[2023-08-08 14:16:00] [world] The Player <Funget114514> has dropped 64 of IRON INGOT at X= -88, Y= 66, Z= -138 that had [] enchantment(s) | 
[2023-08-08 14:16:01] [world] The Player <Funget114514> has dropped 64 of IRON INGOT at X= -88, Y= 66, Z= -138 that had [] enchantment(s) | 
[2023-08-08 14:16:01] [world] The Player <Funget114514> has dropped 1 of WHEAT SEEDS at X= -88, Y= 66, Z= -138 that had [] enchantment(s) | 
[2023-08-08 14:16:01] [world] The Player <Funget114514> has dropped 3 of BONE at X= -88, Y= 66, Z= -138 that had [] enchantment(s) | 
[2023-08-08 14:16:02] [world] The Player <Funget114514> has dropped 1 of STICK at X= -88, Y= 66, Z= -138 that had [] enchantment(s) | 
[2023-08-08 14:16:02] [world] The Player <Funget114514> has dropped 1 of IRON AXE at X= -88, Y= 66, Z= -138 that had [] enchantment(s) | 
[2023-08-08 14:16:02] [world] The Player <Funget114514> has dropped 1 of IRON SHOVEL at X= -88, Y= 66, Z= -138 that had [] enchantment(s) | 
[2023-08-08 14:16:02] [world] The Player <Funget114514> has dropped 1 of IRON SHOVEL at X= -88, Y= 66, Z= -138 that had [] enchantment(s) | 
[2023-08-08 14:16:02] [world] The Player <Funget114514> has dropped 64 of IRON INGOT at X= -88, Y= 66, Z= -138 that had [] enchantment(s) | 
[2023-08-08 14:16:02] [world] The Player <Funget114514> has dropped 48 of DIRT at X= -88, Y= 66, Z= -138 that had [] enchantment(s) | 
[2023-08-08 14:16:03] [world] The Player <Funget114514> has dropped 63 of IRON INGOT at X= -88, Y= 66, Z= -138 that had [] enchantment(s) | 
[2023-08-08 14:16:04] [world] The Player <Funget114514> has dropped 1 of IRON SWORD at X= -88, Y= 66, Z= -138 that had [] enchantment(s) | 
[2023-08-09 09:53:35] [world] The Player <Enderlava1234> has dropped 1 of SALMON at X= -37, Y= 62, Z= -319 that had [] enchantment(s) | 
[2023-08-09 09:53:35] [world] The Player <Enderlava1234> has dropped 1 of SALMON at X= -37, Y= 61, Z= -319 that had [] enchantment(s) | 
[2023-08-09 09:53:37] [world] The Player <Enderlava1234> has dropped 1 of SALMON at X= -36, Y= 64, Z= -320 that had [] enchantment(s) | 
[2023-08-09 10:00:57] [world] The Player <Funget114514> has dropped 64 of NETHERRACK at X= -21, Y= 64, Z= -288 that had [] enchantment(s) | 
[2023-08-09 10:00:57] [world] The Player <Funget114514> has dropped 29 of NETHERRACK at X= -21, Y= 64, Z= -288 that had [] enchantment(s) | 
[2023-08-09 10:02:56] [world_nether] The Player <Funget114514> has dropped 62 of NETHERRACK at X= -30, Y= 101, Z= -21 that had [] enchantment(s) | 
[2023-08-09 10:02:57] [world_nether] The Player <Funget114514> has dropped 64 of NETHERRACK at X= -30, Y= 101, Z= -21 that had [] enchantment(s) | 
[2023-08-09 10:02:58] [world_nether] The Player <Funget114514> has dropped 1 of NETHERRACK at X= -30, Y= 101, Z= -21 that had [] enchantment(s) | 
