[2023-08-09 11:46:54] [world] The Player <Enderlava1234> has dropped 5 of BONE at X= -95, Y= 68, Z= -275 that had [] enchantment(s) | 
[2023-08-09 14:29:18] [world] The Player <Enderlava> has dropped 23 of CHORUS FRUIT at X= -20, Y= 62, Z= -301 that had [] enchantment(s) | 
[2023-08-09 14:29:53] [world] The Player <Enderlava> has dropped 2 of COBBLESTONE at X= -25, Y= 63, Z= -293 that had [] enchantment(s) | 
[2023-08-09 14:56:13] [world] The Player <Enderlava> has dropped 64 of END STONE BRICK STAIRS at X= 1360, Y= -5, Z= 979 that had [] enchantment(s) | 
[2023-08-09 14:57:23] [world_the_end] The Player <Enderlava> has dropped 62 of END STONE BRICK STAIRS at X= 98, Y= 50, Z= 1 that had [] enchantment(s) | 
[2023-08-09 15:02:19] [world] The Player <Enderlava> has dropped 1 of RAIL at X= 1368, Y= 0, Z= 983 that had [] enchantment(s) | 
[2023-08-09 15:02:49] [world] The Player <Enderlava> has dropped 10 of SMOOTH STONE SLAB at X= 1364, Y= -1, Z= 982 that had [] enchantment(s) | 
[2023-08-09 15:04:06] [world] The Player <Enderlava> has dropped 10 of SMOOTH STONE SLAB at X= 1367, Y= -2, Z= 984 that had [] enchantment(s) | 
[2023-08-09 15:04:20] [world] The Player <Enderlava> has dropped 10 of SMOOTH STONE SLAB at X= 1367, Y= -1, Z= 981 that had [] enchantment(s) | 
[2023-08-09 15:04:20] [world] The Player <Enderlava> has dropped 8 of MOSSY STONE BRICKS at X= 1367, Y= -1, Z= 981 that had [] enchantment(s) | 
[2023-08-09 15:04:40] [world] The Player <Enderlava> has dropped 1 of NAME TAG at X= 1368, Y= -1, Z= 982 that had [] enchantment(s) | 命
[2023-08-09 15:05:04] [world] The Player <Enderlava> has dropped 10 of SMOOTH STONE SLAB at X= 1363, Y= -1, Z= 976 that had [] enchantment(s) | 
[2023-08-09 15:05:08] [world_the_end] The Player <Enderlava> has dropped 4 of OAK TRAPDOOR at X= 98, Y= 50, Z= 2 that had [] enchantment(s) | 
[2023-08-09 15:05:14] [world_the_end] The Player <Enderlava> has dropped 8 of MOSSY STONE BRICKS at X= 97, Y= 47, Z= 4 that had [] enchantment(s) | 
[2023-08-09 15:05:14] [world_the_end] The Player <Enderlava> has dropped 2 of RAIL at X= 97, Y= 47, Z= 4 that had [] enchantment(s) | 
[2023-08-09 15:06:30] [world] The Player <Enderlava> has dropped 10 of SMOOTH STONE SLAB at X= 1359, Y= -3, Z= 979 that had [] enchantment(s) | 
[2023-08-09 15:07:32] [world] The Player <Enderlava> has dropped 10 of SMOOTH STONE SLAB at X= 1365, Y= -1, Z= 978 that had [] enchantment(s) | 
[2023-08-09 15:07:35] [world_the_end] The Player <Enderlava> has dropped 10 of SMOOTH STONE SLAB at X= 99, Y= 50, Z= 0 that had [] enchantment(s) | 
[2023-08-09 15:08:35] [world_the_end] The Player <Enderlava> has dropped 1 of GOLDEN SWORD at X= 102, Y= 2, Z= 2 that had [] enchantment(s) | 
[2023-08-09 15:09:01] [world_the_end] The Player <Enderlava> has dropped 4 of OAK TRAPDOOR at X= 103, Y= 2, Z= 5 that had [] enchantment(s) | 
