[2023-07-22 12:58:08] [world] The Player <wqe123420> has dropped 64 of NETHERRACK at X= -77, Y= -53, Z= -200 that had [] enchantment(s) | 
[2023-07-22 12:58:09] [world] The Player <wqe123420> has dropped 1 of COBBLED DEEPSLATE at X= -77, Y= -53, Z= -200 that had [] enchantment(s) | 
[2023-07-22 13:02:43] [world] The Player <Funget114514> has dropped 1 of ROTTEN FLESH at X= 1, Y= 70, Z= -238 that had [] enchantment(s) | 
[2023-07-22 13:02:43] [world] The Player <Funget114514> has dropped 1 of ROTTEN FLESH at X= 1, Y= 70, Z= -238 that had [] enchantment(s) | 
[2023-07-22 13:02:43] [world] The Player <Funget114514> has dropped 1 of ROTTEN FLESH at X= 1, Y= 70, Z= -238 that had [] enchantment(s) | 
[2023-07-22 13:02:58] [world] The Player <Funget114514> has dropped 40 of WHITE CARPET at X= 3, Y= 71, Z= -238 that had [] enchantment(s) | 
[2023-07-22 13:03:00] [world] The Player <Funget114514> has dropped 64 of WHITE CARPET at X= 3, Y= 71, Z= -238 that had [] enchantment(s) | 
[2023-07-22 13:03:05] [world] The Player <Funget114514> has dropped 64 of WHITE CARPET at X= 4, Y= 71, Z= -237 that had [] enchantment(s) | 
[2023-07-22 13:03:44] [world] The Player <Funget114514> has dropped 3 of ROTTEN FLESH at X= 2, Y= 70, Z= -238 that had [] enchantment(s) | 
[2023-07-22 13:04:44] [world] The Player <Funget114514> has dropped 3 of ROTTEN FLESH at X= 4, Y= 71, Z= -237 that had [] enchantment(s) | 
[2023-07-22 13:07:34] [world_nether] The Player <Funget114514> has dropped 64 of NETHERRACK at X= -51, Y= 64, Z= -49 that had [] enchantment(s) | 
[2023-07-22 13:08:50] [world_nether] The Player <Funget114514> has dropped 64 of NETHERRACK at X= 136, Y= 58, Z= -569 that had [] enchantment(s) | 
[2023-07-22 13:17:38] [world_nether] The Player <wqe123420> has dropped 1 of NETHERITE SHOVEL at X= -21, Y= 12, Z= -309 that had [Efficiency, Mending, Unbreaking] enchantment(s) | 
[2023-07-22 13:17:39] [world_nether] The Player <wqe123420> has dropped 1 of FLINT at X= -21, Y= 12, Z= -309 that had [] enchantment(s) | 
[2023-07-22 13:17:43] [world_nether] The Player <wqe123420> has dropped 1 of GRAVEL at X= -21, Y= 12, Z= -309 that had [] enchantment(s) | 
[2023-07-22 13:17:44] [world_nether] The Player <wqe123420> has dropped 1 of GRAVEL at X= -21, Y= 12, Z= -309 that had [] enchantment(s) | 
[2023-07-22 13:17:45] [world_nether] The Player <wqe123420> has dropped 1 of GRAVEL at X= -21, Y= 12, Z= -309 that had [] enchantment(s) | 
[2023-07-22 13:17:45] [world_nether] The Player <wqe123420> has dropped 1 of GRAVEL at X= -21, Y= 12, Z= -309 that had [] enchantment(s) | 
[2023-07-22 13:17:45] [world_nether] The Player <wqe123420> has dropped 1 of GRAVEL at X= -21, Y= 12, Z= -309 that had [] enchantment(s) | 
[2023-07-22 13:17:45] [world_nether] The Player <wqe123420> has dropped 1 of GRAVEL at X= -21, Y= 12, Z= -309 that had [] enchantment(s) | 
[2023-07-22 13:17:45] [world_nether] The Player <wqe123420> has dropped 1 of GRAVEL at X= -21, Y= 12, Z= -309 that had [] enchantment(s) | 
[2023-07-22 13:17:45] [world_nether] The Player <wqe123420> has dropped 1 of GRAVEL at X= -21, Y= 12, Z= -309 that had [] enchantment(s) | 
[2023-07-22 13:17:45] [world_nether] The Player <wqe123420> has dropped 1 of GRAVEL at X= -21, Y= 12, Z= -309 that had [] enchantment(s) | 
[2023-07-22 13:17:45] [world_nether] The Player <wqe123420> has dropped 1 of GRAVEL at X= -21, Y= 12, Z= -309 that had [] enchantment(s) | 
[2023-07-22 13:17:45] [world_nether] The Player <wqe123420> has dropped 1 of GRAVEL at X= -21, Y= 12, Z= -309 that had [] enchantment(s) | 
[2023-07-22 13:17:45] [world_nether] The Player <wqe123420> has dropped 1 of NETHERITE SHOVEL at X= -21, Y= 12, Z= -309 that had [Efficiency, Mending, Unbreaking] enchantment(s) | 
[2023-07-22 13:17:45] [world_nether] The Player <wqe123420> has dropped 1 of FLINT at X= -21, Y= 12, Z= -309 that had [] enchantment(s) | 
[2023-07-22 13:18:13] [world_nether] The Player <wqe123420> has dropped 1 of GRAVEL at X= -22, Y= 13, Z= -309 that had [] enchantment(s) | 
[2023-07-22 13:18:21] [world_nether] The Player <wqe123420> has dropped 6 of BONE at X= -22, Y= 13, Z= -309 that had [] enchantment(s) | 
[2023-07-22 13:18:23] [world_nether] The Player <wqe123420> has dropped 1 of NETHERITE SWORD at X= -21, Y= 13, Z= -309 that had [Fire Aspect, Knockback, Looting, Mending, Sharpness, Sweeping Edge, Unbreaking] enchantment(s) | 
[2023-07-22 13:22:19] [world_nether] The Player <wqe123420> has dropped 64 of NETHERRACK at X= -56, Y= 14, Z= -278 that had [] enchantment(s) | 
[2023-07-22 13:22:20] [world_nether] The Player <wqe123420> has dropped 41 of NETHERRACK at X= -56, Y= 14, Z= -278 that had [] enchantment(s) | 
[2023-07-22 13:22:27] [world_nether] The Player <wqe123420> has dropped 64 of NETHERRACK at X= -55, Y= 14, Z= -278 that had [] enchantment(s) | 
[2023-07-22 13:22:28] [world_nether] The Player <wqe123420> has dropped 48 of NETHERRACK at X= -55, Y= 14, Z= -278 that had [] enchantment(s) | 
[2023-07-22 13:27:43] [world] The Player <wqe123420> has dropped 1 of GUNPOWDER at X= -3218, Y= 65, Z= 4286 that had [] enchantment(s) | 
[2023-07-22 13:27:43] [world] The Player <wqe123420> has dropped 1 of GUNPOWDER at X= -3220, Y= 65, Z= 4289 that had [] enchantment(s) | 
[2023-07-22 13:29:08] [world] The Player <wqe123420> has dropped 1 of WHITE CARPET at X= 3, Y= 71, Z= -237 that had [] enchantment(s) | 
[2023-07-22 13:29:09] [world] The Player <wqe123420> has dropped 1 of WHITE CARPET at X= 3, Y= 71, Z= -237 that had [] enchantment(s) | 
[2023-07-22 13:29:09] [world] The Player <wqe123420> has dropped 1 of WHITE CARPET at X= 3, Y= 71, Z= -237 that had [] enchantment(s) | 
[2023-07-22 13:29:09] [world] The Player <wqe123420> has dropped 1 of WHITE CARPET at X= 3, Y= 71, Z= -237 that had [] enchantment(s) | 
[2023-07-22 13:29:09] [world] The Player <wqe123420> has dropped 1 of WHITE CARPET at X= 3, Y= 71, Z= -237 that had [] enchantment(s) | 
[2023-07-22 13:29:09] [world] The Player <wqe123420> has dropped 1 of WHITE CARPET at X= 3, Y= 71, Z= -237 that had [] enchantment(s) | 
[2023-07-22 13:29:09] [world] The Player <wqe123420> has dropped 1 of WHITE CARPET at X= 3, Y= 71, Z= -237 that had [] enchantment(s) | 
[2023-07-22 13:29:09] [world] The Player <wqe123420> has dropped 1 of WHITE CARPET at X= 3, Y= 71, Z= -237 that had [] enchantment(s) | 
[2023-07-22 13:29:09] [world] The Player <wqe123420> has dropped 1 of WHITE CARPET at X= 3, Y= 71, Z= -237 that had [] enchantment(s) | 
[2023-07-22 13:29:09] [world] The Player <wqe123420> has dropped 1 of WHITE CARPET at X= 3, Y= 71, Z= -237 that had [] enchantment(s) | 
[2023-07-22 13:29:09] [world] The Player <wqe123420> has dropped 1 of WHITE CARPET at X= 3, Y= 71, Z= -237 that had [] enchantment(s) | 
[2023-07-22 13:29:09] [world] The Player <wqe123420> has dropped 1 of WHITE CARPET at X= 3, Y= 71, Z= -237 that had [] enchantment(s) | 
[2023-07-22 13:29:09] [world] The Player <wqe123420> has dropped 1 of WHITE CARPET at X= 3, Y= 71, Z= -237 that had [] enchantment(s) | 
[2023-07-22 13:29:09] [world] The Player <wqe123420> has dropped 1 of WHITE CARPET at X= 3, Y= 71, Z= -237 that had [] enchantment(s) | 
[2023-07-22 13:29:09] [world] The Player <wqe123420> has dropped 1 of WHITE CARPET at X= 3, Y= 71, Z= -237 that had [] enchantment(s) | 
[2023-07-22 13:29:09] [world] The Player <wqe123420> has dropped 1 of WHITE CARPET at X= 3, Y= 71, Z= -237 that had [] enchantment(s) | 
[2023-07-22 13:29:09] [world] The Player <wqe123420> has dropped 1 of WHITE CARPET at X= 3, Y= 71, Z= -237 that had [] enchantment(s) | 
[2023-07-22 13:29:09] [world] The Player <wqe123420> has dropped 1 of WHITE CARPET at X= 3, Y= 71, Z= -237 that had [] enchantment(s) | 
[2023-07-22 13:29:09] [world] The Player <wqe123420> has dropped 1 of WHITE CARPET at X= 3, Y= 71, Z= -237 that had [] enchantment(s) | 
[2023-07-22 13:29:09] [world] The Player <wqe123420> has dropped 1 of WHITE CARPET at X= 3, Y= 71, Z= -237 that had [] enchantment(s) | 
[2023-07-22 13:29:09] [world] The Player <wqe123420> has dropped 1 of WHITE CARPET at X= 3, Y= 71, Z= -237 that had [] enchantment(s) | 
[2023-07-22 13:29:09] [world] The Player <wqe123420> has dropped 1 of WHITE CARPET at X= 3, Y= 71, Z= -237 that had [] enchantment(s) | 
[2023-07-22 13:29:09] [world] The Player <wqe123420> has dropped 1 of WHITE CARPET at X= 3, Y= 71, Z= -237 that had [] enchantment(s) | 
[2023-07-22 13:29:09] [world] The Player <wqe123420> has dropped 1 of WHITE CARPET at X= 3, Y= 71, Z= -237 that had [] enchantment(s) | 
[2023-07-22 13:29:10] [world] The Player <wqe123420> has dropped 1 of WHITE CARPET at X= 3, Y= 71, Z= -237 that had [] enchantment(s) | 
[2023-07-22 13:29:10] [world] The Player <wqe123420> has dropped 1 of WHITE CARPET at X= 3, Y= 71, Z= -237 that had [] enchantment(s) | 
