[2023-08-24 09:24:54] [world] The Player <wqe123420> has dropped 1 of BONE at X= -409, Y= 65, Z= -61 that had [] enchantment(s) | §6狼人的骨头
[2023-08-24 09:24:54] [world] The Player <wqe123420> has dropped 1 of BONE at X= -409, Y= 65, Z= -61 that had [] enchantment(s) | §6狼人的骨头
[2023-08-24 09:24:54] [world] The Player <wqe123420> has dropped 1 of BONE at X= -409, Y= 65, Z= -61 that had [] enchantment(s) | §6狼人的骨头
[2023-08-24 09:25:40] [world] The Player <wqe123420> has dropped 1 of BONE at X= -400, Y= 65, Z= -67 that had [] enchantment(s) | §6狼人的骨头
[2023-08-24 09:26:22] [world] The Player <wqe123420> has dropped 1 of BONE at X= -405, Y= 65, Z= -65 that had [] enchantment(s) | §6狼人的骨头
[2023-08-24 09:26:22] [world] The Player <wqe123420> has dropped 1 of BONE at X= -405, Y= 65, Z= -65 that had [] enchantment(s) | §6狼人的骨头
[2023-08-24 09:26:23] [world] The Player <wqe123420> has dropped 1 of BONE at X= -405, Y= 65, Z= -65 that had [] enchantment(s) | §6狼人的骨头
[2023-08-24 09:26:24] [world] The Player <wqe123420> has dropped 1 of BONE at X= -405, Y= 65, Z= -65 that had [] enchantment(s) | §6狼人的骨头
[2023-08-24 09:26:25] [world] The Player <wqe123420> has dropped 1 of NETHERITE SWORD at X= -405, Y= 65, Z= -65 that had [Fire Aspect, Knockback, Looting, Mending, Sharpness, Sweeping Edge, Unbreaking] enchantment(s) | ⚜重铸的圣剑♆
[2023-08-24 09:26:27] [world] The Player <wqe123420> has dropped 1 of BONE at X= -407, Y= 65, Z= -65 that had [] enchantment(s) | §6狼人的骨头
[2023-08-24 09:56:06] [world] The Player <Enderlava> has dropped 1 of BREAD at X= -26, Y= 78, Z= -264 that had [] enchantment(s) | 
[2023-08-24 09:56:07] [world] The Player <Enderlava> has dropped 64 of BREAD at X= -26, Y= 78, Z= -264 that had [] enchantment(s) | 
[2023-08-24 09:56:08] [world] The Player <Enderlava> has dropped 64 of BREAD at X= -26, Y= 78, Z= -264 that had [] enchantment(s) | 
[2023-08-24 09:56:09] [world] The Player <Enderlava> has dropped 64 of BREAD at X= -26, Y= 78, Z= -264 that had [] enchantment(s) | 
[2023-08-24 09:56:09] [world] The Player <Enderlava> has dropped 64 of BREAD at X= -26, Y= 78, Z= -264 that had [] enchantment(s) | 
[2023-08-24 09:56:10] [world] The Player <Enderlava> has dropped 64 of BREAD at X= -26, Y= 78, Z= -264 that had [] enchantment(s) | 
[2023-08-24 09:56:11] [world] The Player <Enderlava> has dropped 64 of BREAD at X= -26, Y= 78, Z= -264 that had [] enchantment(s) | 
[2023-08-24 09:56:12] [world] The Player <Enderlava> has dropped 64 of BREAD at X= -26, Y= 78, Z= -264 that had [] enchantment(s) | 
[2023-08-24 09:56:12] [world] The Player <Enderlava> has dropped 64 of BREAD at X= -26, Y= 78, Z= -264 that had [] enchantment(s) | 
[2023-08-24 09:56:13] [world] The Player <Enderlava> has dropped 64 of BREAD at X= -26, Y= 78, Z= -264 that had [] enchantment(s) | 
[2023-08-24 09:56:14] [world] The Player <Enderlava> has dropped 64 of BREAD at X= -26, Y= 78, Z= -264 that had [] enchantment(s) | 
[2023-08-24 09:56:14] [world] The Player <Enderlava> has dropped 64 of BREAD at X= -26, Y= 78, Z= -264 that had [] enchantment(s) | 
[2023-08-24 09:56:15] [world] The Player <Enderlava> has dropped 64 of BREAD at X= -26, Y= 78, Z= -264 that had [] enchantment(s) | 
[2023-08-24 09:56:15] [world] The Player <Enderlava> has dropped 64 of BREAD at X= -26, Y= 78, Z= -264 that had [] enchantment(s) | 
[2023-08-24 09:56:16] [world] The Player <Enderlava> has dropped 64 of BREAD at X= -26, Y= 78, Z= -264 that had [] enchantment(s) | 
[2023-08-24 09:56:18] [world] The Player <Enderlava> has dropped 64 of BREAD at X= -26, Y= 78, Z= -264 that had [] enchantment(s) | 
[2023-08-24 09:56:26] [world] The Player <Enderlava> has dropped 64 of BREAD at X= -28, Y= 78, Z= -264 that had [] enchantment(s) | 
[2023-08-24 09:56:27] [world] The Player <Enderlava> has dropped 64 of BREAD at X= -28, Y= 78, Z= -264 that had [] enchantment(s) | 
[2023-08-24 09:56:27] [world] The Player <Enderlava> has dropped 64 of BREAD at X= -28, Y= 78, Z= -264 that had [] enchantment(s) | 
[2023-08-24 09:56:28] [world] The Player <Enderlava> has dropped 64 of BREAD at X= -28, Y= 78, Z= -264 that had [] enchantment(s) | 
[2023-08-24 09:56:29] [world] The Player <Enderlava> has dropped 64 of BREAD at X= -28, Y= 78, Z= -264 that had [] enchantment(s) | 
[2023-08-24 09:56:30] [world] The Player <Enderlava> has dropped 64 of BREAD at X= -28, Y= 78, Z= -264 that had [] enchantment(s) | 
[2023-08-24 10:02:06] [world_nether] The Player <Funget114514> has dropped 10 of WHITE DYE at X= 11, Y= 129, Z= -10 that had [] enchantment(s) | §fTiny Elite Scrap
[2023-08-24 10:02:11] [world_nether] The Player <Enderlava> has dropped 10 of WHITE DYE at X= 11, Y= 129, Z= -15 that had [] enchantment(s) | §fTiny Elite Scrap
[2023-08-24 10:02:13] [world_nether] The Player <Funget114514> has dropped 1 of TORCH at X= 9, Y= 132, Z= -4 that had [] enchantment(s) | 
[2023-08-24 10:11:04] [world] The Player <Enderlava> has dropped 1 of LEATHER BOOTS at X= -30, Y= 73, Z= -249 that had [] enchantment(s) | §7末影人靴子
[2023-08-24 10:13:21] [world] The Player <Enderlava> has dropped 1 of TURTLE HELMET at X= -17, Y= 64, Z= -283 that had [] enchantment(s) | §7奶奶的方形之头盔
[2023-08-24 10:13:41] [world] The Player <Enderlava> has dropped 1 of TURTLE HELMET at X= -16, Y= 64, Z= -286 that had [] enchantment(s) | §7奶奶的方形之头盔
[2023-08-24 10:15:32] [world] The Player <Enderlava> has dropped 1 of BOOK at X= -26, Y= 70, Z= -282 that had [] enchantment(s) | 
[2023-08-24 10:22:21] [world] The Player <Enderlava> has dropped 1 of NETHER WART at X= -27, Y= 72, Z= -274 that had [] enchantment(s) | 
[2023-08-24 10:25:13] [world] The Player <Enderlava> has dropped 10 of POWERED RAIL at X= -41, Y= 69, Z= -297 that had [] enchantment(s) | 
