[2023-07-07 08:29:17] [world] The Player <Funget114514> has picked 3 of STICK at X= -28, Y= 63, Z= -288 | 
[2023-07-07 08:30:12] [world] The Player <wqe123420> has picked 1 of SUGAR_CANE at X= 9, Y= 62, Z= -263 | 
[2023-07-07 08:45:20] [world] The Player <wqe123420> has picked 21 of COBBLED_DEEPSLATE at X= -22, Y= -55, Z= -249 | 
[2023-07-07 08:45:22] [world] The Player <wqe123420> has picked 15 of COBBLED_DEEPSLATE at X= -26, Y= -55, Z= -249 | 
[2023-07-07 08:45:22] [world] The Player <wqe123420> has picked 1 of COBBLED_DEEPSLATE at X= -28, Y= -53, Z= -247 | 
[2023-07-07 08:45:22] [world] The Player <wqe123420> has picked 1 of COBBLED_DEEPSLATE at X= -29, Y= -54, Z= -248 | 
[2023-07-07 08:45:25] [world] The Player <wqe123420> has picked 1 of COBBLED_DEEPSLATE at X= -24, Y= -55, Z= -247 | 
[2023-07-07 08:45:27] [world] The Player <wqe123420> has picked 1 of COBBLED_DEEPSLATE at X= -21, Y= -53, Z= -248 | 
[2023-07-07 08:45:29] [world] The Player <wqe123420> has picked 13 of COBBLED_DEEPSLATE at X= -21, Y= -55, Z= -248 | 
[2023-07-07 08:45:32] [world] The Player <wqe123420> has picked 4 of COBBLED_DEEPSLATE at X= -21, Y= -55, Z= -246 | 
[2023-07-07 08:45:59] [world] The Player <wqe123420> has picked 37 of COBBLED_DEEPSLATE at X= -23, Y= -55, Z= -248 | 
[2023-07-07 08:50:12] [world] The Player <wqe123420> has picked 1 of HORN_CORAL_FAN at X= -3226, Y= 55, Z= 4491 | 
[2023-07-07 08:50:24] [world] The Player <wqe123420> has picked 1 of HORN_CORAL_FAN at X= -3241, Y= 61, Z= 4461 | 
[2023-07-07 08:50:29] [world] The Player <wqe123420> has picked 1 of HORN_CORAL_FAN at X= -3244, Y= 62, Z= 4467 | 
[2023-07-07 08:50:30] [world] The Player <wqe123420> has picked 1 of HORN_CORAL_FAN at X= -3245, Y= 62, Z= 4467 | 
[2023-07-07 08:50:32] [world] The Player <wqe123420> has picked 1 of HORN_CORAL at X= -3248, Y= 61, Z= 4466 | 
[2023-07-07 08:52:39] [world] The Player <wqe123420> has picked 1 of OAK_SAPLING at X= -440, Y= 67, Z= -116 | 
[2023-07-07 08:52:40] [world] The Player <wqe123420> has picked 1 of OAK_LOG at X= -439, Y= 67, Z= -113 | 
[2023-07-07 08:52:41] [world] The Player <wqe123420> has picked 1 of OAK_LOG at X= -439, Y= 67, Z= -112 | 
[2023-07-07 08:52:41] [world] The Player <wqe123420> has picked 1 of GRASS_BLOCK at X= -438, Y= 66, Z= -112 | 
[2023-07-07 08:52:41] [world] The Player <wqe123420> has picked 1 of OAK_SAPLING at X= -439, Y= 69, Z= -113 | 
[2023-07-07 08:52:41] [world] The Player <wqe123420> has picked 1 of OAK_LOG at X= -439, Y= 68, Z= -113 | 
[2023-07-07 08:52:41] [world] The Player <wqe123420> has picked 1 of OAK_SAPLING at X= -439, Y= 69, Z= -112 | 
[2023-07-07 08:52:42] [world] The Player <wqe123420> has picked 1 of OAK_LOG at X= -439, Y= 69, Z= -113 | 
[2023-07-07 08:54:45] [world] The Player <wqe123420> has picked 8 of COBBLESTONE at X= 0, Y= 64, Z= -224 | 
[2023-07-07 08:54:45] [world] The Player <wqe123420> has picked 1 of COBBLESTONE at X= 0, Y= 63, Z= -223 | 
[2023-07-07 08:54:46] [world] The Player <wqe123420> has picked 1 of COBBLESTONE at X= -1, Y= 63, Z= -223 | 
[2023-07-07 08:54:46] [world] The Player <wqe123420> has picked 1 of COBBLESTONE at X= 1, Y= 63, Z= -223 | 
[2023-07-07 08:54:47] [world] The Player <wqe123420> has picked 1 of COBBLESTONE at X= 1, Y= 63, Z= -223 | 
[2023-07-07 08:54:47] [world] The Player <wqe123420> has picked 1 of COBBLESTONE at X= 1, Y= 64, Z= -222 | 
[2023-07-07 08:54:48] [world] The Player <wqe123420> has picked 1 of COBBLESTONE at X= 1, Y= 63, Z= -222 | 
[2023-07-07 08:54:48] [world] The Player <wqe123420> has picked 1 of COBBLESTONE at X= 0, Y= 64, Z= -223 | 
[2023-07-07 08:54:48] [world] The Player <wqe123420> has picked 1 of COBBLESTONE at X= 0, Y= 63, Z= -222 | 
[2023-07-07 08:54:49] [world] The Player <wqe123420> has picked 1 of COBBLESTONE at X= -1, Y= 63, Z= -222 | 
[2023-07-07 08:54:49] [world] The Player <wqe123420> has picked 1 of COBBLESTONE at X= 0, Y= 63, Z= -222 | 
[2023-07-07 08:54:50] [world] The Player <wqe123420> has picked 1 of COBBLESTONE at X= -2, Y= 63, Z= -222 | 
[2023-07-07 08:54:50] [world] The Player <wqe123420> has picked 1 of COBBLESTONE at X= -2, Y= 63, Z= -222 | 
[2023-07-07 08:54:50] [world] The Player <wqe123420> has picked 2 of COBBLESTONE at X= -3, Y= 63, Z= -223 | 
[2023-07-07 08:54:51] [world] The Player <wqe123420> has picked 1 of COBBLESTONE at X= -3, Y= 63, Z= -222 | 
[2023-07-07 08:54:51] [world] The Player <wqe123420> has picked 1 of COBBLESTONE at X= -4, Y= 63, Z= -222 | 
[2023-07-07 08:54:52] [world] The Player <wqe123420> has picked 1 of COBBLESTONE at X= -3, Y= 63, Z= -222 | 
[2023-07-07 08:54:52] [world] The Player <wqe123420> has picked 1 of COBBLESTONE at X= -5, Y= 63, Z= -222 | 
[2023-07-07 08:54:52] [world] The Player <wqe123420> has picked 1 of COBBLESTONE at X= -5, Y= 64, Z= -222 | 
[2023-07-07 08:54:52] [world] The Player <wqe123420> has picked 1 of COBBLESTONE at X= -5, Y= 63, Z= -222 | 
[2023-07-07 08:54:52] [world] The Player <wqe123420> has picked 1 of COBBLESTONE at X= -5, Y= 63, Z= -222 | 
[2023-07-07 08:54:53] [world] The Player <wqe123420> has picked 1 of COBBLESTONE at X= -5, Y= 64, Z= -223 | 
[2023-07-07 08:54:53] [world] The Player <wqe123420> has picked 1 of COBBLESTONE at X= -5, Y= 63, Z= -223 | 
[2023-07-07 08:54:54] [world] The Player <wqe123420> has picked 1 of COBBLESTONE at X= -4, Y= 64, Z= -224 | 
[2023-07-07 08:54:54] [world] The Player <wqe123420> has picked 1 of COBBLESTONE at X= -5, Y= 63, Z= -224 | 
[2023-07-07 08:56:10] [world] The Player <wqe123420> has picked 3 of BUCKET at X= -28, Y= 63, Z= -286 | 
[2023-07-07 08:56:16] [world] The Player <wqe123420> has picked 36 of IRON_BLOCK at X= -28, Y= 63, Z= -286 | 
[2023-07-07 08:56:19] [world] The Player <wqe123420> has picked 13 of IRON_INGOT at X= -28, Y= 63, Z= -286 | 
[2023-07-07 08:56:22] [world] The Player <wqe123420> has picked 3 of BUCKET at X= -28, Y= 63, Z= -286 | 
[2023-07-07 08:56:26] [world] The Player <wqe123420> has picked 36 of IRON_BLOCK at X= -28, Y= 63, Z= -286 | 
[2023-07-07 08:56:30] [world] The Player <wqe123420> has picked 7 of IRON_INGOT at X= -28, Y= 63, Z= -286 | 
[2023-07-07 08:56:32] [world] The Player <wqe123420> has picked 36 of IRON_BLOCK at X= -28, Y= 63, Z= -286 | 
[2023-07-07 08:56:36] [world] The Player <wqe123420> has picked 3 of IRON_INGOT at X= -28, Y= 63, Z= -286 | 
[2023-07-07 08:56:37] [world] The Player <wqe123420> has picked 36 of IRON_BLOCK at X= -28, Y= 63, Z= -286 | 
[2023-07-07 08:58:51] [world] The Player <Enderlava> has picked 3 of STRING at X= -27, Y= 73, Z= -224 | 
[2023-07-07 09:00:17] [world] The Player <wqe123420> has picked 36 of LAPIS_LAZULI at X= -28, Y= -55, Z= -246 | 
[2023-07-07 09:00:28] [world] The Player <wqe123420> has picked 62 of LAPIS_LAZULI at X= -27, Y= -55, Z= -247 | 
[2023-07-07 09:00:28] [world] The Player <wqe123420> has picked 2 of LAPIS_LAZULI at X= -27, Y= -55, Z= -246 | 
[2023-07-07 09:00:37] [world] The Player <wqe123420> has picked 64 of LAPIS_LAZULI at X= -27, Y= -55, Z= -247 | 
[2023-07-07 09:00:50] [world] The Player <wqe123420> has picked 36 of LAPIS_LAZULI at X= -27, Y= -55, Z= -246 | 
[2023-07-07 09:01:25] [world] The Player <wqe123420> has picked 38 of COBBLED_DEEPSLATE at X= -28, Y= -55, Z= -244 | 
[2023-07-07 09:01:31] [world] The Player <wqe123420> has picked 1 of SLIME_BLOCK at X= -28, Y= -54, Z= -246 | 
[2023-07-07 09:01:31] [world] The Player <wqe123420> has picked 1 of OBSERVER at X= -29, Y= -55, Z= -247 | 
[2023-07-07 09:01:34] [world] The Player <wqe123420> has picked 1 of SLIME_BLOCK at X= -27, Y= -54, Z= -247 | 
[2023-07-07 09:01:34] [world] The Player <wqe123420> has picked 1 of PISTON at X= -25, Y= -53, Z= -246 | 
[2023-07-07 09:01:35] [world] The Player <wqe123420> has picked 1 of SLIME_BLOCK at X= -27, Y= -54, Z= -247 | 
[2023-07-07 09:01:35] [world] The Player <wqe123420> has picked 1 of OBSERVER at X= -26, Y= -53, Z= -246 | 
[2023-07-07 09:01:36] [world] The Player <wqe123420> has picked 1 of PISTON at X= -28, Y= -55, Z= -247 | 
[2023-07-07 09:01:36] [world] The Player <wqe123420> has picked 1 of STICKY_PISTON at X= -27, Y= -55, Z= -248 | 
[2023-07-07 09:01:42] [world] The Player <wqe123420> has picked 36 of LAPIS_LAZULI at X= -29, Y= -55, Z= -247 | 
[2023-07-07 09:01:44] [world] The Player <wqe123420> has picked 1 of NOTE_BLOCK at X= -28, Y= -55, Z= -247 | 
[2023-07-07 09:02:32] [world] The Player <wqe123420> has picked 36 of LAPIS_LAZULI at X= -25, Y= -55, Z= -246 | 
[2023-07-07 09:02:32] [world] The Player <wqe123420> has picked 28 of LAPIS_LAZULI at X= -26, Y= -55, Z= -247 | 
[2023-07-07 09:02:41] [world] The Player <wqe123420> has picked 1 of NOTE_BLOCK at X= -22, Y= -55, Z= -246 | 
[2023-07-07 09:02:45] [world] The Player <wqe123420> has picked 38 of COBBLED_DEEPSLATE at X= -26, Y= -55, Z= -247 | 
[2023-07-07 09:02:52] [world] The Player <wqe123420> has picked 1 of STICKY_PISTON at X= -24, Y= -54, Z= -247 | 
[2023-07-07 09:02:53] [world] The Player <wqe123420> has picked 1 of SLIME_BLOCK at X= -22, Y= -55, Z= -245 | 
[2023-07-07 09:02:53] [world] The Player <wqe123420> has picked 1 of OBSERVER at X= -23, Y= -55, Z= -245 | 
[2023-07-07 09:02:53] [world] The Player <wqe123420> has picked 1 of SLIME_BLOCK at X= -24, Y= -53, Z= -247 | 
[2023-07-07 09:02:54] [world] The Player <wqe123420> has picked 2 of PISTON at X= -22, Y= -55, Z= -245 | 
[2023-07-07 09:02:55] [world] The Player <wqe123420> has picked 1 of NOTE_BLOCK at X= -24, Y= -53, Z= -246 | 
[2023-07-07 09:03:00] [world] The Player <wqe123420> has picked 1 of SLIME_BLOCK at X= -26, Y= -55, Z= -246 | 
[2023-07-07 09:03:38] [world] The Player <wqe123420> has picked 1 of SLIME_BLOCK at X= -25, Y= -55, Z= -246 | 
[2023-07-07 09:03:38] [world] The Player <wqe123420> has picked 1 of STICKY_PISTON at X= -25, Y= -55, Z= -246 | 
[2023-07-07 09:03:39] [world] The Player <wqe123420> has picked 1 of PISTON at X= -25, Y= -53, Z= -246 | 
[2023-07-07 09:03:39] [world] The Player <wqe123420> has picked 1 of SLIME_BLOCK at X= -24, Y= -55, Z= -246 | 
[2023-07-07 09:03:40] [world] The Player <wqe123420> has picked 1 of SLIME_BLOCK at X= -25, Y= -53, Z= -247 | 
[2023-07-07 09:03:40] [world] The Player <wqe123420> has picked 1 of PISTON at X= -24, Y= -55, Z= -247 | 
[2023-07-07 09:03:41] [world] The Player <wqe123420> has picked 1 of OBSERVER at X= -24, Y= -55, Z= -246 | 
[2023-07-07 09:04:09] [world] The Player <Enderlava> has picked 1 of COBBLESTONE at X= -9, Y= 39, Z= -219 | 
[2023-07-07 09:04:10] [world] The Player <Enderlava> has picked 1 of COBBLESTONE at X= -9, Y= 38, Z= -219 | 
[2023-07-07 09:04:10] [world] The Player <Enderlava> has picked 1 of COBBLESTONE at X= -9, Y= 38, Z= -219 | 
[2023-07-07 09:04:11] [world] The Player <Enderlava> has picked 1 of COBBLESTONE at X= -9, Y= 38, Z= -218 | 
[2023-07-07 09:04:11] [world] The Player <Enderlava> has picked 1 of COBBLESTONE at X= -9, Y= 38, Z= -218 | 
[2023-07-07 09:04:12] [world] The Player <Enderlava> has picked 1 of COBBLESTONE at X= -9, Y= 38, Z= -217 | 
[2023-07-07 09:04:12] [world] The Player <Enderlava> has picked 1 of COBBLESTONE at X= -9, Y= 38, Z= -217 | 
[2023-07-07 09:04:12] [world] The Player <Enderlava> has picked 1 of COBBLESTONE at X= -9, Y= 38, Z= -218 | 
[2023-07-07 09:04:12] [world] The Player <Enderlava> has picked 2 of COBBLESTONE at X= -9, Y= 38, Z= -217 | 
[2023-07-07 09:04:13] [world] The Player <Enderlava> has picked 1 of COBBLESTONE at X= -9, Y= 38, Z= -216 | 
[2023-07-07 09:04:13] [world] The Player <Enderlava> has picked 1 of COBBLESTONE at X= -9, Y= 38, Z= -215 | 
[2023-07-07 09:04:14] [world] The Player <Enderlava> has picked 1 of COBBLESTONE at X= -9, Y= 38, Z= -215 | 
[2023-07-07 09:04:14] [world] The Player <Enderlava> has picked 1 of COBBLESTONE at X= -9, Y= 38, Z= -214 | 
[2023-07-07 09:04:14] [world] The Player <Enderlava> has picked 1 of COBBLESTONE at X= -9, Y= 38, Z= -214 | 
[2023-07-07 09:04:15] [world] The Player <Enderlava> has picked 2 of COBBLESTONE at X= -9, Y= 38, Z= -214 | 
[2023-07-07 09:04:15] [world] The Player <Enderlava> has picked 1 of COBBLESTONE at X= -9, Y= 38, Z= -212 | 
[2023-07-07 09:04:17] [world] The Player <wqe123420> has picked 57 of COBBLED_DEEPSLATE at X= -28, Y= -55, Z= -246 | 
[2023-07-07 09:04:19] [world] The Player <wqe123420> has picked 7 of COBBLED_DEEPSLATE at X= -31, Y= -54, Z= -244 | 
[2023-07-07 09:04:27] [world] The Player <wqe123420> has picked 2 of COBBLED_DEEPSLATE at X= -26, Y= -55, Z= -247 | 
[2023-07-07 09:07:13] [world] The Player <wqe123420> has picked 1 of RAIL at X= -16, Y= 63, Z= -285 | 
[2023-07-07 09:09:17] [world] The Player <Funget114514> has picked 1 of POWERED_RAIL at X= -16, Y= 64, Z= -287 | 
[2023-07-07 09:09:59] [world] The Player <Funget114514> has picked 5 of COBBLESTONE_WALL at X= -16, Y= 63, Z= -283 | 
[2023-07-07 09:10:37] [world] The Player <wqe123420> has picked 1 of COBBLESTONE_SLAB at X= -30, Y= -53, Z= -246 | 
[2023-07-07 09:10:45] [world] The Player <wqe123420> has picked 2 of COBBLESTONE_SLAB at X= -29, Y= -55, Z= -245 | 
[2023-07-07 09:11:25] [world_nether] The Player <Funget114514> has picked 1 of SPRUCE_BOAT at X= 167, Y= 128, Z= 111 | 
[2023-07-07 09:11:30] [world] The Player <wqe123420> has picked 1 of TNT at X= -30, Y= -54, Z= -246 | 
[2023-07-07 09:11:33] [world] The Player <wqe123420> has picked 1 of COBBLED_DEEPSLATE at X= -30, Y= -54, Z= -245 | 
[2023-07-07 09:12:02] [world] The Player <wqe123420> has picked 1 of COBBLED_DEEPSLATE at X= -31, Y= -54, Z= -243 | 
[2023-07-07 09:12:06] [world] The Player <wqe123420> has picked 1 of HOPPER_MINECART at X= -32, Y= -55, Z= -244 | 
[2023-07-07 09:12:11] [world_the_end] The Player <Xw114> has picked 1 of END_ROD at X= -3486, Y= 98, Z= -4419 | 
[2023-07-07 09:12:17] [world_the_end] The Player <Funget114514> has picked 1 of ENDER_PEARL at X= 331, Y= 4, Z= 6 | 
[2023-07-07 09:12:33] [world_the_end] The Player <Funget114514> has picked 4 of ENDER_PEARL at X= 331, Y= 1, Z= 7 | 
[2023-07-07 09:12:39] [world] The Player <Xw114> has picked 1 of REDSTONE_BLOCK at X= -29, Y= -53, Z= -243 | 
[2023-07-07 09:12:40] [world] The Player <wqe123420> has picked 1 of STICKY_PISTON at X= -28, Y= -53, Z= -244 | 
[2023-07-07 09:12:42] [world] The Player <wqe123420> has picked 1 of RAIL at X= -28, Y= -53, Z= -245 | 
[2023-07-07 09:12:42] [world] The Player <wqe123420> has picked 1 of COBBLED_DEEPSLATE at X= -29, Y= -54, Z= -245 | 
[2023-07-07 09:12:43] [world] The Player <wqe123420> has picked 1 of COBBLED_DEEPSLATE at X= -29, Y= -54, Z= -245 | 
[2023-07-07 09:12:44] [world] The Player <wqe123420> has picked 1 of COBBLED_DEEPSLATE at X= -28, Y= -54, Z= -245 | 
[2023-07-07 09:12:44] [world] The Player <wqe123420> has picked 1 of COBBLED_DEEPSLATE at X= -28, Y= -54, Z= -243 | 
[2023-07-07 09:12:44] [world_the_end] The Player <Funget114514> has picked 1 of ENDER_PEARL at X= 331, Y= 1, Z= 8 | 
[2023-07-07 09:12:46] [world] The Player <wqe123420> has picked 1 of COBBLED_DEEPSLATE at X= -29, Y= -55, Z= -244 | 
[2023-07-07 09:12:47] [world] The Player <wqe123420> has picked 1 of COBBLED_DEEPSLATE at X= -28, Y= -55, Z= -245 | 
[2023-07-07 09:12:57] [world] The Player <wqe123420> has picked 1 of COBBLED_DEEPSLATE at X= -34, Y= -53, Z= -245 | 
[2023-07-07 09:12:57] [world_the_end] The Player <Funget114514> has picked 3 of ENDER_PEARL at X= 331, Y= 1, Z= 7 | 
[2023-07-07 09:12:58] [world] The Player <wqe123420> has picked 1 of COBBLED_DEEPSLATE at X= -35, Y= -56, Z= -247 | 
