[2023-08-08 14:15:56] [world] The Player <Funget114514> has picked 15 of OAK_LOG at X= -86, Y= 65, Z= -137 | 
[2023-08-09 09:51:20] [world] The Player <Enderlava1234> has picked 1 of MOSS_CARPET at X= -15, Y= 65, Z= -286 | 
[2023-08-09 09:51:20] [world] The Player <Enderlava1234> has picked 1 of MANGROVE_ROOTS at X= -15, Y= 64, Z= -287 | 
[2023-08-09 09:53:28] [world] The Player <Enderlava1234> has picked 2 of SALMON at X= -37, Y= 59, Z= -317 | 
[2023-08-09 09:53:28] [world] The Player <Enderlava1234> has picked 1 of SALMON at X= -38, Y= 61, Z= -318 | 
[2023-08-09 09:53:57] [world] The Player <Enderlava1234> has picked 1 of CHORUS_FRUIT at X= -20, Y= 65, Z= -300 | 
[2023-08-09 09:55:19] [world] The Player <Enderlava1234> has picked 1 of STRIPPED_SPRUCE_LOG at X= -24, Y= 68, Z= -278 | 
[2023-08-09 09:59:07] [world_nether] The Player <Funget114514> has picked 6 of NETHERRACK at X= 2, Y= 115, Z= -22 | 
[2023-08-09 09:59:09] [world_nether] The Player <Funget114514> has picked 7 of NETHERRACK at X= -1, Y= 114, Z= -22 | 
[2023-08-09 09:59:09] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -4, Y= 114, Z= -22 | 
[2023-08-09 09:59:26] [world_nether] The Player <Funget114514> has picked 9 of NETHERRACK at X= -10, Y= 114, Z= -22 | 
[2023-08-09 09:59:27] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -10, Y= 115, Z= -22 | 
[2023-08-09 09:59:28] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -15, Y= 114, Z= -21 | 
[2023-08-09 09:59:28] [world_nether] The Player <Funget114514> has picked 24 of NETHERRACK at X= -19, Y= 113, Z= -22 | 
[2023-08-09 09:59:29] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= -20, Y= 114, Z= -22 | 
