[2023-07-22 12:58:00] [world] The Player <wqe123420> has picked 2 of DIAMOND at X= -77, Y= -53, Z= -201 | 
[2023-07-22 12:58:01] [world] The Player <wqe123420> has picked 1 of DIAMOND at X= -78, Y= -53, Z= -201 | 
[2023-07-22 12:58:07] [world] The Player <wqe123420> has picked 1 of COBBLED_DEEPSLATE at X= -77, Y= -54, Z= -200 | 
[2023-07-22 12:58:08] [world] The Player <wqe123420> has picked 16 of DIAMOND at X= -78, Y= -53, Z= -200 | 
[2023-07-22 12:58:10] [world] The Player <wqe123420> has picked 39 of NETHERRACK at X= -78, Y= -53, Z= -200 | 
[2023-07-22 12:58:17] [world] The Player <wqe123420> has picked 4 of DIAMOND at X= -79, Y= -57, Z= -198 | 
[2023-07-22 12:58:19] [world] The Player <wqe123420> has picked 7 of DIAMOND at X= -80, Y= -57, Z= -198 | 
[2023-07-22 12:58:20] [world] The Player <wqe123420> has picked 2 of DIAMOND at X= -81, Y= -57, Z= -197 | 
[2023-07-22 13:00:24] [world_nether] The Player <wqe123420> has picked 1 of BLACKSTONE at X= -44, Y= 14, Z= -112 | 
[2023-07-22 13:00:24] [world_nether] The Player <wqe123420> has picked 1 of BLACKSTONE at X= -45, Y= 14, Z= -113 | 
[2023-07-22 13:00:25] [world_nether] The Player <wqe123420> has picked 1 of BLACKSTONE at X= -46, Y= 14, Z= -113 | 
[2023-07-22 13:00:30] [world_nether] The Player <wqe123420> has picked 1 of BLACKSTONE at X= -55, Y= 9, Z= -112 | 
[2023-07-22 13:00:33] [world_nether] The Player <wqe123420> has picked 1 of ANCIENT_DEBRIS at X= -56, Y= 9, Z= -114 | 
[2023-07-22 13:00:43] [world_the_end] The Player <Enderlava> has picked 1 of ENDER_PEARL at X= 331, Y= 1, Z= 7 | 
[2023-07-22 13:00:44] [world_the_end] The Player <Enderlava> has picked 16 of ENDER_PEARL at X= 331, Y= 1, Z= 8 | 
[2023-07-22 13:00:46] [world_the_end] The Player <Enderlava> has picked 16 of ENDER_PEARL at X= 331, Y= 1, Z= 6 | 
[2023-07-22 13:00:47] [world_the_end] The Player <Enderlava> has picked 4 of ENDER_PEARL at X= 331, Y= 1, Z= 7 | 
[2023-07-22 13:00:50] [world_the_end] The Player <Enderlava> has picked 3 of ENDER_PEARL at X= 331, Y= 1, Z= 6 | 
[2023-07-22 13:00:51] [world_the_end] The Player <Enderlava> has picked 4 of ENDER_PEARL at X= 331, Y= 1, Z= 7 | 
[2023-07-22 13:00:51] [world_the_end] The Player <Enderlava> has picked 4 of ENDER_PEARL at X= 331, Y= 1, Z= 6 | 
[2023-07-22 13:02:50] [world] The Player <Funget114514> has picked 63 of WHITE_CARPET at X= 1, Y= 71, Z= -239 | 
[2023-07-22 13:02:55] [world] The Player <Funget114514> has picked 41 of WHITE_CARPET at X= 1, Y= 71, Z= -239 | 
[2023-07-22 13:03:03] [world] The Player <Funget114514> has picked 64 of WHITE_CARPET at X= 1, Y= 71, Z= -239 | 
[2023-07-22 13:03:33] [world] The Player <Funget114514> has picked 64 of WHITE_CARPET at X= 0, Y= 69, Z= -237 | 
[2023-07-22 13:03:33] [world] The Player <Funget114514> has picked 3 of ROTTEN_FLESH at X= 0, Y= 69, Z= -237 | 
[2023-07-22 13:04:39] [world] The Player <Funget114514> has picked 40 of WHITE_CARPET at X= 0, Y= 69, Z= -237 | 
[2023-07-22 13:04:39] [world] The Player <Funget114514> has picked 3 of ROTTEN_FLESH at X= 1, Y= 69, Z= -237 | 
[2023-07-22 13:06:27] [world_nether] The Player <Funget114514> has picked 22 of NETHERRACK at X= 5, Y= 97, Z= -37 | 
[2023-07-22 13:06:28] [world_nether] The Player <Funget114514> has picked 6 of NETHERRACK at X= 5, Y= 96, Z= -41 | 
[2023-07-22 13:06:28] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 5, Y= 96, Z= -41 | 
[2023-07-22 13:06:28] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 5, Y= 97, Z= -40 | 
[2023-07-22 13:06:28] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 6, Y= 96, Z= -41 | 
[2023-07-22 13:06:28] [world_nether] The Player <Funget114514> has picked 1 of NETHERRACK at X= 5, Y= 96, Z= -42 | 
