[2023-07-23 14:47:40] [world_nether] The Player <Enderlava> has picked 1 of OAK_BOAT at X= 167, Y= 128, Z= 122 | 
[2023-07-23 14:48:32] [world_the_end] The Player <Enderlava> has picked 16 of ENDER_PEARL at X= 331, Y= 1, Z= 8 | 
[2023-07-23 14:48:45] [world_the_end] The Player <Enderlava> has picked 16 of ENDER_PEARL at X= 331, Y= 1, Z= 6 | 
[2023-07-23 14:48:49] [world_the_end] The Player <Enderlava> has picked 16 of ENDER_PEARL at X= 331, Y= 1, Z= 8 | 
[2023-07-23 14:52:12] [world_the_end] The Player <Enderlava> has picked 1 of SAND at X= 3, Y= 63, Z= -8 | 
[2023-07-23 14:52:23] [world_the_end] The Player <Enderlava> has picked 1 of SAND at X= 5, Y= 62, Z= -3 | 
[2023-07-23 14:52:24] [world_the_end] The Player <Enderlava> has picked 2 of SAND at X= 5, Y= 62, Z= -5 | 
[2023-07-23 14:52:35] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= 16, Y= 61, Z= -11 | 
[2023-07-23 14:52:41] [world_the_end] The Player <Enderlava> has picked 1 of SAND at X= 5, Y= 62, Z= -4 | 
[2023-07-23 14:52:42] [world_the_end] The Player <Enderlava> has picked 1 of SAND at X= 4, Y= 61, Z= -4 | 
[2023-07-23 14:52:50] [world_the_end] The Player <Enderlava> has picked 1 of SLIME_BLOCK at X= 0, Y= 62, Z= -3 | 
[2023-07-23 14:52:51] [world_the_end] The Player <Enderlava> has picked 1 of SLIME_BLOCK at X= 1, Y= 62, Z= -5 | 
[2023-07-23 14:52:56] [world_the_end] The Player <Enderlava> has picked 1 of SLIME_BLOCK at X= -3, Y= 57, Z= -3 | 
[2023-07-23 14:53:13] [world_the_end] The Player <Enderlava> has picked 1 of END_STONE at X= -1, Y= 56, Z= 0 | 
[2023-07-23 14:53:23] [world_the_end] The Player <Enderlava> has picked 5 of END_STONE at X= -4, Y= 56, Z= -3 | 
