[2023-07-06 16:49:38] [world] The Player <Enderlava> has died with 51 level(s) at X= -15, Y= 70, Z= -261 | caused by ENTITY_ATTACK | 
[2023-07-06 16:50:49] [world] The Player <Enderlava> has died with 0 level(s) at X= -19, Y= 69, Z= -264 | caused by ENTITY_ATTACK | 
[2023-07-06 16:51:18] [world] The Player <Enderlava> has died with 0 level(s) at X= -35, Y= 70, Z= -258 | caused by ENTITY_ATTACK | 
[2023-07-06 16:52:51] [world] The Player <Enderlava> has died with 1 level(s) at X= 0, Y= 71, Z= -245 | caused by ENTITY_ATTACK | 
[2023-07-06 16:54:35] [world] The Player <Enderlava> has died with 4 level(s) at X= -17, Y= 74, Z= -229 | caused by FIRE_TICK | 
[2023-07-06 17:36:05] [world_the_end] The Player <Enderlava> has died with 65 level(s) at X= 362, Y= 1, Z= 13 | caused by ENTITY_ATTACK | 
[2023-07-06 18:09:40] [world] The Player <wqe123420> has died with 281 level(s) at X= -843, Y= -60, Z= -763 | caused by FALL | 
[2023-07-06 18:32:24] [world] The Player <wqe123420> has died with 254 level(s) at X= -832, Y= -17, Z= -756 | caused by FALL | 
[2023-07-06 18:35:32] [world] The Player <Enderlava> has died with 65 level(s) at X= -28, Y= 78, Z= -214 | caused by PROJECTILE | 
[2023-07-06 18:38:49] [world] The Player <23232> has died with 0 level(s) at X= -848, Y= -60, Z= -752 | caused by FALL | 
[2023-07-06 18:44:04] [world] The Player <wqe123420> has died with 229 level(s) at X= -865, Y= -9, Z= -755 | caused by FALL | 
[2023-07-06 18:44:40] [world] The Player <Funget114514> has died with 7 level(s) at X= -841, Y= -60, Z= -743 | caused by Player | wqe123420
[2023-07-06 18:47:54] [world] The Player <wqe123420> has died with 206 level(s) at X= -856, Y= -60, Z= -756 | caused by FALL | 
[2023-07-06 18:48:09] [world] The Player <Funget114514> has died with 6 level(s) at X= -853, Y= -60, Z= -761 | caused by FALL | 
[2023-07-06 18:48:29] [world] The Player <Funget114514> has died with 0 level(s) at X= -845, Y= -60, Z= -753 | caused by FALL | 
[2023-07-06 18:48:53] [world] The Player <Funget114514> has died with 0 level(s) at X= -847, Y= 84, Z= -757 | caused by FALL | 
[2023-07-06 18:49:15] [world] The Player <Funget114514> has died with 0 level(s) at X= -843, Y= 89, Z= -747 | caused by FALL | 
[2023-07-06 18:49:38] [world] The Player <Funget114514> has died with 0 level(s) at X= -848, Y= 71, Z= -757 | caused by FALL | 
[2023-07-06 18:51:30] [world] The Player <Enderlava> has died with 59 level(s) at X= -23, Y= 70, Z= -266 | caused by ENTITY_ATTACK | 
[2023-07-06 19:08:30] [world] The Player <Funget114514> has died with 6 level(s) at X= -19, Y= 66, Z= -259 | caused by ENTITY_ATTACK | 
[2023-07-06 19:08:39] [world] The Player <wqe123420> has died with 186 level(s) at X= -24, Y= 73, Z= -262 | caused by MAGIC | 
[2023-07-06 19:08:59] [world] The Player <Enderlava> has died with 55 level(s) at X= -22, Y= 73, Z= -267 | caused by FIRE_TICK | 
[2023-07-06 19:13:09] [world] The Player <wqe123420> has died with 168 level(s) at X= -67, Y= 57, Z= -301 | caused by ENTITY_EXPLOSION | 
[2023-07-06 19:16:12] [world] The Player <Funget114514> has died with 5 level(s) at X= -66, Y= 58, Z= -296 | caused by DROWNING | 
[2023-07-06 19:16:52] [world] The Player <Funget114514> has died with 0 level(s) at X= -26, Y= 63, Z= -284 | caused by Player | Enderlava
[2023-07-06 19:21:08] [world] The Player <Funget114514> has died with 5 level(s) at X= -66, Y= 55, Z= -285 | caused by DROWNING | 
[2023-07-06 21:41:07] [world] The Player <wqe123420> has died with 170 level(s) at X= -836, Y= -60, Z= -768 | caused by PROJECTILE | 
[2023-07-06 21:48:22] [world] The Player <wqe123420> has died with 154 level(s) at X= -835, Y= -60, Z= -768 | caused by FIRE_TICK | 
[2023-07-06 22:35:53] [world] The Player <wegwe> has died with 0 level(s) at X= -129, Y= 64, Z= -122 | caused by Player | wqe123420
[2023-07-06 22:36:05] [world] The Player <wegwe> has died with 0 level(s) at X= -151, Y= 64, Z= -119 | caused by Player | wqe123420
[2023-07-06 22:36:21] [world] The Player <wegwe> has died with 0 level(s) at X= -84, Y= 60, Z= -89 | caused by Player | wqe123420
[2023-07-06 22:36:35] [world] The Player <wegwe> has died with 0 level(s) at X= -129, Y= 60, Z= -114 | caused by Player | wqe123420
[2023-07-06 22:36:57] [world] The Player <wegwe> has died with 0 level(s) at X= -130, Y= 60, Z= -114 | caused by Player | wqe123420
[2023-07-06 22:37:05] [world] The Player <wegwe> has died with 0 level(s) at X= -131, Y= 64, Z= -105 | caused by Player | wqe123420
[2023-07-06 22:37:15] [world] The Player <wegwe> has died with 0 level(s) at X= -127, Y= 63, Z= -115 | caused by Player | wqe123420
[2023-07-06 22:37:20] [world] The Player <wegwe> has died with 0 level(s) at X= -128, Y= 64, Z= -123 | caused by Player | wqe123420
