[2023-07-07 08:58:14] [world] The Player <wqe123420> has died with 139 level(s) at X= -41, Y= -63, Z= -248 | caused by FALL | 
[2023-07-07 09:27:54] [world] The Player <wegwe> has died with 0 level(s) at X= -139, Y= 64, Z= -102 | caused by FALL | 
[2023-07-07 09:30:13] [world] The Player <wegwe> has died with 0 level(s) at X= -92, Y= 72, Z= -169 | caused by ENTITY_ATTACK | 
[2023-07-07 09:32:47] [world] The Player <wegwe> has died with 0 level(s) at X= -60, Y= 70, Z= -146 | caused by ENTITY_EXPLOSION | 
[2023-07-07 09:32:59] [world] The Player <wegwe> has died with 0 level(s) at X= -116, Y= 59, Z= -121 | caused by PROJECTILE | 
[2023-07-07 09:33:12] [world] The Player <wegwe> has died with 0 level(s) at X= -132, Y= 61, Z= -107 | caused by PROJECTILE | 
[2023-07-07 09:33:29] [world] The Player <wegwe> has died with 0 level(s) at X= -110, Y= 62, Z= -117 | caused by PROJECTILE | 
[2023-07-07 09:34:08] [world] The Player <wegwe> has died with 0 level(s) at X= -139, Y= 64, Z= -98 | caused by Player | Funget114514
[2023-07-07 09:34:15] [world] The Player <wegwe> has died with 0 level(s) at X= -129, Y= 66, Z= -88 | caused by Player | Funget114514
[2023-07-07 09:34:24] [world] The Player <wegwe> has died with 0 level(s) at X= -120, Y= 63, Z= -114 | caused by Player | Funget114514
[2023-07-07 09:47:54] [world] The Player <wegwe> has died with 0 level(s) at X= -90, Y= 71, Z= -257 | caused by FALL | 
[2023-07-07 09:51:48] [world] The Player <wegwe> has died with 0 level(s) at X= -177, Y= 64, Z= -199 | caused by PROJECTILE | 
[2023-07-07 10:00:43] [world_the_end] The Player <Funget114514> has died with 9 level(s) at X= 103, Y= -103, Z= 6 | caused by VOID | 
[2023-07-07 10:05:22] [world_the_end] The Player <wegwe> has died with 14 level(s) at X= 332, Y= -149, Z= 8 | caused by VOID | 
[2023-07-07 10:07:44] [world_the_end] The Player <wegwe> has died with 21 level(s) at X= 162, Y= -89, Z= 4 | caused by VOID | 
[2023-07-07 10:12:34] [world_the_end] The Player <Xw114> has died with 42 level(s) at X= -16, Y= 1, Z= -276 | caused by Player | Funget114514
[2023-07-07 10:12:34] [world_the_end] The Player <Funget114514> has died with 19 level(s) at X= -18, Y= 1, Z= -275 | caused by ENTITY_ATTACK | 
[2023-07-07 10:13:32] [world_the_end] The Player <wegwe> has died with 25 level(s) at X= 317, Y= -65, Z= 3 | caused by VOID | 
[2023-07-07 10:13:41] [world_the_end] The Player <Enderlava> has died with 55 level(s) at X= 317, Y= -395, Z= 3 | caused by VOID | 
[2023-07-07 10:13:52] [world_the_end] The Player <Xw114> has died with 43 level(s) at X= -14, Y= 0, Z= -277 | caused by Player | Funget114514
[2023-07-07 10:15:08] [world_the_end] The Player <Funget114514> has died with 36 level(s) at X= -19, Y= 1, Z= -277 | caused by ENTITY_ATTACK | 
[2023-07-07 10:15:21] [world_the_end] The Player <Xw114> has died with 43 level(s) at X= -234, Y= -270, Z= -284 | caused by VOID | 
[2023-07-07 10:23:17] [world] The Player <Xw114> has died with 43 level(s) at X= -33, Y= 76, Z= -224 | caused by ENTITY_ATTACK | 
[2023-07-07 10:23:55] [world] The Player <Enderlava> has died with 55 level(s) at X= -26, Y= 72, Z= -244 | caused by ENTITY_ATTACK | 
[2023-07-07 10:24:03] [world] The Player <Xw114> has died with 40 level(s) at X= -18, Y= 74, Z= -226 | caused by ENTITY_ATTACK | 
[2023-07-07 10:24:10] [world] The Player <wegwe> has died with 25 level(s) at X= -4, Y= 73, Z= -239 | caused by Player | Funget114514
[2023-07-07 10:25:16] [world] The Player <Funget114514> has died with 8 level(s) at X= -78, Y= 72, Z= -250 | caused by ENTITY_ATTACK | 
[2023-07-07 10:25:26] [world] The Player <Enderlava> has died with 51 level(s) at X= -92, Y= 75, Z= -246 | caused by ENTITY_ATTACK | 
[2023-07-07 10:29:22] [world] The Player <Enderlava> has died with 47 level(s) at X= -56, Y= 71, Z= -191 | caused by PROJECTILE | 
[2023-07-07 10:29:53] [world] The Player <Enderlava> has died with 43 level(s) at X= -50, Y= 70, Z= -167 | caused by ENTITY_ATTACK | 
[2023-07-07 10:31:03] [world] The Player <Xw114> has died with 37 level(s) at X= -42, Y= 71, Z= -254 | caused by Player | Xw114
[2023-07-07 10:31:29] [world] The Player <wqe123420> has died with 129 level(s) at X= -41, Y= -2, Z= -248 | caused by FALL | 
[2023-07-07 10:31:34] [world] The Player <wegwe> has died with 0 level(s) at X= -35, Y= 70, Z= -249 | caused by ENTITY_ATTACK | 
[2023-07-07 10:31:41] [world] The Player <Xw114> has died with 34 level(s) at X= -36, Y= 71, Z= -248 | caused by ENTITY_ATTACK | 
[2023-07-07 10:36:43] [world_the_end] The Player <wegwe> has died with 0 level(s) at X= 92, Y= -227, Z= 4 | caused by VOID | 
[2023-07-07 10:37:10] [world] The Player <Xw114> has died with 26 level(s) at X= -13, Y= 65, Z= -281 | caused by Player | Xw114
[2023-07-07 10:38:15] [world] The Player <Xw114> has died with 24 level(s) at X= 10, Y= 73, Z= -185 | caused by FIRE_TICK | 
[2023-07-07 10:39:04] [world] The Player <wqe123420> has died with 117 level(s) at X= -24, Y= 71, Z= -175 | caused by Player | Xw114
[2023-07-07 10:39:39] [world] The Player <wqe123420> has died with 106 level(s) at X= -59, Y= 68, Z= -161 | caused by ENTITY_ATTACK | 
[2023-07-07 10:39:50] [world] The Player <Xw114> has died with 21 level(s) at X= -27, Y= 71, Z= -166 | caused by FIRE_TICK | 
[2023-07-07 10:40:32] [world] The Player <Enderlava> has died with 40 level(s) at X= -19, Y= 89, Z= -171 | caused by PROJECTILE | 
[2023-07-07 10:40:57] [world_the_end] The Player <wegwe> has died with 25 level(s) at X= 317, Y= 1, Z= 6 | caused by ENTITY_ATTACK | 
[2023-07-07 10:41:51] [world] The Player <Enderlava> has died with 37 level(s) at X= 0, Y= 72, Z= -174 | caused by ENTITY_ATTACK | 
[2023-07-07 10:41:59] [world] The Player <wqe123420> has died with 97 level(s) at X= 8, Y= 72, Z= -181 | caused by PROJECTILE | 
[2023-07-07 10:42:50] [world] The Player <Funget114514> has died with 8 level(s) at X= -11, Y= 75, Z= -202 | caused by ENTITY_ATTACK | 
[2023-07-07 10:44:01] [world] The Player <wqe123420> has died with 88 level(s) at X= -17, Y= 78, Z= -227 | caused by WITHER | 
[2023-07-07 10:47:54] [world] The Player <Funget114514> has died with 8 level(s) at X= -27, Y= 71, Z= -252 | caused by ENTITY_ATTACK | 
[2023-07-07 10:56:28] [world] The Player <Xw114> has died with 19 level(s) at X= 22, Y= 55, Z= -159 | caused by DROWNING | 
[2023-07-07 10:57:35] [world] The Player <wqe123420> has died with 80 level(s) at X= -65, Y= 74, Z= -224 | caused by ENTITY_EXPLOSION | 
[2023-07-07 10:58:59] [world] The Player <Xw114> has died with 17 level(s) at X= -43, Y= 76, Z= -221 | caused by ENTITY_EXPLOSION | 
[2023-07-07 11:02:12] [world] The Player <wqe123420> has died with 74 level(s) at X= 6, Y= 70, Z= -258 | caused by Player | Funget114514
[2023-07-07 11:02:44] [world] The Player <Funget114514> has died with 7 level(s) at X= -16, Y= 70, Z= -259 | caused by Player | wqe123420
[2023-07-07 11:03:19] [world] The Player <Funget114514> has died with 6 level(s) at X= -21, Y= 67, Z= -259 | caused by Player | wqe123420
[2023-07-07 11:03:57] [world] The Player <wqe123420> has died with 67 level(s) at X= -28, Y= 70, Z= -260 | caused by Player | Xw114
[2023-07-07 11:04:22] [world] The Player <Xw114> has died with 16 level(s) at X= 0, Y= 77, Z= -208 | caused by Player | Funget114514
[2023-07-07 11:14:30] [world] The Player <Funget114514> has died with 7 level(s) at X= -24, Y= 75, Z= -215 | caused by ENTITY_ATTACK | 
[2023-07-07 12:24:57] [world_the_end] The Player <wqe123420> has died with 62 level(s) at X= -800, Y= 99, Z= -3488 | caused by VOID | 
